cell_id,target_heterogeneity,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,local_risk,strong_fixed_alpha,strong_fixed_risk,phase_early_alpha,phase_late_alpha,phase_risk,safe_risk,safe_charged_shadow_risk,safe_to_local_ratio,safe_to_fixed_ratio,phase_to_fixed_ratio,safe_checkpoint_valid,safe_early_alpha_mean,safe_late_alpha_mean,safe_uses_nonzero,safe_uses_shadow,safe_environment_used,safe_message_used
H0-I0.5-N0.5-S0-T0.9-D3,0.0,0.5,0.5,0.0,0.9,3,0.07338202001295083,0.75,0.014897720442492272,0.5,0.75,0.01473839762749146,0.014614050681987715,0.06798457572892577,0.19915029157562783,0.9809588479257904,0.989305557476674,True,0.5833333333333334,0.75,True,False,240,18
H0-I0.5-N0.5-S0.5-T0-D0,0.0,0.5,0.5,0.5,0.0,0,0.010204082374020726,1.0,0.006377551773606165,0.0,1.0,0.006377551773606165,0.0063775530267252386,0.010204083607457299,0.625000151210293,1.0000001964890475,1.0,True,1.0,1.0,True,False,240,18
H0-I0.5-N0.5-S0.5-T0-D1,0.0,0.5,0.5,0.5,0.0,1,0.010204082374020726,0.75,0.005743940985100496,0.5,0.75,0.0057438216824541866,0.005886489147133417,0.010204083607457299,0.5768758945067157,1.0248171355525213,0.9999792298272877,True,0.5333333333333333,0.75,True,False,240,18
H0-I0.5-N0.5-S0.5-T0-D3,0.0,0.5,0.5,0.5,0.0,3,0.010204082374020726,0.75,0.00437488505811118,0.25,0.75,0.004217246938092469,0.004284602382799646,0.010204083607457299,0.41989100300759136,0.9793634177555941,0.9639674830481673,True,0.4166666666666667,0.75,True,False,240,17
H0-I0.5-N0.5-S0.5-T0.6-D0,0.0,0.5,0.5,0.5,0.6,0,0.03299178711729042,1.0,0.02061986723814973,0.0,1.0,0.02061986723814973,0.020077237295381505,0.03212357843730732,0.6085525838295487,0.9736841204406845,1.0,True,1.0,1.0,True,False,240,18
H0-I0.5-N0.5-S0.5-T0.6-D1,0.0,0.5,0.5,0.5,0.6,1,0.03299178711729042,0.75,0.01857120069373657,0.5,0.75,0.018570850403479385,0.018977612498132856,0.03212357843730732,0.5752223252006563,1.0218839810682436,0.9999811379854775,True,0.6666666666666666,0.75,True,False,240,18
H0-I0.5-N0.5-S0.5-T0.6-D3,0.0,0.5,0.5,0.5,0.6,3,0.03299178711729042,0.75,0.013740138693466518,0.5,0.75,0.0135782491262865,0.01374400423325884,0.03212357843730732,0.41658865536434814,1.000281331934019,0.9882177632415751,True,0.4166666666666667,0.75,True,False,240,17
H0-I0.5-N0.5-S0.5-T0.9-D0,0.0,0.5,0.5,0.5,0.9,0,0.07338202001295083,1.0,0.04586376279793748,0.0,1.0,0.04586376279793748,0.042490360602643024,0.06798457572892577,0.5790295851101416,0.9264473303213978,1.0,True,1.0,1.0,True,False,240,18
H0-I0.5-N0.5-S0.5-T0.9-D1,0.0,0.5,0.5,0.5,0.9,1,0.07338202001295083,0.75,0.04130697039419094,0.5,0.75,0.041306210688264025,0.041993365677328434,0.06798457572892577,0.5722568780461104,1.0166169359937862,0.999981608287423,True,0.75,0.75,True,False,240,18
H0-I0.5-N0.5-S0.5-T0.9-D3,0.0,0.5,0.5,0.5,0.9,3,0.07338202001295083,0.75,0.03033965056710759,0.5,0.75,0.030149272975616283,0.030280991202795704,0.06798457572892577,0.4126486460505116,0.9980665774583614,0.9937251224739647,True,0.5,0.75,True,False,240,18
