persistence,rho,delay,seed,decision,alpha_m,transitions_before,persistence_upper,certified_upper,covered_so_far,remaining_before,block_budget,gap,num_agents,eta,updates,observations,exact_radius
0.9,0.9,2,119,7,0.00017857142857142857,8555,0.9127157483094239,0.913,True,7872,2000,19,1,0.027414040264830897,71,1361,0.9648781403566423
0.9,0.9,2,119,8,0.0001388888888888889,9916,0.9142318133507292,0.915,True,5872,2000,20,1,0.027667874596959543,68,1388,0.9645547850993564
0.9,0.9,2,119,9,0.00011111111111111112,11304,0.9131093629623246,0.914,True,3872,2000,19,1,0.027237858022109637,71,1361,0.9650974682438378
0.9,0.9,2,119,10,9.090909090909092e-05,12665,0.9120085460712144,0.913,True,1872,1872,22,1,0.028536257839959913,60,1332,0.963463947613656
0.9,0.9,2,120,1,0.005,128,0.9552627915901846,0.956,True,19872,2000,40,1,0.027556714170093647,40,1640,0.9646640043972029
0.9,0.9,2,120,2,0.0016666666666666668,1768,0.9227831318972924,0.923,True,17872,2000,21,1,0.0270026186121457,66,1406,0.9653776243285289
0.9,0.9,2,120,3,0.0008333333333333334,3174,0.9167120356837402,0.917,True,15872,2000,20,1,0.02737780453458406,68,1388,0.9649158710006939
0.9,0.9,2,120,4,0.0005,4562,0.9140957697587152,0.915,True,13872,2000,19,1,0.027115764842166438,71,1361,0.9652495208624575
0.9,0.9,2,120,5,0.0003333333333333333,5923,0.9131646705786668,0.914,True,11872,2000,20,1,0.027794828026792902,68,1388,0.9643968374970973
0.9,0.9,2,120,6,0.0002380952380952381,7311,0.912388514229893,0.913,True,9872,2000,20,1,0.02792082328074049,68,1388,0.9642401345619569
0.9,0.9,2,120,7,0.00017857142857142857,8699,0.9103568101041069,0.911,True,7872,2000,19,1,0.027671237876558532,71,1361,0.9645581408295313
0.9,0.9,2,120,8,0.0001388888888888889,10060,0.9074356209052996,0.908,True,5872,2000,17,1,0.026850383330229412,76,1316,0.9656003067048232
0.9,0.9,2,120,9,0.00011111111111111112,11376,0.9076315963847973,0.908,True,3872,2000,19,1,0.027982107348404114,71,1361,0.9641716567689474
0.9,0.9,2,120,10,9.090909090909092e-05,12737,0.9051583123252516,0.906,True,1872,1872,19,1,0.02808242546157765,66,1278,0.9640470064418121
0.9,0.9,2,121,1,0.005,128,0.9604300637906793,0.961,True,19872,2000,43,1,0.026974287352005077,38,1658,0.9653906572679738
0.9,0.9,2,121,2,0.0016666666666666668,1786,0.9250824741657391,0.926,True,17872,2000,23,1,0.02752557901685323,62,1442,0.964717456447091
