persistence,rho,delay,seed,simultaneous_coverage,largest_action_radius,online_error,oracle_error,static_error,worst_mixing_error,online_to_oracle,first_updating_gap,final_gap,median_selected_q,final_transition_count
0.5,0.0,0,77,True,0.9709465323518405,0.00029812236444464173,0.0002495536009429936,2.624724189981093e-05,7.655341239517966e-05,1.1946225713358585,4,3,32.0,1824
0.5,0.0,0,78,True,0.9702538941488115,0.00029859267943335504,0.0002495536009429936,2.62472524434012e-05,7.655341239517966e-05,1.1965071964702427,5,3,32.0,1904
0.5,0.0,0,79,True,0.9709825274717332,0.00029969313833886577,0.0002495536009429936,2.56572273729526e-05,7.655341239517966e-05,1.2009169060530835,4,3,32.0,1904
0.5,0.0,0,80,True,0.971377653906289,0.0002893558570057589,0.0002495536009429936,2.5646204243406684e-05,7.655341239517966e-05,1.1594938158069592,3,2,32.0,1712
0.5,0.0,0,81,True,0.970118496409705,0.0002976098133561916,0.0002495536009429936,2.5653309670537548e-05,7.655341239517966e-05,1.192568699596427,5,3,32.0,1984
0.5,0.0,0,82,True,0.9709465323518405,0.00029760982046670326,0.0002495536009429936,2.56572273729526e-05,7.655341239517966e-05,1.1925687280893507,4,3,32.0,1824
0.5,0.0,0,83,True,0.971377653906289,0.0002897768115370224,0.0002495536009429936,2.5655528333554543e-05,7.655341239517966e-05,1.1611806459295178,3,2,32.0,1712
0.5,0.0,0,84,True,0.9704513333246538,0.00029812237342339215,0.0002495536009429936,2.5646394079948447e-05,7.655341239517966e-05,1.1946226073151045,4,3,32.0,1864
0.5,0.0,0,85,True,0.9701922368925227,0.0002978100226771642,0.0002495536009429936,2.564763241749647e-05,7.655341239517966e-05,1.193370969410271,5,3,32.0,1944
0.5,0.0,0,86,True,0.9705676089836552,0.0002878000942752388,0.0002495536009429936,2.5662340440682195e-05,7.655341239517966e-05,1.1532596331518452,4,2,32.0,1752
0.5,0.0,0,87,True,0.9706796525142437,0.0002978100239169979,0.0002495536009429936,2.624724189981093e-05,7.655341239517966e-05,1.193370974378477,4,3,32.0,1864
0.5,0.0,0,88,True,0.971377653906289,0.0002989212547744995,0.0002495536009429936,2.6247843642822784e-05,7.655341239517966e-05,1.1978238488443336,3,3,32.0,1784
0.5,0.0,0,89,True,0.9706796525142437,0.00028709742269728916,0.0002495536009429936,2.62473032008257e-05,7.655341239517966e-05,1.1504439191116773,4,2,32.0,1752
0.5,0.0,0,90,True,0.971014821604848,0.00029760980962472626,0.0002495536009429936,2.624728913302172e-05,7.655341239517966e-05,1.1925686846438666,4,3,32.0,1824
0.5,0.0,0,91,True,0.9704513333246538,0.0002974914048012103,0.0002495536009429936,2.6247997784047583e-05,7.655341239517966e-05,1.1920942181442105,4,3,32.0,1864
0.5,0.0,0,92,False,0.9728783777776766,0.0002978100377798533,0.0002495536009429936,2.56581477553674e-05,7.655341239517966e-05,1.1933710299290896,1,3,32.0,1704
0.5,0.0,0,93,True,0.9721177922174531,0.0002845313667177589,0.0002495536009429936,2.5655528333554543e-05,7.655341239517966e-05,1.1401613346495263,2,2,32.0,1512
0.5,0.0,0,94,True,0.9706796525142437,0.0002973843842206313,0.0002495536009429936,2.624737033460204e-05,7.655341239517966e-05,1.1916653700723951,4,3,32.0,1944
0.5,0.0,0,95,True,0.9707616224721032,0.0002975491598203483,0.0002495536009429936,2.564763241749647e-05,7.655341239517966e-05,1.1923256514672311,4,3,32.0,1824
