persistence,rho,seed,decision,persistence_upper,certified_persistence,rho_upper_before,gap,probes,collision_trials,collisions,cumulative_tv_bias,p_trials,jointly_covered_so_far,spent
0.5,0.9,20290293,4,0.5331448808783967,0.534,1.0,2,166,605,578,2.2478254908764397,2078,True,8128
0.5,0.9,20290293,5,0.5334188430994211,0.534,1.0,2,166,771,735,3.3992014908764485,2418,True,10128
0.5,0.9,20290293,6,0.5337531133315327,0.534,1.0,2,166,937,895,4.550577490876422,2758,True,12128
0.5,0.9,20290293,7,0.5356193491724042,0.536,1.0,2,166,1103,1056,5.841393490876386,3098,True,14128
0.5,0.9,20290293,8,0.5414356224004684,0.542,1.0,3,153,1256,1201,5.977419058876403,3568,True,16128
0.5,0.9,20290293,9,0.5394477294104199,0.54,1.0,2,166,1422,1362,7.571019058876375,3908,True,18128
0.5,0.9,20290293,10,0.5389361625883478,0.54,1.0,2,156,1578,1509,9.068619058876447,4220,True,20000
0.5,0.9,20290294,1,0.6637015798253265,0.664,1.0,5,133,133,127,0.7573770108764154,798,True,2128
0.5,0.9,20290294,2,0.5667020016944038,0.5680000000000001,1.0,3,153,286,270,1.3346741628764118,1268,True,4128
0.5,0.9,20290294,3,0.5440260167250275,0.546,1.0,3,153,439,412,1.513383058876418,1738,True,6128
0.5,0.9,20290294,4,0.540594354239758,0.542,1.0,3,153,592,561,1.649408626876435,2208,True,8128
0.5,0.9,20290294,5,0.5419212781413796,0.542,1.0,3,153,745,703,1.7854341948764518,2678,True,10128
0.5,0.9,20290294,6,0.5356544969125576,0.536,1.0,2,166,911,858,3.0762501948764833,3018,True,12128
0.5,0.9,20290294,7,0.5307579129240851,0.532,1.0,2,166,1077,1016,4.096154194876472,3358,True,14128
0.5,0.9,20290294,8,0.5297069874844849,0.53,1.0,2,166,1243,1178,4.992554194876447,3698,True,16128
0.5,0.9,20290294,9,0.529839910662959,0.53,1.0,2,166,1409,1334,5.888954194876422,4038,True,18128
0.5,0.9,20290294,10,0.5264213690806119,0.528,1.0,2,156,1565,1484,6.622778194876463,4350,True,20000
0.5,0.9,20290295,1,0.6922951498051697,0.6940000000000001,1.0,6,125,125,121,0.6397224997854726,878,True,2128
