persistence,rho,seed,joint_simultaneous_coverage,final_p_upper,final_rho_upper,collision_upper,hoeffding_radius,average_tv_bias,collision_trials,p_trials,d0_q,d0_gap,d0_eta,d0_updates,d0_exact_radius,d2_q,d2_gap,d2_eta,d2_updates,d2_exact_radius
0.9,0.5,20310280,True,0.9109959293640253,0.7874592364286628,0.8937296182143314,0.1358506966564872,0.009400219732286485,493,15070,2,19,0.012503924729635185,689,0.983996228785618,1,19,0.027456746418629573,714,0.9648249911870199
0.9,0.5,20310281,True,0.906574117747428,0.810783830794864,0.905391915397432,0.13734848847403522,0.009207668087637903,481,15190,2,19,0.012327954319396308,689,0.9842162313565719,1,19,0.027916624660542854,714,0.9642530404467864
0.9,0.5,20310282,True,0.9088055691017947,0.7615062500733354,0.8807531250366677,0.13488085180196213,0.009345327126921137,501,14990,2,19,0.012431638035812606,689,0.9840865853627316,1,19,0.027696738875806586,714,0.9645264249821328
0.9,0.5,20310283,True,0.91366992143465,0.8304987335084679,0.915249366754234,0.14147835654869426,0.009326565761095248,450,15500,2,20,0.012777322954279236,666,0.9836519364594409,1,20,0.0277183378536651,689,0.9644919954814224
0.9,0.5,20310284,True,0.9073993311761313,0.7324428775344709,0.8662214387672355,0.1360966842317161,0.009147157794175237,491,15090,4,19,0.013246515194683806,645,0.9830561876687878,1,19,0.027916624660542854,714,0.9642530404467864
0.9,0.5,20310285,True,0.9100126549482943,0.7700600908898385,0.8850300454449193,0.13476117989235004,0.009233008978864058,502,14980,2,19,0.012517367879362522,689,0.9839794279553689,1,19,0.027456746418629573,714,0.9648249911870199
0.9,0.5,20310286,True,0.9106216744001174,0.7676349379385403,0.8838174689692702,0.13335123817822786,0.009221094604271942,514,14860,2,19,0.012517367879362522,689,0.9839794279553689,1,19,0.027456746418629573,714,0.9648249911870199
0.9,0.5,20310287,True,0.9111814129745075,0.6887573762940815,0.8443786881470408,0.1359735115210654,0.009218184756056628,492,15080,4,20,0.013674807426295347,625,0.9825188246019255,1,19,0.027456746418629573,714,0.9648249911870199
0.9,0.5,20310288,True,0.9100022975138846,0.7501725578232366,0.8750862789116183,0.13255034806479168,0.009330556566596204,521,14790,4,20,0.01360103208279449,625,0.982610812862834,1,19,0.027456746418629573,714,0.9648249911870199
0.9,0.5,20310289,True,0.9119730753549364,0.8916840135258903,0.9458420067629452,0.13876922162593192,0.009200444711481322,470,15300,2,19,0.012438923909795894,689,0.9840774770607692,1,19,0.027456746418629573,714,0.9648249911870199
0.9,0.5,20310290,True,0.909300953969508,0.8416054601586376,0.9208027300793188,0.1354843816230449,0.009108671036919074,496,15040,2,19,0.012379215883281409,689,0.9841521274908263,1,19,0.027696738875806586,714,0.9645264249821328
0.9,0.5,20310291,True,0.9096645061227417,0.7888130236527375,0.8944065118263688,0.13622021655838157,0.009206703431252548,490,15100,2,19,0.012418310756651797,689,0.9841032468780033,1,19,0.027696738875806586,714,0.9645264249821328
0.9,0.5,20310292,True,0.9107966767123306,0.807157100598697,0.9035785502993485,0.13393292790398856,0.009331280548601592,509,14910,2,19,0.012490634553177907,689,0.9840128392898109,1,19,0.027456746418629573,714,0.9648249911870199
0.9,0.5,20310293,True,0.9090695172001797,0.7833341807366891,0.8916670903683446,0.13785969020429342,0.009572599325476681,477,15230,2,19,0.012418310756651797,689,0.9841032468780033,1,19,0.027696738875806586,714,0.9645264249821328
0.9,0.5,20310294,True,0.9096490862144269,0.8134703435517656,0.9067351717758828,0.1369690631446804,0.009435530118805685,484,15160,2,19,0.012405132885387353,689,0.9841197224470302,1,19,0.027696738875806586,714,0.9645264249821328
0.9,0.5,20310295,True,0.9132374310036631,0.7913567660742646,0.8956783830371323,0.13983272107139974,0.009092415212485778,462,15380,2,20,0.012804424272035094,666,0.9836180908442214,1,20,0.0277183378536651,689,0.9644919954814224
0.9,0.5,20310296,True,0.9104595876103445,0.7715916258362285,0.8857958129181143,0.13464184878614432,0.009603268306920215,503,14970,2,19,0.012517367879362522,689,0.9839794279553689,1,19,0.027456746418629573,714,0.9648249911870199
0.9,0.5,20310297,True,0.9065926782863216,0.7861998539135053,0.8930999269567527,0.133466926345917,0.009145671176137815,513,14870,2,19,0.012341030015103244,689,0.9841998786707392,1,19,0.027916624660542854,714,0.9642530404467864
0.9,0.5,20310298,True,0.9106345693708098,0.7826152560164641,0.891307628008232,0.13289168868068174,0.009381190292801267,518,14820,2,19,0.012503924729635185,689,0.983996228785618,1,19,0.027456746418629573,714,0.9648249911870199
0.9,0.5,20310299,True,0.9071538917553208,0.7789880589511164,0.8894940294755582,0.13524192892897455,0.009272180867868747,498,15020,2,19,0.01235425474766558,689,0.9841833404340872,1,19,0.027916624660542854,714,0.9642530404467864
0.9,0.5,20310300,True,0.9125935597589827,0.7384405709436443,0.8692202854718222,0.1369690631446804,0.00911072645937319,484,15160,4,20,0.013713891810493335,625,0.9824701016652859,1,20,0.0277183378536651,689,0.9644919954814224
0.9,0.5,20310301,True,0.9137414527810475,0.8232548646530906,0.9116274323265453,0.13956438838720925,0.009132009456577305,464,15360,2,20,0.012777322954279236,666,0.9836519364594409,1,20,0.0277183378536651,689,0.9644919954814224
0.9,0.5,20310302,True,0.9130045521216743,0.7600214504461507,0.8800107252230753,0.13943084183968066,0.009397087684469932,465,15350,2,20,0.012818207322331807,666,0.9836008791602289,1,20,0.0277183378536651,689,0.9644919954814224
