average_weight_norm,bellman_residual,delay,encoder_sha256,environment_budget,environment_used,game,master_seed,message_budget,message_used,overhead,prediction_risk,q,rho,selected_common_actors,split,updates
0.052248131678044624,1.2730328348611327e-07,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,43688,asterix,202608056001,393216,393192,32,1.1296557775176582e-06,4,0.0,0,selection,10914
0.051994625949221475,9.678683008368716e-08,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,131072,asterix,202608056001,393216,393216,32,6.725349875657112e-07,16,0.0,0,selection,8184
0.05073910681839291,7.76164739067799e-07,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,11915,asterix,202608056001,393216,393195,32,2.7678726448803464e-06,1,0.1,0,selection,11915
0.05488962509197537,2.5185939005439713e-07,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,43688,asterix,202608056001,393216,393192,32,8.952769697551312e-06,4,0.1,1,selection,10922
0.061223675670540184,1.1931718510690147e-06,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,131072,asterix,202608056001,393216,393216,32,6.191584111195545e-05,16,0.1,6,selection,8192
0.05086935396305139,7.59311102578058e-07,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,11915,asterix,202608056001,393216,393195,32,2.646792836204682e-06,1,0.1,0,selection,11907
0.054976216085106756,2.630673891856726e-07,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,43688,asterix,202608056001,393216,393192,32,9.352349117379313e-06,4,0.1,1,selection,10914
0.06128723846791294,1.2083821371836277e-06,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,131072,asterix,202608056001,393216,393216,32,6.269888677199897e-05,16,0.1,6,selection,8184
0.061179307817983336,1.8751628640843158e-06,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,11915,asterix,202608056001,393216,393195,32,6.139635247249198e-05,1,0.3,1,selection,11915
0.054824211623995714,2.7344239989173057e-07,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,43688,asterix,202608056001,393216,393192,32,8.62802882580996e-06,4,0.3,2,selection,10922
0.06727929862371584,3.1360707981821202e-06,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,131072,asterix,202608056001,393216,393216,32,0.00015880392666192198,16,0.3,13,selection,8192
0.06098564223840316,1.8260469988074452e-06,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,11915,asterix,202608056001,393216,393195,32,5.911460053858448e-05,1,0.3,1,selection,11907
0.05484027249426287,2.7486966669604216e-07,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,43688,asterix,202608056001,393216,393192,32,8.691586777443495e-06,4,0.3,2,selection,10914
0.06739639564789236,3.1750721808663527e-06,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,131072,asterix,202608056001,393216,393216,32,0.00016104245205975348,16,0.3,13,selection,8184
0.061179307817983336,1.8751628640843158e-06,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,11915,asterix,202608056001,393216,393195,32,6.139635247249198e-05,1,0.5,1,selection,11915
0.05774270884490146,8.593129715525101e-07,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,43688,asterix,202608056001,393216,393192,32,2.7259523888932504e-05,4,0.5,3,selection,10922
0.06484348391203346,2.226075977962011e-06,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,131072,asterix,202608056001,393216,393216,32,0.00011409925158197073,16,0.5,12,selection,8192
0.06098564223840316,1.8260469988074452e-06,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,11915,asterix,202608056001,393216,393195,32,5.911460053858448e-05,1,0.5,1,selection,11907
0.05769274097441411,8.505776598894817e-07,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,43688,asterix,202608056001,393216,393192,32,2.6851148499128668e-05,4,0.5,3,selection,10914
0.06491887754485182,2.249659865743003e-06,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,131072,asterix,202608056001,393216,393216,32,0.00011534600365301103,16,0.5,12,selection,8184
0.05073910681839291,7.76164739067799e-07,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,11915,asterix,202608056001,393216,393195,32,2.7678726448803464e-06,1,0.7,0,selection,11915
0.0582955665649616,8.153687844571223e-07,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,43688,asterix,202608056001,393216,393192,32,3.197369150335421e-05,4,0.7,3,selection,10922
0.06689078318907407,2.910591788402874e-06,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,131072,asterix,202608056001,393216,393216,32,0.00015029111275035757,16,0.7,12,selection,8192
0.05086935396305139,7.59311102578058e-07,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,11915,asterix,202608056001,393216,393195,32,2.646792836204682e-06,1,0.7,0,selection,11907
0.0582939533070079,8.114631748830874e-07,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,43688,asterix,202608056001,393216,393192,32,3.194039463042183e-05,4,0.7,3,selection,10914
0.06698892750140122,2.9483025943747686e-06,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,131072,asterix,202608056001,393216,393216,32,0.00015213201305589813,16,0.7,12,selection,8184
