cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,seed,strong_static_auc,dual_use_auc,dual_use_terminal,learning_transitions,extra_probe_transitions,fingerprint_reused_transitions,message_units,candidate_scores,mean_debt,max_debt,rollback_rate,accepted_nonlocal_rate
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D3,stationary,0.6,1.5,0.1,0.0,0.9,3,4197492090,0.11683931435957146,0.11726778149209231,0.04810374561961934,240,0,30,11,168,0.04285816083203985,0.4153475372076148,0.9166666666666666,0.08333333333333333
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D3,stationary,0.6,1.5,0.1,0.0,0.9,3,3445129534,0.11025088390327165,0.11023349170886859,0.029614879288406393,240,0,30,9,168,0.017427242009438428,0.09297543018718032,0.9583333333333334,0.041666666666666664
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D3,stationary,0.6,1.5,0.1,0.0,0.9,3,1554091691,0.0862653770925053,0.09320068333288622,0.011740220808370248,240,0,30,9,168,0.02072107787975458,0.12174252472046357,0.9583333333333334,0.041666666666666664
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D3,stationary,0.6,1.5,0.1,0.0,0.9,3,1360135080,0.134710872277686,0.1360374255838795,0.028946881412592357,240,0,30,11,168,0.12760176722016622,0.4827194751154459,0.9583333333333334,0.041666666666666664
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D3,stationary,0.6,1.5,0.1,0.0,0.9,3,2498757706,0.10770278246385112,0.11448851664195814,0.04112681104652969,240,0,30,11,168,0.07018989704011033,0.4674095530170338,0.8333333333333334,0.16666666666666666
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D3,stationary,0.6,1.5,0.1,0.0,0.9,3,1598408979,0.09866608963841282,0.09833888440642603,0.061066682617693095,240,0,30,10,168,0.10560170723642785,0.44634513742249865,0.9583333333333334,0.041666666666666664
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D3,stationary,0.6,1.5,0.1,0.0,0.9,3,2984591295,0.11619211249807972,0.1174227972490912,0.01892506999412751,240,0,30,9,168,0.021570520931561105,0.12622917622108115,0.875,0.125
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D3,stationary,0.6,1.5,0.1,0.0,0.9,3,3736052005,0.1180483851812217,0.1274157741716828,0.017613768957360162,240,0,30,11,168,0.020336201492698557,0.1469203399571612,0.7916666666666666,0.20833333333333334
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D3,stationary,0.6,1.5,0.1,0.0,0.9,3,2446090982,0.10922349781146179,0.11040679415393827,0.0462587527894585,240,0,30,11,168,0.10755080636343932,0.5011498077425572,0.9166666666666666,0.08333333333333333
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D3,stationary,0.6,1.5,0.1,0.0,0.9,3,2759634938,0.09808791063224083,0.10932247612496847,0.007359310526169725,240,0,30,11,168,0.03115923491254523,0.13725630770185332,0.7916666666666666,0.20833333333333334
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D3,stationary,0.6,1.5,0.1,0.0,0.9,3,1796341307,0.11911000764503038,0.12814624117298434,0.02669944787467325,240,0,30,10,168,0.022540107622449054,0.17411337570921975,0.875,0.125
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D3,stationary,0.6,1.5,0.1,0.0,0.9,3,702779833,0.11428552429824122,0.12026664809476491,0.015282350309435196,240,0,30,11,168,0.01904642635983085,0.1368721263550383,0.8333333333333334,0.16666666666666666
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D3,stationary,0.6,1.5,0.1,0.0,0.9,3,3081155260,0.09232636150182909,0.09698377251838053,0.013112691226404877,240,0,30,10,168,0.0021169634369686036,0.02408195817753193,0.8333333333333334,0.16666666666666666
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D3,stationary,0.6,1.5,0.1,0.0,0.9,3,3689771675,0.0921596579623306,0.09275854991388777,0.047937822037211975,240,0,30,11,168,0.08605349610878803,0.6318473842774865,0.8333333333333334,0.16666666666666666
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D3,stationary,0.6,1.5,0.1,0.0,0.9,3,1151854685,0.10845003592763632,0.11228514828464407,0.0335347531439954,240,0,30,10,168,0.07348083265651838,0.3157756640138938,0.9166666666666666,0.08333333333333333
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D3,stationary,0.6,1.5,0.1,0.0,0.9,3,2094958580,0.13772370551451849,0.1365677346512629,0.008703371195909974,240,0,30,11,168,0.04560653256739889,0.15423408365414668,0.9583333333333334,0.041666666666666664
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D3,stationary,0.6,1.5,0.1,0.0,0.9,3,1636281357,0.1347627197012265,0.14614977852605984,0.03397435667559019,240,0,30,11,168,0.0,0.0,0.8333333333333334,0.16666666666666666
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D3,stationary,0.6,1.5,0.1,0.0,0.9,3,830070239,0.10472154450402671,0.10618448449483327,0.023654782509170563,240,0,30,10,168,0.036513671607111005,0.19079236881528214,0.9583333333333334,0.041666666666666664
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D3,stationary,0.6,1.5,0.1,0.0,0.9,3,3490259395,0.1286503408044868,0.1352942834204768,0.04281939872826995,240,0,30,10,168,0.009192438697506324,0.08688815148307302,0.8333333333333334,0.16666666666666666
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D3,stationary,0.6,1.5,0.1,0.0,0.9,3,3512698917,0.14257802665341535,0.14164042365383897,0.04276246447340875,240,0,30,11,168,0.034110991524434,0.16744303018146484,0.8333333333333334,0.16666666666666666
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D3,stationary,0.6,1.5,0.1,0.0,0.9,3,2341267830,0.11133074815652004,0.11095132156945964,0.0013971581110301795,240,0,30,10,168,0.07476970008724408,0.26926091028509697,0.9166666666666666,0.08333333333333333
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D3,stationary,0.6,1.5,0.1,0.0,0.9,3,2814696786,0.09711886498625237,0.09652509073990984,0.016147650360801114,240,0,30,11,168,0.018226106132432248,0.07341104105172956,0.8333333333333334,0.16666666666666666
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D3,stationary,0.6,1.5,0.1,0.0,0.9,3,748652165,0.09567222381970775,0.1119873410950347,0.04169288597493363,240,0,30,11,168,0.021553847971150356,0.14850100083793358,0.875,0.125
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D3,stationary,0.6,1.5,0.1,0.0,0.9,3,4244158386,0.09457435168282217,0.09684424464606754,0.006391244395036502,240,0,30,9,168,0.009860955721389446,0.04190815809324218,0.9166666666666666,0.08333333333333333
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D3,stationary,0.6,1.5,0.1,0.0,0.9,3,3723470981,0.10079043494222312,0.11076205356002984,0.010750835662820911,240,0,30,9,168,0.03985344372373867,0.25169866139597746,0.875,0.125
