seed,seed_index,max_delay,policy,charged_budget,observed_messages,total_probe_cost,total_updates,finite,within_budget
20260759,30,16,sparse_adaptive,31884,25312,768,1643,True,True
20260759,30,16,piecewise_oracle,31712,26968,0,1186,True,True
20260759,30,16,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260759,30,16,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260759,30,16,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260759,30,16,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260760,31,4,sparse_adaptive,31904,21624,768,2570,True,True
20260760,31,4,piecewise_oracle,31760,22720,0,2260,True,True
20260760,31,4,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260760,31,4,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260760,31,4,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260760,31,4,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260760,31,16,sparse_adaptive,31896,23328,768,2142,True,True
20260760,31,16,piecewise_oracle,31680,28160,0,880,True,True
20260760,31,16,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260760,31,16,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260760,31,16,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260760,31,16,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260761,32,4,sparse_adaptive,31906,22470,768,2359,True,True
20260761,32,4,piecewise_oracle,31772,22888,0,2221,True,True
20260761,32,4,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260761,32,4,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260761,32,4,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260761,32,4,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260761,32,16,sparse_adaptive,31898,22962,768,2234,True,True
20260761,32,16,piecewise_oracle,31740,25280,0,1615,True,True
20260761,32,16,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
