seed_index,max_delay,regime,policy,regime_mse,oracle_regime_mse,normalized_regime_score
2,16,global,sparse_adaptive,0.002788758145997457,0.003937345679040599,0.7082837965796758
2,16,mixed,sparse_adaptive,0.031096467711066937,0.002635397020801717,11.79953815900082
3,4,independent,sparse_adaptive,8.643622259014484e-05,4.168163981834991e-05,2.0737241376979654
3,4,clustered,sparse_adaptive,8.152601134475331e-05,0.0018676443328308426,0.043651786323353106
3,4,global,sparse_adaptive,0.013416423826547234,0.01086818529495538,1.2344677112539344
3,4,mixed,sparse_adaptive,0.00901020556456928,0.0004127128859316482,21.831655544822297
3,16,independent,sparse_adaptive,0.0006062851119523438,2.6878983673921146e-05,22.556102541205124
3,16,clustered,sparse_adaptive,0.0004820855572176336,0.0011009369823726317,0.43788660471618457
3,16,global,sparse_adaptive,0.01607426155421584,0.001988393632448889,8.084043969915008
3,16,mixed,sparse_adaptive,0.003140037052569157,0.0035159852527127298,0.8930745799193802
4,4,independent,sparse_adaptive,0.00022558408954489266,0.00020636230549554078,1.0931458097601416
4,4,clustered,sparse_adaptive,0.0007202611046755349,5.822736378872529e-05,12.369804466658696
4,4,global,sparse_adaptive,0.039836372849049305,0.008224547841425133,4.843594276198719
4,4,mixed,sparse_adaptive,0.015346443870827231,0.0042796084230102335,3.585945804834335
4,16,independent,sparse_adaptive,5.486089506551642e-05,0.0001956143520911015,0.2804543453946907
4,16,clustered,sparse_adaptive,0.00018740672063635694,5.703112131374413e-05,3.2860430641961296
4,16,global,sparse_adaptive,0.07009415129668319,0.010977970114666483,6.384982885227383
4,16,mixed,sparse_adaptive,0.017504982648315275,0.006988846098494041,2.5047028367225392
5,4,independent,sparse_adaptive,1.584612978707936e-05,0.00010750233639256936,0.14740265485220333
5,4,clustered,sparse_adaptive,0.00011795936358609752,7.530068244273877e-05,1.5665112155629914
5,4,global,sparse_adaptive,0.018000334792000867,0.009650508441327258,1.8652213923689638
5,4,mixed,sparse_adaptive,0.0016053564884556727,0.003714299631418675,0.43220974282101937
5,16,independent,sparse_adaptive,4.966460446747771e-05,4.670780689103784e-05,1.0633041406405064
5,16,clustered,sparse_adaptive,0.00029728780703823954,7.785644303213322e-05,3.818409825318397
5,16,global,sparse_adaptive,0.0075046418973285876,0.010956951233505033,0.684920625947508
5,16,mixed,sparse_adaptive,0.0009238868001172227,0.0029431993656535522,0.3139056126808008
6,4,independent,sparse_adaptive,0.0002019857069694495,0.00011211306400886593,1.801625071574856
6,4,clustered,sparse_adaptive,0.0007369288696634449,0.000795001307325505,0.926953028722149
6,4,global,sparse_adaptive,0.011765363568892854,0.004528847106075256,2.5978716643160946
6,4,mixed,sparse_adaptive,0.00448725060872446,0.013589592062453238,0.33019759446071306
6,16,independent,sparse_adaptive,0.00015231081956165905,7.103704012991757e-05,2.1441042487567366
6,16,clustered,sparse_adaptive,0.0010753116792873922,0.0003295723125733574,3.2627488361846093
6,16,global,sparse_adaptive,0.009118443965564046,0.006375681666855533,1.4301912237819168
6,16,mixed,sparse_adaptive,0.0027260495115801688,0.005246956881215065,0.5195486780804045
7,4,independent,sparse_adaptive,0.0003625696537713671,0.00023157439750100159,1.565672447748888
7,4,clustered,sparse_adaptive,0.001303079788918771,0.0028374546160281136,0.459242513186988
7,4,global,sparse_adaptive,0.022385648652935405,0.006818872910357818,3.282895714177598
7,4,mixed,sparse_adaptive,0.04110255604910792,0.010052155693061232,4.08892950966528
7,16,independent,sparse_adaptive,7.067276521267814e-05,0.00014430566667780452,0.4897435204015327
7,16,clustered,sparse_adaptive,0.0007212466431272515,0.0035519712876765884,0.20305531343386296
7,16,global,sparse_adaptive,0.00643222213060835,0.014395511254176666,0.44682137487420787
7,16,mixed,sparse_adaptive,0.008520610958242785,0.0237617360199745,0.35858537234317484
8,4,independent,sparse_adaptive,0.00011899567772117826,0.00030501053536440746,0.39013628686304125
8,4,clustered,sparse_adaptive,0.0022684584310929817,0.0006551944861932582,3.4622672792515994
8,4,global,sparse_adaptive,0.005992886842742638,0.0010203805726024377,5.873187910132425
8,4,mixed,sparse_adaptive,0.006955829529088948,0.020777842317754234,0.33477150431281005
8,16,independent,sparse_adaptive,3.0428495073934055e-05,6.615029886247093e-05,0.45999028873922543
8,16,clustered,sparse_adaptive,0.0005936585317057694,0.000840684297377278,0.7061610803934766
8,16,global,sparse_adaptive,0.030685952937561718,0.0004175057605876687,73.49827435762583
8,16,mixed,sparse_adaptive,0.02297877790251654,0.02557334730285124,0.8985440048340709
9,4,independent,sparse_adaptive,0.0005433972288232854,6.121627517961803e-06,88.76679073152913
9,4,clustered,sparse_adaptive,0.00043686598072045763,1.7147715210985187e-05,25.476629122029745
9,4,global,sparse_adaptive,0.04819468197210859,0.0020716117378774376,23.26434103983626
9,4,mixed,sparse_adaptive,0.0006173288115266483,0.0012433595408657659,0.4965006430053168
9,16,independent,sparse_adaptive,6.901427919573477e-05,6.547955695461046e-05,1.0539820732686773
9,16,clustered,sparse_adaptive,0.00020634320095840004,2.2260680423716377e-05,9.269402238871521
9,16,global,sparse_adaptive,0.0271816081881378,0.003693090276312367,7.360125573556041
9,16,mixed,sparse_adaptive,0.0006892566145586002,0.0014716988716160534,0.4683407916197805
10,4,independent,sparse_adaptive,0.0009585432463661973,2.6845744495973674e-05,35.70559373050577
10,4,clustered,sparse_adaptive,0.0004869660922599499,5.869164422530151e-05,8.29702590015399
10,4,global,sparse_adaptive,0.0071782498649484786,0.011403857653754694,0.6294580380512779
