policy,budget,mean_mse,standard_error
piecewise_oracle,1200.0,0.005325090517454839,0.0005711833397059826
piecewise_oracle,1400.0,0.0033042567634794873,0.00034617238238892825
piecewise_oracle,1600.0,0.0022198701122264964,0.00026290436473445954
piecewise_oracle,1800.0,0.002061045401661429,0.0002495637549816502
piecewise_oracle,2000.0,0.0018191125817349492,0.00021824340988161323
piecewise_oracle,2200.0,0.0016128004211660172,0.00019740530682825605
piecewise_oracle,2400.0,0.0012169529714532296,0.00014646205334162184
piecewise_oracle,2600.0,0.0009843094568012067,0.00012118634880171214
piecewise_oracle,2800.0,0.0008115785059110027,0.00010673742518273612
piecewise_oracle,3000.0,0.0006587864068482729,8.359851692220085e-05
piecewise_oracle,3200.0,0.0005566761365636389,7.235657052389359e-05
piecewise_oracle,3400.0,0.0005156404549870643,6.27868365597655e-05
piecewise_oracle,3600.0,0.0005140065623053897,6.689190366576855e-05
piecewise_oracle,3800.0,0.0004519841911686188,5.676009004753929e-05
piecewise_oracle,4000.0,0.00042084636855517656,6.36460222448278e-05
piecewise_oracle,4200.0,0.00040903525429469357,7.131339973652955e-05
piecewise_oracle,4400.0,0.0004085826549199885,7.380268340400153e-05
piecewise_oracle,4600.0,0.0003997273736901755,7.30896437576184e-05
piecewise_oracle,4800.0,0.0003369471531423253,5.814917047365059e-05
piecewise_oracle,5000.0,0.0002972723751202931,5.063385193821847e-05
piecewise_oracle,5200.0,0.00026674702027196245,3.7564639153395596e-05
piecewise_oracle,5400.0,0.000251644833731918,3.657813427518939e-05
piecewise_oracle,5600.0,0.00025368241443545067,4.177204518193736e-05
piecewise_oracle,5800.0,0.0002170318441750133,2.9374101827338e-05
piecewise_oracle,6000.0,0.00020788064412950274,3.078751204624193e-05
piecewise_oracle,6200.0,0.00021537671235702477,3.857888222126679e-05
piecewise_oracle,6400.0,0.00019972797214716647,3.6967190915915144e-05
piecewise_oracle,6600.0,0.0001743570130823487,3.3299256511149006e-05
piecewise_oracle,6800.0,0.00016868885487622667,3.340619313700186e-05
piecewise_oracle,7000.0,0.0001759191433586541,3.854804050719995e-05
piecewise_oracle,7200.0,0.00015153295149272062,2.9033088855904115e-05
piecewise_oracle,7400.0,0.00013289462067000464,2.0327396597481242e-05
piecewise_oracle,7600.0,0.00012337010336220883,1.720194909903184e-05
piecewise_oracle,7800.0,0.00012959173528995688,2.2536526828471655e-05
piecewise_oracle,8000.0,0.00013125927522071422,2.142513632924618e-05
piecewise_oracle,8200.0,0.00013048940695836877,1.8722593523514422e-05
piecewise_oracle,8400.0,0.00013751337591989693,1.7337872361309444e-05
piecewise_oracle,8600.0,0.00015754257761799458,1.8367797148398115e-05
piecewise_oracle,8800.0,0.00016379435785057815,1.978057890623697e-05
piecewise_oracle,9000.0,0.0001833413097881763,2.3459062859594473e-05
piecewise_oracle,9200.0,0.0001958051984812658,2.538157135377221e-05
piecewise_oracle,9400.0,0.00022108274267071764,2.8333893645455614e-05
piecewise_oracle,9600.0,0.0002676969830289674,3.081355211494835e-05
