path,budget,error_amplitude,max_delay,overhead,q_at_zero,q_at_high,nonincreasing,responsive,high_strength_margin,well_separated
balanced,4000,0.1,32,4,32.0,32.0,False,False,0.004969917454222464,False
balanced,4000,0.1,32,16,32.0,1.0,True,True,0.011129676303422448,False
balanced,4000,0.3,0,0,32.0,1.0,True,True,0.025319882135193178,False
balanced,4000,0.3,0,4,32.0,1.0,True,True,0.10246057637991539,True
balanced,4000,0.3,0,16,32.0,1.0,True,True,0.047911617297263016,False
balanced,4000,0.3,4,0,32.0,1.0,True,True,0.025319882135193178,False
balanced,4000,0.3,4,4,32.0,1.0,True,True,0.10246057637991539,True
balanced,4000,0.3,4,16,32.0,1.0,True,True,0.047911617297263016,False
balanced,4000,0.3,16,0,32.0,1.0,True,True,0.025319882135193178,False
balanced,4000,0.3,16,4,32.0,1.0,True,True,0.10246057637991539,True
balanced,4000,0.3,16,16,32.0,1.0,True,True,0.047911617297263016,False
balanced,4000,0.3,32,0,32.0,1.0,True,True,0.025319882135193178,False
balanced,4000,0.3,32,4,32.0,1.0,True,True,0.10246057637991539,True
balanced,4000,0.3,32,16,32.0,1.0,True,True,0.047911617297263016,False
balanced,4000,1.0,0,0,8.0,1.0,True,False,0.02805419754104783,False
balanced,4000,1.0,0,4,32.0,1.0,True,True,0.1694674615814122,True
balanced,4000,1.0,0,16,32.0,1.0,True,True,0.07012557703796649,True
balanced,4000,1.0,4,0,32.0,1.0,True,True,0.02805419754104783,False
balanced,4000,1.0,4,4,32.0,1.0,True,True,0.1694674615814122,True
balanced,4000,1.0,4,16,32.0,1.0,True,True,0.07012557703796649,True
balanced,4000,1.0,16,0,32.0,1.0,True,True,0.02805419754104783,False
balanced,4000,1.0,16,4,32.0,1.0,True,True,0.1694674615814122,True
balanced,4000,1.0,16,16,32.0,1.0,True,True,0.07012557703796649,True
balanced,4000,1.0,32,0,32.0,1.0,True,True,0.02805419754104783,False
balanced,4000,1.0,32,4,32.0,1.0,True,True,0.1694674615814122,True
balanced,4000,1.0,32,16,32.0,1.0,True,True,0.07012557703796649,True
balanced,8000,0.01,0,0,32.0,32.0,True,False,0.03024516869171868,False
balanced,8000,0.01,0,4,32.0,32.0,True,False,0.09549817433196954,False
balanced,8000,0.01,0,16,32.0,32.0,True,False,0.17796485494417874,False
balanced,8000,0.01,4,0,32.0,32.0,True,False,0.025098523676173715,False
balanced,8000,0.01,4,4,32.0,32.0,True,False,0.08987347195810483,False
balanced,8000,0.01,4,16,32.0,32.0,True,False,0.17156562489234609,False
balanced,8000,0.01,16,0,32.0,32.0,True,False,0.005221017074452619,False
balanced,8000,0.01,16,4,32.0,32.0,True,False,0.06819888730283685,False
balanced,8000,0.01,16,16,32.0,32.0,True,False,0.1470836431703264,False
balanced,8000,0.01,32,0,32.0,1.0,True,True,0.020612659488810834,False
balanced,8000,0.01,32,4,32.0,32.0,True,False,0.04060608582778179,False
balanced,8000,0.01,32,16,32.0,32.0,True,False,0.1163605766885793,False
balanced,8000,0.03,0,0,32.0,32.0,True,False,0.014219196530867595,False
balanced,8000,0.03,0,4,32.0,32.0,True,False,0.07473575370750506,False
balanced,8000,0.03,0,16,32.0,32.0,True,False,0.1496686495310215,False
balanced,8000,0.03,4,0,32.0,32.0,True,False,0.009296716350321855,False
balanced,8000,0.03,4,4,32.0,32.0,True,False,0.06939710911144686,False
balanced,8000,0.03,4,16,32.0,32.0,True,False,0.14369969505534097,False
balanced,8000,0.03,16,0,32.0,1.0,True,True,0.00982445597356533,False
balanced,8000,0.03,16,4,32.0,32.0,True,False,0.04880737364762442,False
balanced,8000,0.03,16,16,32.0,32.0,True,False,0.12083639882695114,False
balanced,8000,0.03,32,0,32.0,1.0,True,True,0.02509541148096642,False
balanced,8000,0.03,32,4,32.0,32.0,True,False,0.02255539156649437,False
balanced,8000,0.03,32,16,32.0,32.0,True,False,0.09208283413626113,False
balanced,8000,0.1,0,0,8.0,1.0,True,False,0.025095412706953996,False
balanced,8000,0.1,0,4,32.0,1.0,True,True,0.024759020328485138,False
balanced,8000,0.1,0,16,32.0,1.0,True,True,0.01860130810815172,False
balanced,8000,0.1,4,0,8.0,1.0,True,False,0.025095412706953996,False
balanced,8000,0.1,4,4,32.0,1.0,True,True,0.024759020328485138,False
balanced,8000,0.1,4,16,32.0,1.0,True,True,0.01860130810815172,False
balanced,8000,0.1,16,0,8.0,1.0,True,False,0.025095412706953996,False
balanced,8000,0.1,16,4,32.0,1.0,True,True,0.024759020328485138,False
balanced,8000,0.1,16,16,32.0,1.0,True,True,0.01860130810815172,False
balanced,8000,0.1,32,0,32.0,1.0,True,True,0.025095412706953996,False
balanced,8000,0.1,32,4,32.0,1.0,True,True,0.024759020328485138,False
balanced,8000,0.1,32,16,32.0,1.0,True,True,0.01860130810815172,False
balanced,8000,0.3,0,0,16.0,1.0,True,True,0.02509542348486665,False
balanced,8000,0.3,0,4,32.0,1.0,True,True,0.029703974968032495,False
balanced,8000,0.3,0,16,32.0,1.0,True,True,0.06012415411568584,True
balanced,8000,0.3,4,0,16.0,1.0,True,True,0.02509542348486665,False
balanced,8000,0.3,4,4,32.0,1.0,True,True,0.029703974968032495,False
balanced,8000,0.3,4,16,32.0,1.0,True,True,0.06012415411568584,True
balanced,8000,0.3,16,0,32.0,1.0,True,True,0.02509542348486665,False
balanced,8000,0.3,16,4,32.0,1.0,True,True,0.029703974968032495,False
balanced,8000,0.3,16,16,32.0,1.0,True,True,0.06012415411568584,True
balanced,8000,0.3,32,0,32.0,1.0,True,True,0.02509542348486665,False
balanced,8000,0.3,32,4,32.0,1.0,True,True,0.029703974968032495,False
balanced,8000,0.3,32,16,32.0,1.0,True,True,0.06012415411568584,True
balanced,8000,1.0,0,0,4.0,1.0,True,False,0.025095546083623452,False
balanced,8000,1.0,0,4,32.0,1.0,True,True,0.08473991196560837,True
balanced,8000,1.0,0,16,32.0,1.0,True,True,0.055676605455619387,True
balanced,8000,1.0,4,0,4.0,1.0,True,False,0.025095546083623452,False
balanced,8000,1.0,4,4,32.0,1.0,True,True,0.08473991196560837,True
balanced,8000,1.0,4,16,32.0,1.0,True,True,0.055676605455619387,True
balanced,8000,1.0,16,0,32.0,1.0,True,True,0.025095546083623452,False
balanced,8000,1.0,16,4,32.0,1.0,True,True,0.08473991196560837,True
balanced,8000,1.0,16,16,32.0,1.0,True,True,0.055676605455619387,True
balanced,8000,1.0,32,0,32.0,1.0,True,True,0.025095546083623452,False
balanced,8000,1.0,32,4,32.0,1.0,True,True,0.08473991196560837,True
balanced,8000,1.0,32,16,32.0,1.0,True,True,0.055676605455619387,True
clustered,250,0.01,0,0,32.0,32.0,True,False,0.31166193930577446,False
clustered,250,0.01,0,4,32.0,32.0,True,False,0.24528045571990884,False
clustered,250,0.01,0,16,32.0,32.0,True,False,0.0794151443623558,False
clustered,250,0.01,4,0,32.0,32.0,True,False,0.3104356622238704,False
clustered,250,0.01,4,4,32.0,32.0,True,False,0.24431127835228922,False
