path,strength,rho_global,rho_cluster,budget,error_amplitude,max_delay,overhead,selected_q,selected_eta,best_risk,runner_up_q,runner_up_risk,relative_margin,lrv_at_best_q,horizon_at_best_q
global,0.1,0.1,0.0,250,0.3,0,0,1.0,0.005946035575013605,0.015449629380328098,2.0,0.02334296275590577,0.5109076199347666,3.8459999999999983,250.0
global,0.2,0.2,0.0,250,0.3,0,0,1.0,0.0047880164034928676,0.021677535986313702,2.0,0.033395035990901156,0.5405365264753982,6.191999999999997,250.0
global,0.30000000000000004,0.30000000000000004,0.0,250,0.3,0,0,1.0,0.0047880164034928676,0.026796507526016027,2.0,0.04078672748782578,0.5220911698372266,8.537999999999995,250.0
global,0.4,0.4,0.0,250,0.3,0,0,1.0,0.0038555270635198514,0.031019391981761943,2.0,0.046550832443588,0.5007009960400859,10.883999999999993,250.0
global,0.5,0.5,0.0,250,0.3,0,0,1.0,0.0038555270635198514,0.03489393383434873,2.0,0.05109643632303781,0.4643357944566207,13.229999999999992,250.0
global,0.6000000000000001,0.6000000000000001,0.0,250,0.3,0,0,1.0,0.0031046445301837096,0.0381129815644467,2.0,0.05461528569569665,0.43298381427717936,15.57599999999999,250.0
global,0.7000000000000001,0.7000000000000001,0.0,250,0.3,0,0,1.0,0.0031046445301837096,0.04098989465196117,2.0,0.057857818123048146,0.41151419427422037,17.92199999999999,250.0
global,0.8,0.8,0.0,250,0.3,0,0,1.0,0.0025,0.04385549684302023,2.0,0.06021509806891738,0.3730342238387123,20.267999999999986,250.0
clustered,0.0,0.0,0.0,250,0.3,0,0,8.0,0.06441961327797016,0.00758949947378582,4.0,0.0076157348084508365,0.0034567937919534114,0.18749999999999997,31.0
clustered,0.1,0.0,0.1,250,0.3,0,0,1.0,0.007384130729697496,0.00857201196291155,2.0,0.0088327613480979,0.0304186912377784,1.7594166666666664,250.0
clustered,0.2,0.0,0.2,250,0.3,0,0,1.0,0.007384130729697496,0.009509713630397397,2.0,0.009918712533258111,0.043008540399509645,2.0188333333333333,250.0
clustered,0.30000000000000004,0.0,0.30000000000000004,250,0.3,0,0,1.0,0.007384130729697496,0.010447415297883246,2.0,0.011004663718418323,0.05333840042215813,2.27825,250.0
clustered,0.4,0.0,0.4,250,0.3,0,0,1.0,0.007384130729697496,0.011385116965369091,2.0,0.012090614903578531,0.06196668337755358,2.537666666666666,250.0
clustered,0.5,0.0,0.5,250,0.3,0,0,1.0,0.007384130729697496,0.01232281863285494,2.0,0.013176566088738743,0.06928183245410695,2.7970833333333327,250.0
clustered,0.6000000000000001,0.0,0.6000000000000001,250,0.3,0,0,1.0,0.005946035575013605,0.013214783083450718,2.0,0.014262517273898954,0.07928500860224841,3.0564999999999998,250.0
clustered,0.7000000000000001,0.0,0.7000000000000001,250,0.3,0,0,1.0,0.005946035575013605,0.013949116683005212,2.0,0.015119323809033521,0.0838911274901027,3.315916666666666,250.0
clustered,0.8,0.0,0.8,250,0.3,0,0,1.0,0.005946035575013605,0.014683450282559709,2.0,0.015966807830819336,0.08740163405490176,3.5753333333333326,250.0
balanced,0.0,0.0,0.0,250,0.3,0,0,8.0,0.06441961327797016,0.00758949947378582,4.0,0.0076157348084508365,0.0034567937919534114,0.18749999999999997,31.0
balanced,0.1,0.05,0.05,250,0.3,0,0,1.0,0.007384130729697496,0.012343151065413656,2.0,0.01692929761303305,0.37155395111950695,2.802708333333332,250.0
balanced,0.2,0.1,0.1,250,0.3,0,0,1.0,0.005946035575013605,0.016183962979882595,2.0,0.023993642461000636,0.48255668224314585,4.105416666666665,250.0
balanced,0.30000000000000004,0.15000000000000002,0.15000000000000002,250,0.3,0,0,1.0,0.005946035575013605,0.019871553726762022,2.0,0.029895467149998984,0.50443531296384,5.408124999999997,250.0
balanced,0.4,0.2,0.2,250,0.3,0,0,1.0,0.0047880164034928676,0.022809630217849177,2.0,0.034375897736805786,0.5070782563544445,6.71083333333333,250.0
balanced,0.5,0.25,0.25,250,0.3,0,0,1.0,0.0047880164034928676,0.025652139545584207,2.0,0.038561724136652695,0.5032556667691589,8.013541666666661,250.0
balanced,0.6000000000000001,0.30000000000000004,0.30000000000000004,250,0.3,0,0,1.0,0.0038555270635198514,0.028430170758661798,2.0,0.04187462410219846,0.4728938653820976,9.316249999999995,250.0
balanced,0.7000000000000001,0.35000000000000003,0.35000000000000003,250,0.3,0,0,1.0,0.0038555270635198514,0.030581661789869635,2.0,0.04518752406774421,0.47760198180966285,10.618958333333328,250.0
balanced,0.8,0.4,0.4,250,0.3,0,0,1.0,0.0038555270635198514,0.03273315282107747,2.0,0.04760357918705389,0.4542925164361523,11.92166666666666,250.0
global,0.0,0.0,0.0,250,1.0,0,0,4.0,0.05187358218604038,0.011325133375508178,2.0,0.011329634545212965,0.0003974495977699875,0.37499999999999994,62.0
global,0.1,0.1,0.0,250,1.0,0,0,1.0,0.011387886347566916,0.025210648923213307,2.0,0.042036496439425336,0.667410329954626,3.8459999999999983,250.0
global,0.2,0.2,0.0,250,1.0,0,0,1.0,0.009170040432046712,0.03822627550117307,2.0,0.06594094264221143,0.7250161512645368,6.191999999999997,250.0
global,0.30000000000000004,0.30000000000000004,0.0,250,1.0,0,0,1.0,0.009170040432046712,0.04892432684481226,2.0,0.08966949310100666,0.8328201711479422,8.537999999999995,250.0
