persistence,rho,delay,seed,policy,pilot_stays,persistence_upper,certificate_covered,gap,delta_upper,num_agents,eta,theorem_contraction,updates,risk_surrogate,exact_radius,exact_residual,expected_final_error,used_persistence
0.5,0.9,0,71,oracle_q32,-1,0.5,True,1,0.0,32,0.015903828684048202,0.9797770282692881,487,0.0004995707026237802,0.9797770282692883,1.5700924586837754e-16,0.0004995491282407735,0.5
0.5,0.9,0,72,online_ucb,1014,0.5210517944662012,True,2,0.0008863561004943591,1,0.005263258939891145,0.9932149698780295,1632,0.00017826025147705442,0.9931736791270995,0.0,0.0001762895687873651,0.5
0.5,0.9,0,72,oracle,-1,0.5,True,1,0.0,1,0.00434885061279695,0.9943498046825747,2000,0.00014586722226623438,0.994349804682575,1.5700924586837754e-16,0.00014586561853702847,0.5
0.5,0.9,0,72,iid_naive,-1,0.5,True,1,0.0,1,0.00434885061279695,0.9943498046825747,2000,0.00014586722226623438,0.994349804682575,1.5700924586837754e-16,0.00014586561853702847,0.5
0.5,0.9,0,72,worst_mixing,-1,0.98,True,85,0.01556054531676138,4,0.038165133508905116,0.9589872889196854,206,0.0014933099933602955,0.9535418318278037,0.0,0.00121543743953191,0.5
0.5,0.9,0,72,oracle_q1,-1,0.5,True,1,0.0,1,0.00434885061279695,0.9943498046825747,2000,0.00014586722226623438,0.994349804682575,1.5700924586837754e-16,0.00014586561853702847,0.5
0.5,0.9,0,72,oracle_q32,-1,0.5,True,1,0.0,32,0.015903828684048202,0.9797770282692881,487,0.0004995707026237802,0.9797770282692883,1.5700924586837754e-16,0.0004995491282407735,0.5
0.5,0.9,0,73,online_ucb,1015,0.5215393572806667,True,2,0.0009278878241284186,1,0.005264494200800111,0.9932153288175597,1632,0.00017835438046165673,0.9931720931149982,0.0,0.00017629169839320579,0.5
0.5,0.9,0,73,oracle,-1,0.5,True,1,0.0,1,0.00434885061279695,0.9943498046825747,2000,0.00014586722226623438,0.994349804682575,1.5700924586837754e-16,0.00014586561853702847,0.5
0.5,0.9,0,73,iid_naive,-1,0.5,True,1,0.0,1,0.00434885061279695,0.9943498046825747,2000,0.00014586722226623438,0.994349804682575,1.5700924586837754e-16,0.00014586561853702847,0.5
0.5,0.9,0,73,worst_mixing,-1,0.98,True,85,0.01556054531676138,4,0.038165133508905116,0.9589872889196854,206,0.0014933099933602955,0.9535418318278037,0.0,0.00121543743953191,0.5
0.5,0.9,0,73,oracle_q1,-1,0.5,True,1,0.0,1,0.00434885061279695,0.9943498046825747,2000,0.00014586722226623438,0.994349804682575,1.5700924586837754e-16,0.00014586561853702847,0.5
0.5,0.9,0,73,oracle_q32,-1,0.5,True,1,0.0,32,0.015903828684048202,0.9797770282692881,487,0.0004995707026237802,0.9797770282692883,1.5700924586837754e-16,0.0004995491282407735,0.5
0.5,0.9,0,74,online_ucb,1057,0.5419948921891476,True,2,0.0035271419399562683,1,0.005343100518274887,0.9932380005585115,1632,0.00018440233597784883,0.9930711821364905,0.0,0.00017661220019418998,0.5
0.5,0.9,0,74,oracle,-1,0.5,True,1,0.0,1,0.00434885061279695,0.9943498046825747,2000,0.00014586722226623438,0.994349804682575,1.5700924586837754e-16,0.00014586561853702847,0.5
0.5,0.9,0,74,iid_naive,-1,0.5,True,1,0.0,1,0.00434885061279695,0.9943498046825747,2000,0.00014586722226623438,0.994349804682575,1.5700924586837754e-16,0.00014586561853702847,0.5
