task,mixing,rho,delay_trace,budget,best_fixed_policy,best_fixed_q,policy,nominal_q,geometric_terminal_prediction_mse,geometric_terminal_error_ratio_to_best_fixed,cvar90_terminal_prediction_mse,mean_message_bytes,mean_environment_steps,mean_agent_transitions,mean_wall_seconds,seeds
acrobot,fast_regeneration,0.9,wan_bursty,environment_binding,fixed_q16,16,fixed_q32,32,32.92909782028541,1.0425658435194873,33.15208053588867,536253440.0,808.0,25856.0,5.4074757024645805,2
acrobot,fast_regeneration,0.9,wan_bursty,environment_binding,fixed_q16,16,fixed_q4,4,31.777576302480124,1.0061076019638397,32.649173736572266,143671296.0,1024.0,4096.0,2.759948331513442,2
acrobot,fast_regeneration,0.9,wan_bursty,environment_binding,fixed_q16,16,oracle_evaluation_only,,855.0647712918867,27.072145414094937,869.7137451171875,169902080.0,1024.0,32768.0,3.074192384025082,2
acrobot,fast_regeneration,0.9,wan_bursty,environment_binding,fixed_q16,16,single_agent,1,31.923046919960985,1.0107133369235082,32.764923095703125,86249472.0,1024.0,1024.0,0.8818211239995435,2
acrobot,fast_regeneration,0.9,wan_bursty,message_binding,single_agent,1,always_all,32,917.8595717310515,29.248100034436455,928.7874145507812,134063360.0,202.0,6464.0,1.35419872100465,2
acrobot,fast_regeneration,0.9,wan_bursty,message_binding,single_agent,1,fixed_q16,16,536.2413105355876,17.087624268669565,578.5135498046875,134175744.0,368.0,5888.0,2.026297684875317,2
acrobot,fast_regeneration,0.9,wan_bursty,message_binding,single_agent,1,fixed_q32,32,917.8595717310515,29.248100034436455,928.7874145507812,134063360.0,202.0,6464.0,1.3565639794105664,2
acrobot,fast_regeneration,0.9,wan_bursty,message_binding,single_agent,1,fixed_q4,4,32.20595572064302,1.0262604908564479,33.157161712646484,134130624.0,956.0,3824.0,2.5778582325438038,2
acrobot,fast_regeneration,0.9,wan_bursty,message_binding,single_agent,1,oracle_evaluation_only,,31.877850707353065,1.0158052441650547,32.121734619140625,133801920.0,4096.0,14272.0,7.938499749987386,2
acrobot,fast_regeneration,0.9,wan_bursty,message_binding,single_agent,1,single_agent,1,31.381852860540402,1.0,31.52276611328125,134175204.0,1593.0,1593.0,1.3738426219206303,2
acrobot,fast_regeneration,0.9,zero,environment_binding,single_agent,1,always_all,32,31.67635729765099,1.012852122282652,32.18167495727539,536253440.0,808.0,25856.0,1.6234350175363943,2
acrobot,fast_regeneration,0.9,zero,environment_binding,single_agent,1,fixed_q16,16,31.29658504461841,1.0007088973261438,31.47681427001953,373358592.0,1024.0,16384.0,1.2171355014434084,2
acrobot,fast_regeneration,0.9,zero,environment_binding,single_agent,1,fixed_q32,32,31.67635729765099,1.012852122282652,32.18167495727539,536253440.0,808.0,25856.0,1.623166247853078,2
acrobot,fast_regeneration,0.9,zero,environment_binding,single_agent,1,fixed_q4,4,31.29610353943736,1.0006935011888942,31.47681427001953,143671296.0,1024.0,4096.0,0.963800365338102,2
