persistence,rho,maximum_delay,policy,q,gap,eta,checkpoint,resource_fraction,parameter_mean,parameter_std,return_mean,return_std,seeds,parameter_ci95,return_ci95
0.0,0.0,0,q16,16,64,0.0102631531302343,31,0.774375,0.002948100425715158,0.002479675557065035,0.049276480252679264,0.06112163195324051,64,0.0006075205114809335,0.014974799828543925
0.0,0.0,0,q16,16,64,0.0102631531302343,32,0.7993125,0.002760861403220792,0.0024176753079957953,0.04465042997063203,0.05727459040580924,64,0.0005923304504589699,0.014032274649423264
0.0,0.0,0,q16,16,64,0.0102631531302343,33,0.82425,0.0025002479908134844,0.002238744951694666,0.03735643492599319,0.03940798653924923,64,0.0005484925131651932,0.00965495670211606
0.0,0.0,0,q16,16,64,0.0102631531302343,34,0.8491875,0.0020912327232210128,0.001796942456830083,0.037948132860455265,0.051016946934373864,64,0.00044025090192337035,0.012499151998921596
0.0,0.0,0,q16,16,64,0.0102631531302343,35,0.874125,0.0022138259436408365,0.0021552723719711953,0.03876295010100277,0.051280793165800496,64,0.0005280417311329429,0.012563794325621122
0.0,0.0,0,q16,16,64,0.0102631531302343,36,0.8990625,0.002220540102497583,0.002027282427387422,0.04115453310032993,0.05364393491171346,64,0.0004966841947099184,0.013142764053369798
0.0,0.0,0,q16,16,64,0.0102631531302343,37,0.924,0.0022364206743724765,0.002337363928460245,0.041164832634503816,0.04986384090092139,64,0.0005726541624727601,0.012216641020725741
0.0,0.0,0,q16,16,64,0.0102631531302343,38,0.9489375,0.0022266670499003676,0.0021082086453837437,0.03903623504761297,0.046297511365766784,64,0.0005165111181190172,0.011342890284612862
0.0,0.0,0,q16,16,64,0.0102631531302343,39,0.973875,0.002187004732234489,0.0020214985160955878,0.03426023600723341,0.043850825005579984,64,0.000495267136443419,0.010743452126367096
0.0,0.0,0,q16,16,64,0.0102631531302343,40,0.99946875,0.0020889735735006715,0.001807605918823854,0.037686011725234184,0.0399517967916904,64,0.0004428634501118442,0.009788190213964147
0.0,0.0,0,q32,32,68,0.0120701558217088,0,0.0,1.0,0.0,1.0,0.0,64,0.0,0.0
0.0,0.0,0,q32,32,68,0.0120701558217088,1,0.024375,0.6933588599510795,0.008745582694496254,0.3446799115495546,0.035462819240099974,64,0.0021426677601515823,0.008688390713824493
0.0,0.0,0,q32,32,68,0.0120701558217088,2,0.0495625,0.4803997728983936,0.008506881684177334,0.10642814225667159,0.021773349525883726,64,0.0020841860126234466,0.005334470633841513
0.0,0.0,0,q32,32,68,0.0120701558217088,3,0.07475,0.3346320872403472,0.00804978922713267,0.02858934805569446,0.013504730714298967,64,0.001972198360647504,0.0033086590250032467
0.0,0.0,0,q32,32,68,0.0120701558217088,4,0.0999375,0.2334241046299859,0.0067367088041508,0.007461750957069317,0.007708898965967821,64,0.001650493657016946,0.001888680246662116
0.0,0.0,0,q32,32,68,0.0120701558217088,5,0.1243125,0.1663687104181921,0.005365898746898399,0.00426918165893043,0.006789269576258611,64,0.0013146451929901078,0.0016633710461833597
0.0,0.0,0,q32,32,68,0.0120701558217088,6,0.1495,0.11728907235601073,0.0049432037575797205,0.004653948869728877,0.007801032071893482,64,0.0012110849206070314,0.001911252857613903
0.0,0.0,0,q32,32,68,0.0120701558217088,7,0.1746875,0.08284691320997613,0.004255802733873961,0.005733662372549915,0.008268655095081035,64,0.0010426716697991205,0.0020258204982948535
0.0,0.0,0,q32,32,68,0.0120701558217088,8,0.199875,0.0585493334986597,0.0037149065272906135,0.009219124909724229,0.013521793321276397,64,0.0009101520991862003,0.003312839363712717
0.0,0.0,0,q32,32,68,0.0120701558217088,9,0.22425,0.04223292379768548,0.004016914259043905,0.013382786494810643,0.0234487498142248,64,0.0009841439934657567,0.005744943704485076
0.0,0.0,0,q32,32,68,0.0120701558217088,10,0.2494375,0.02996734765538108,0.0033860425480792327,0.01749786480341743,0.023944048683138798,64,0.000829580424279412,0.005866291927369005
0.0,0.0,0,q32,32,68,0.0120701558217088,11,0.274625,0.02133212687407699,0.002968186263669933,0.014723188043741724,0.02173381819118435,64,0.0007272056345991335,0.005324785456840166
0.0,0.0,0,q32,32,68,0.0120701558217088,12,0.2998125,0.015574556605196322,0.002550995986729689,0.015280543540175783,0.018154272040678383,64,0.0006249940167487738,0.004447796649966204
0.0,0.0,0,q32,32,68,0.0120701558217088,13,0.3241875,0.011668811477877338,0.0022195835049635413,0.01736533038764185,0.018017173754311087,64,0.0005437979587160676,0.004414207569806216
0.0,0.0,0,q32,32,68,0.0120701558217088,14,0.349375,0.008450373539224103,0.0019272999214136033,0.01669262905672938,0.017108950225356103,64,0.0004721884807463328,0.004191692805212245
0.0,0.0,0,q32,32,68,0.0120701558217088,15,0.3745625,0.0062664413096486125,0.002016516507979946,0.018170550323128098,0.024271181316429642,64,0.0004940465444550869,0.005946439422525263
0.0,0.0,0,q32,32,68,0.0120701558217088,16,0.39975,0.004735746122663667,0.0016967101323023016,0.018135470217793073,0.026070277010462654,64,0.0004156939824140639,0.00638721786756335
0.0,0.0,0,q32,32,68,0.0120701558217088,17,0.424125,0.0036748773322051406,0.0016188100435546647,0.01761842869321247,0.023012397774172504,64,0.0003966084606708928,0.005638037454672264
0.0,0.0,0,q32,32,68,0.0120701558217088,18,0.4493125,0.002952302444577322,0.001671574845358092,0.020220694309619206,0.026246448108688293,64,0.00040953583711273253,0.006430379786628632
0.0,0.0,0,q32,32,68,0.0120701558217088,19,0.4745,0.0025068234308392484,0.0015537340672237003,0.019709107663808872,0.03595286663160564,64,0.0003806648464698066,0.008808452324743383
0.0,0.0,0,q32,32,68,0.0120701558217088,20,0.4996875,0.002021665217336536,0.0013485106155598791,0.018575690923628523,0.0317677814930128,64,0.0003303851008121704,0.007783106465788136
0.0,0.0,0,q32,32,68,0.0120701558217088,21,0.5240625,0.0019094985584326857,0.0013363236554087834,0.02339489730194812,0.03145163234042841,64,0.00032739929557515195,0.0077056499234049594
