persistence,num_agents,rho,maximum_delay,target_fraction,gap,pair_delta,joint_delta,curvature,monotonicity,lipschitz,effective_monotonicity,effective_curvature,rms_delay,maximum_actual_delay,omega,innovation_bound,initial_error,update_cost,updates,resource_budget,eta,affine_boundary,a_delta,beta_delta,h_delay,g_delay,young_lambda,contraction,forcing,residual,blocks,finite_time_bound
0.0,4,0.9,0,0.1,56,0.0001234148815085895,0.0006170744075429475,8.529028553929468,0.10000000000000003,7.412688455006394,0.090851639326653,8.596842501475022,0.0,0,1.391215044606638,4.060351299511963,0.696136173289883,64,2000,128000,0.0020868783044368697,0.005284012084148719,0.9998852832329584,1.2871677322709229e-05,0.0,0.0,0.0,0.9998852832329584,1.2871677322709229e-05,0.11220397553608245,2000,0.5764145071860263
0.0,4,0.9,0,0.25,50,0.00031388256269316976,0.0015694128134658488,8.529028553929468,0.10000000000000003,7.412688455006394,0.07673286351296524,8.701500587947969,0.0,0,1.391215044606638,4.060351299511963,0.696136173289883,58,2206,128000,0.001681420285443118,0.0044091741842336545,0.9999201811222437,1.1718249752058599e-05,0.0,0.0,0.0,0.9999201811222437,1.1718249752058599e-05,0.14681050500150084,2206,0.6074445948003966
0.0,4,0.9,0,0.5,46,0.0005848353627195289,0.0029241768135976447,8.529028553929468,0.10000000000000003,7.412688455006394,0.056647976586894744,8.85038359738496,0.0,0,1.391215044606638,4.060351299511963,0.696136173289883,54,2370,128000,0.0009511310985429882,0.003200311939225671,0.9999621333533307,1.2159406621045125e-05,0.0,0.0,0.0,0.9999621333533307,1.2159406621045125e-05,0.32111125992343253,2370,0.6639454116634034
0.0,4,0.9,0,0.75,43,0.0009326817580449679,0.0046634087902248395,8.529028553929468,0.10000000000000003,7.412688455006394,0.030863206999450027,9.041518061220811,0.0,0,1.391215044606638,4.060351299511963,0.696136173289883,51,2509,128000,1.8005975147364663e-11,0.0017067491758822359,0.9999999999994442,8.367000227881574e-13,0.0,0.0,0.0,0.9999999999994442,8.367000227881574e-13,1.5054582144824735,2509,1.5054582144824735
0.0,8,0.9,0,0.1,60,6.623706651910611e-05,0.000596133598671955,8.432915976973371,0.10000000000000003,7.412688455006394,0.09116209471096601,8.498428615475834,0.0,0,1.3724148413011428,4.060351299511963,0.696136173289883,72,1777,128000,0.0021241446849455847,0.005363467697131412,0.9998830481818305,1.3108088371717512e-05,0.0,0.0,0.0,0.9998830481818305,1.3108088371717512e-05,0.11208109952355615,1777,0.5865327647798079
0.0,8,0.9,0,0.25,54,0.00016846153382633954,0.0015161538044370557,8.432915976973371,0.10000000000000003,7.412688455006394,0.07752244839567086,8.599535064247592,0.0,0,1.3724148413011428,4.060351299511963,0.696136173289883,66,1939,128000,0.001728799068073773,0.0045073627711545074,0.9999173829192545,1.188300263026866e-05,0.0,0.0,0.0,0.9999173829192545,1.188300263026866e-05,0.14383227442845486,1939,0.6143799572406822
0.0,8,0.9,0,0.5,49,0.00036671933100724,0.00330047397906516,8.432915976973371,0.10000000000000003,7.412688455006394,0.05106922927866938,8.795624536193944,0.0,0,1.3724148413011428,4.060351299511963,0.696136173289883,61,2098,128000,0.0006994929117531921,0.002903104212129238,0.9999728846642377,1.1288805927166523e-05,0.0,0.0,0.0,0.9999728846642377,1.1288805927166523e-05,0.4163255076809007,2098,0.680662409938785
0.0,8,0.9,0,0.75,47,0.000500572545289632,0.004505152907606689,8.432915976973371,0.10000000000000003,7.412688455006394,0.03320941010749086,8.92801381157264,0.0,0,1.3724148413011428,4.060351299511963,0.696136173289883,59,2169,128000,2.7247918487260863e-11,0.0018598431189941521,0.9999999999990951,1.0981924511822501e-12,0.0,0.0,0.0,0.9999999999990951,1.0981924511822501e-12,1.213549040344859,2169,1.213549040344859
0.0,16,0.9,0,0.1,64,3.5549594395554215e-05,0.0006043431047244217,8.384859688790538,0.10000000000000003,7.412688455006394,0.09104038568949316,8.451274518351342,0.0,0,1.3630147396483954,4.060351299511963,0.696136173289883,84,1523,128000,0.002138816492063488,0.005386192667851444,0.9998826026404792,1.321847322364622e-05,0.0,0.0,0.0,0.9998826026404792,1.321847322364622e-05,0.11259600111626104,1523,0.6005917145163483
0.0,16,0.9,0,0.25,58,9.041371420756398e-05,0.0015370331415285876,8.384859688790538,0.10000000000000003,7.412688455006394,0.0772129043536577,8.553773329611307,0.0,0,1.3630147396483954,4.060351299511963,0.696136173289883,78,1641,128000,0.0017331408147323562,0.0045133826545509705,0.9999175664206538,1.1989866555584394e-05,0.0,0.0,0.0,0.9999175664206538,1.1989866555584394e-05,0.1454488164977718,1641,0.626458863689866
0.0,16,0.9,0,0.5,53,0.00019681915438076608,0.0033459256244730232,8.384859688790538,0.10000000000000003,7.412688455006394,0.05039539150431756,8.752563197501596,0.0,0,1.3630147396483954,4.060351299511963,0.696136173289883,73,1753,128000,0.0006697700048182927,0.0028788933234261405,0.999974099335587,1.1133791001296816e-05,0.0,0.0,0.0,0.999974099335587,1.1133791001296816e-05,0.4298650731026003,1753,0.6843166399232874
0.0,16,0.9,0,0.75,51,0.0002686584979512118,0.004567194465170601,8.384859688790538,0.10000000000000003,7.412688455006394,0.03228962063252161,8.886775636211949,0.0,0,1.3630147396483954,4.060351299511963,0.696136173289883,71,1802,128000,2.025347619913627e-11,0.0018167230700034788,0.999999999999346,8.628252600221548e-13,0.0,0.0,0.0,0.999999999999346,8.628252600221548e-13,1.3192393547858183,1802,1.3192393547858183
