seed,seed_index,persistence,rho,maximum_delay,policy,num_agents,gap,eta,updates,finite_time_bound,squared_parameter_error,maximum_squared_error,diverged,finite,charged_budget,within_budget
20261144,14,0.98,0.0,0,joint,16,1185,0.1332359122573404,106,8.906728318451414,0.6479519666606187,16.327781787862545,False,True,127730,True
20261144,14,0.98,0.0,0,q1,1,924,0.05033028850329991,137,12.342447380399843,3.0600463303061773,16.71139506983887,False,True,127273,True
20261144,14,0.98,0.0,0,q32,32,1266,0.14223107951442632,98,8.980149041189279,1.0731452742369418,16.344256662858736,False,True,127596,True
20261144,14,0.98,0.9,0,joint,1,924,0.05033028850329991,137,12.342447380399843,3.3165654625644296,16.71139506983887,False,True,127273,True
20261144,14,0.98,0.9,0,q1,1,924,0.05033028850329991,137,12.342447380399843,3.3165654625644296,16.71139506983887,False,True,127273,True
20261144,14,0.98,0.9,0,q32,32,1266,0.05456462596119015,98,13.229314009303925,4.283036064104735,16.758616852409016,False,True,127596,True
20261144,14,0.98,0.0,8,joint,4,1036,0.09976535499448831,122,9.731669466781105,0.8896540990124739,16.30673793690413,False,True,127368,True
20261144,14,0.98,0.0,8,q1,1,924,0.05033028850329991,137,12.342447380399843,3.0600463303061773,16.71139506983887,False,True,127273,True
20261144,14,0.98,0.0,8,q32,32,1266,5.6771459946438414e-05,98,16.80514243398927,16.784392517186774,16.805170350631983,False,True,127596,True
20261144,14,0.98,0.9,8,joint,1,924,0.05033028850329991,137,12.342447380399843,3.3165654625644296,16.71139506983887,False,True,127273,True
20261144,14,0.98,0.9,8,q1,1,924,0.05033028850329991,137,12.342447380399843,3.3165654625644296,16.71139506983887,False,True,127273,True
20261144,14,0.98,0.9,8,q32,32,1266,5.6734676540672174e-05,98,16.805142572399127,16.782248479176285,16.805306576981323,False,True,127596,True
20261145,15,0.98,0.0,0,joint,16,1185,0.1332359122573404,106,8.906728318451414,0.6053538753121083,16.152255114989728,False,True,127730,True
20261145,15,0.98,0.0,0,q1,1,924,0.05033028850329991,137,12.342447380399843,3.2676479588567435,16.71139506983887,False,True,127273,True
20261145,15,0.98,0.0,0,q32,32,1266,0.14223107951442632,98,8.980149041189279,0.7093345177962784,16.279842616054935,False,True,127596,True
20261145,15,0.98,0.9,0,joint,1,924,0.05033028850329991,137,12.342447380399843,3.0344894877319857,16.72496873185336,False,True,127273,True
20261145,15,0.98,0.9,0,q1,1,924,0.05033028850329991,137,12.342447380399843,3.0344894877319857,16.72496873185336,False,True,127273,True
20261145,15,0.98,0.9,0,q32,32,1266,0.05456462596119015,98,13.229314009303925,6.060197888552105,16.719556523948903,False,True,127596,True
20261145,15,0.98,0.0,8,joint,4,1036,0.09976535499448831,122,9.731669466781105,1.1158136378870571,16.219245401162624,False,True,127368,True
20261145,15,0.98,0.0,8,q1,1,924,0.05033028850329991,137,12.342447380399843,3.2676479588567435,16.71139506983887,False,True,127273,True
20261145,15,0.98,0.0,8,q32,32,1266,5.6771459946438414e-05,98,16.80514243398927,16.78448676848486,16.805144170212266,False,True,127596,True
20261145,15,0.98,0.9,8,joint,1,924,0.05033028850329991,137,12.342447380399843,3.0344894877319857,16.72496873185336,False,True,127273,True
20261145,15,0.98,0.9,8,q1,1,924,0.05033028850329991,137,12.342447380399843,3.0344894877319857,16.72496873185336,False,True,127273,True
20261145,15,0.98,0.9,8,q32,32,1266,5.6734676540672174e-05,98,16.805142572399127,16.785482422986277,16.805265191458766,False,True,127596,True
20261146,16,0.98,0.0,0,joint,16,1185,0.1332359122573404,106,8.906728318451414,0.6853985086739114,16.438220565382743,False,True,127730,True
20261146,16,0.98,0.0,0,q1,1,924,0.05033028850329991,137,12.342447380399843,3.809776299390615,16.805335396634618,False,True,127273,True
20261146,16,0.98,0.0,0,q32,32,1266,0.14223107951442632,98,8.980149041189279,0.6924288336223992,16.251987744004772,False,True,127596,True
20261146,16,0.98,0.9,0,joint,1,924,0.05033028850329991,137,12.342447380399843,2.758513363218532,16.72496873185336,False,True,127273,True
20261146,16,0.98,0.9,0,q1,1,924,0.05033028850329991,137,12.342447380399843,2.758513363218532,16.72496873185336,False,True,127273,True
20261146,16,0.98,0.9,0,q32,32,1266,0.05456462596119015,98,13.229314009303925,4.1549649402328095,16.71830966651063,False,True,127596,True
20261146,16,0.98,0.0,8,joint,4,1036,0.09976535499448831,122,9.731669466781105,1.8371656598345245,16.327287459363568,False,True,127368,True
20261146,16,0.98,0.0,8,q1,1,924,0.05033028850329991,137,12.342447380399843,3.809776299390615,16.805335396634618,False,True,127273,True
20261146,16,0.98,0.0,8,q32,32,1266,5.6771459946438414e-05,98,16.80514243398927,16.784665402539698,16.805132814396153,False,True,127596,True
20261146,16,0.98,0.9,8,joint,1,924,0.05033028850329991,137,12.342447380399843,2.758513363218532,16.72496873185336,False,True,127273,True
20261146,16,0.98,0.9,8,q1,1,924,0.05033028850329991,137,12.342447380399843,2.758513363218532,16.72496873185336,False,True,127273,True
20261146,16,0.98,0.9,8,q32,32,1266,5.6734676540672174e-05,98,16.805142572399127,16.782310791611422,16.80526379651167,False,True,127596,True
20261147,17,0.98,0.0,0,joint,16,1185,0.1332359122573404,106,8.906728318451414,0.731350222963939,16.17106633269392,False,True,127730,True
20261147,17,0.98,0.0,0,q1,1,924,0.05033028850329991,137,12.342447380399843,4.586460198343279,16.58709894180948,False,True,127273,True
20261147,17,0.98,0.0,0,q32,32,1266,0.14223107951442632,98,8.980149041189279,0.6642280941175575,16.199245708390116,False,True,127596,True
20261147,17,0.98,0.9,0,joint,1,924,0.05033028850329991,137,12.342447380399843,3.57448148963085,16.588906084676097,False,True,127273,True
20261147,17,0.98,0.9,0,q1,1,924,0.05033028850329991,137,12.342447380399843,3.57448148963085,16.588906084676097,False,True,127273,True
20261147,17,0.98,0.9,0,q32,32,1266,0.05456462596119015,98,13.229314009303925,3.9896271472284814,16.55595225024897,False,True,127596,True
20261147,17,0.98,0.0,8,joint,4,1036,0.09976535499448831,122,9.731669466781105,0.9799065372916991,16.54243835824246,False,True,127368,True
20261147,17,0.98,0.0,8,q1,1,924,0.05033028850329991,137,12.342447380399843,4.586460198343279,16.58709894180948,False,True,127273,True
20261147,17,0.98,0.0,8,q32,32,1266,5.6771459946438414e-05,98,16.80514243398927,16.783848064539526,16.805111483417832,False,True,127596,True
20261147,17,0.98,0.9,8,joint,1,924,0.05033028850329991,137,12.342447380399843,3.57448148963085,16.588906084676097,False,True,127273,True
20261147,17,0.98,0.9,8,q1,1,924,0.05033028850329991,137,12.342447380399843,3.57448148963085,16.588906084676097,False,True,127273,True
20261147,17,0.98,0.9,8,q32,32,1266,5.6734676540672174e-05,98,16.805142572399127,16.780391628667704,16.80509427583861,False,True,127596,True
20261148,18,0.98,0.0,0,joint,16,1185,0.1332359122573404,106,8.906728318451414,0.7464167791517751,16.563807030357744,False,True,127730,True
20261148,18,0.98,0.0,0,q1,1,924,0.05033028850329991,137,12.342447380399843,4.030069869442069,16.76385944436746,False,True,127273,True
20261148,18,0.98,0.0,0,q32,32,1266,0.14223107951442632,98,8.980149041189279,0.7530115964907583,16.42777028600494,False,True,127596,True
20261148,18,0.98,0.9,0,joint,1,924,0.05033028850329991,137,12.342447380399843,2.6242761152235956,16.154218238863052,False,True,127273,True
20261148,18,0.98,0.9,0,q1,1,924,0.05033028850329991,137,12.342447380399843,2.6242761152235956,16.154218238863052,False,True,127273,True
20261148,18,0.98,0.9,0,q32,32,1266,0.05456462596119015,98,13.229314009303925,3.970247373400836,16.100262150420868,False,True,127596,True
20261148,18,0.98,0.0,8,joint,4,1036,0.09976535499448831,122,9.731669466781105,1.862268624739484,16.528291656132748,False,True,127368,True
20261148,18,0.98,0.0,8,q1,1,924,0.05033028850329991,137,12.342447380399843,4.030069869442069,16.76385944436746,False,True,127273,True
20261148,18,0.98,0.0,8,q32,32,1266,5.6771459946438414e-05,98,16.80514243398927,16.784470308988325,16.805204052943736,False,True,127596,True
