seed,seed_index,rho,max_delay,num_agents,eta,budget,squared_parameter_error,updates,update_cost,charged_budget,finite
20260930,0,0.0,0,8,0.05552635364218317,2000,0.060303254388298505,166,12,1992,True
20260930,0,0.0,0,8,0.05552635364218317,8000,0.007837382761673778,666,12,7992,True
20260930,0,0.0,0,8,0.05552635364218317,32000,0.02935120466437927,2666,12,31992,True
20260930,0,0.0,0,8,0.08,2000,0.03907075121691801,166,12,1992,True
20260930,0,0.0,0,8,0.08,8000,0.014550207916779072,666,12,7992,True
20260930,0,0.0,0,8,0.08,32000,0.04416901515804171,2666,12,31992,True
20260930,0,0.0,0,16,0.001,2000,2.3038079700524574,100,20,2000,True
20260930,0,0.0,0,16,0.001,8000,1.9669466428525744,400,20,8000,True
20260930,0,0.0,0,16,0.001,32000,1.0504862345683361,1600,20,32000,True
20260930,0,0.0,0,16,0.0014407573116637057,2000,2.243385735026787,100,20,2000,True
20260930,0,0.0,0,16,0.0014407573116637057,8000,1.78824636481561,400,20,8000,True
20260930,0,0.0,0,16,0.0014407573116637057,32000,0.7329207114610061,1600,20,32000,True
20260930,0,0.0,0,16,0.0020757816311124263,2000,2.1592625708020927,100,20,2000,True
20260930,0,0.0,0,16,0.0020757816311124263,8000,1.5605507587391565,400,20,8000,True
20260930,0,0.0,0,16,0.0020757816311124263,32000,0.4397419769459949,1600,20,32000,True
20260930,0,0.0,0,16,0.002990697562442441,2000,2.0438797395908153,100,20,2000,True
20260930,0,0.0,0,16,0.002990697562442441,8000,1.2849608994115236,400,20,8000,True
20260930,0,0.0,0,16,0.002990697562442441,32000,0.21230750889935326,1600,20,32000,True
20260930,0,0.0,0,16,0.004308869380063765,2000,1.888971091473865,100,20,2000,True
20260930,0,0.0,0,16,0.004308869380063765,8000,0.9744782345962292,400,20,8000,True
20260930,0,0.0,0,16,0.004308869380063765,32000,0.07432852964879819,1600,20,32000,True
20260930,0,0.0,0,16,0.006208035064330728,2000,1.6872496712281315,100,20,2000,True
20260930,0,0.0,0,16,0.006208035064330728,8000,0.6577955853120562,400,20,8000,True
20260930,0,0.0,0,16,0.006208035064330728,32000,0.015932264140465814,1600,20,32000,True
20260930,0,0.0,0,16,0.008944271909999161,2000,1.4357264972769614,100,20,2000,True
20260930,0,0.0,0,16,0.008944271909999161,8000,0.3763865130518641,400,20,8000,True
20260930,0,0.0,0,16,0.008944271909999161,32000,0.0019520124772103371,1600,20,32000,True
20260930,0,0.0,0,16,0.012886525151839582,2000,1.1407939470675967,100,20,2000,True
20260930,0,0.0,0,16,0.012886525151839582,8000,0.17021077218937034,400,20,8000,True
20260930,0,0.0,0,16,0.012886525151839582,32000,0.0012602884492417736,1600,20,32000,True
20260930,0,0.0,0,16,0.018566355334451116,2000,0.8236293919175023,100,20,2000,True
20260930,0,0.0,0,16,0.018566355334451116,8000,0.05582210016675433,400,20,8000,True
20260930,0,0.0,0,16,0.018566355334451116,32000,0.002347942913316806,1600,20,32000,True
20260930,0,0.0,0,16,0.026749612199056874,2000,0.5215682161601441,100,20,2000,True
20260930,0,0.0,0,16,0.026749612199056874,8000,0.015358502372484548,400,20,8000,True
20260930,0,0.0,0,16,0.026749612199056874,32000,0.00434659279157265,1600,20,32000,True
20260930,0,0.0,0,16,0.03853969935995983,2000,0.2790461356657077,100,20,2000,True
20260930,0,0.0,0,16,0.03853969935995983,8000,0.01500352573902385,400,20,8000,True
