rho,max_delay,budget,num_agents,eta,mean_error
0.5,0,32000,1,0.0020757816311124263,0.020893518828197604
0.5,0,32000,2,0.002990697562442441,0.018571117123383836
0.5,0,32000,4,0.002990697562442441,0.02073324860771082
0.5,0,32000,8,0.006208035064330728,0.025330970523315847
0.5,0,32000,16,0.008944271909999161,0.040336451104531774
0.5,0,32000,32,0.012886525151839582,0.062330897092703896
0.5,8,2000,1,0.018566355334451116,0.1763933065548183
0.5,8,2000,2,0.026749612199056874,0.1534285888669435
0.5,8,2000,4,0.03853969935995983,0.18422635536470358
0.5,8,2000,8,0.03853969935995983,0.2699872667383879
0.5,8,2000,16,0.08,0.3045566898963718
0.5,8,2000,32,0.08,0.4627945898240379
0.5,8,8000,1,0.006208035064330728,0.05686370087561084
0.5,8,8000,2,0.008944271909999161,0.05411910088981349
0.5,8,8000,4,0.012886525151839582,0.06474782772294668
0.5,8,8000,8,0.018566355334451116,0.09202259781981874
0.5,8,8000,16,0.026749612199056874,0.11154351520146089
0.5,8,8000,32,0.03853969935995983,0.1505981810839628
0.5,8,32000,1,0.0020757816311124263,0.020893518828197604
0.5,8,32000,2,0.002990697562442441,0.018571117123383836
0.5,8,32000,4,0.002990697562442441,0.02073324860771082
0.5,8,32000,8,0.006208035064330728,0.02531066493098738
0.5,8,32000,16,0.008944271909999161,0.04047863909339076
0.5,8,32000,32,0.012886525151839582,0.061731045851039765
0.5,32,2000,1,0.018566355334451116,0.1763933065548183
0.5,32,2000,2,0.026749612199056874,0.1534285888669435
0.5,32,2000,4,0.026749612199056874,0.18526075888219465
0.5,32,2000,8,0.03853969935995983,0.2646771639547779
0.5,32,2000,16,0.05552635364218317,0.29505461654520077
0.5,32,2000,32,0.08,0.44120562791561135
0.5,32,8000,1,0.006208035064330728,0.05686370087561084
0.5,32,8000,2,0.008944271909999161,0.05411910088981349
0.5,32,8000,4,0.012886525151839582,0.06457583111853207
0.5,32,8000,8,0.018566355334451116,0.09203086602824508
0.5,32,8000,16,0.026749612199056874,0.11233345777528482
0.5,32,8000,32,0.03853969935995983,0.1573272118011581
0.5,32,32000,1,0.0020757816311124263,0.020893518828197604
0.5,32,32000,2,0.002990697562442441,0.018571117123383836
0.5,32,32000,4,0.002990697562442441,0.020651958766593842
0.5,32,32000,8,0.004308869380063765,0.02522882124894855
0.5,32,32000,16,0.006208035064330728,0.04091067034301621
0.5,32,32000,32,0.012886525151839582,0.061788027960844503
0.75,0,2000,1,0.018566355334451116,0.17421908139842368
0.75,0,2000,2,0.026749612199056874,0.17960081625579052
0.75,0,2000,4,0.026749612199056874,0.2261985878166054
0.75,0,2000,8,0.03853969935995983,0.33509930261059906
0.75,0,2000,16,0.05552635364218317,0.39888504393873137
0.75,0,2000,32,0.08,0.6306851081708316
0.75,0,8000,1,0.006208035064330728,0.06275547149918312
0.75,0,8000,2,0.008944271909999161,0.07223749768410324
0.75,0,8000,4,0.012886525151839582,0.0816249481884684
0.75,0,8000,8,0.012886525151839582,0.12042747127140505
0.75,0,8000,16,0.026749612199056874,0.15452778486499705
0.75,0,8000,32,0.03853969935995983,0.2106380366905235
0.75,0,32000,1,0.0020757816311124263,0.0179376342921145
0.75,0,32000,2,0.002990697562442441,0.022693894072733187
0.75,0,32000,4,0.002990697562442441,0.024017429632333734
0.75,0,32000,8,0.004308869380063765,0.03166258517402955
0.75,0,32000,16,0.006208035064330728,0.053964642486187625
0.75,0,32000,32,0.012886525151839582,0.08842013705597805
0.75,8,2000,1,0.018566355334451116,0.17421908139842368
0.75,8,2000,2,0.026749612199056874,0.17960081625579052
0.75,8,2000,4,0.026749612199056874,0.2261985878166054
0.75,8,2000,8,0.03853969935995983,0.3330729192681799
0.75,8,2000,16,0.05552635364218317,0.3903204385327371
0.75,8,2000,32,0.08,0.5972830250772598
0.75,8,8000,1,0.006208035064330728,0.06275547149918312
0.75,8,8000,2,0.008944271909999161,0.07223749768410324
0.75,8,8000,4,0.012886525151839582,0.0816249481884684
0.75,8,8000,8,0.012886525151839582,0.11987876257466165
0.75,8,8000,16,0.026749612199056874,0.15291053611961788
0.75,8,8000,32,0.03853969935995983,0.2118053034402904
0.75,8,32000,1,0.0020757816311124263,0.0179376342921145
0.75,8,32000,2,0.002990697562442441,0.022693894072733187
0.75,8,32000,4,0.002990697562442441,0.024017429632333734
