cell_id,task,budget_regime,delay,rho,noise_scale,initial_error_energy,fixed_q,fixed_eta,fixed_risk,oracle_q,oracle_eta,oracle_updates,oracle_risk,oracle_to_fixed_ratio,q_only_risk,eta_only_risk
balanced-environment_binding-D8-R0.9-N10-E1,balanced,environment_binding,8,0.9,10.0,1.0,1,0.0075,0.11753490632667735,1,0.005,1108,0.07976650844844813,0.6786622880078241,0.11753490632667735,0.07976650844844813
balanced-environment_binding-D8-R0.9-N10-E10,balanced,environment_binding,8,0.9,10.0,10.0,1,0.0075,0.11887757809230134,1,0.005,1108,0.1048286977301435,0.8818206041239356,0.11887757809230134,0.1048286977301435
balanced-message_binding-D0-R0-N0.1-E0.1,balanced,message_binding,0,0.0,0.1,0.1,2,0.02,0.0076491866562944325,2,0.02,128,0.0076491866562944325,1.0,0.0076491866562944325,0.0076491866562944325
balanced-message_binding-D0-R0-N0.1-E1,balanced,message_binding,0,0.0,0.1,1.0,2,0.02,0.0636172622538534,1,0.02,132,0.06017454126682142,0.9458838550251594,0.06017454126682142,0.0636172622538534
balanced-message_binding-D0-R0-N0.1-E10,balanced,message_binding,0,0.0,0.1,10.0,2,0.02,0.6232980182294421,1,0.02,132,0.5758818498267256,0.9239269707010971,0.5758818498267256,0.6232980182294421
balanced-message_binding-D0-R0-N1-E0.1,balanced,message_binding,0,0.0,1.0,0.1,2,0.02,0.020523790965385404,8,0.02,109,0.012667978531963274,0.6172338508674433,0.012667978531963274,0.020523790965385404
balanced-message_binding-D0-R0-N1-E1,balanced,message_binding,0,0.0,1.0,1.0,2,0.02,0.07649186656294438,2,0.02,128,0.07649186656294438,1.0,0.07649186656294438,0.07649186656294438
balanced-message_binding-D0-R0-N1-E10,balanced,message_binding,0,0.0,1.0,10.0,2,0.02,0.636172622538533,1,0.02,132,0.6017454126682132,0.9458838550251595,0.6017454126682132,0.636172622538533
balanced-message_binding-D0-R0-N10-E0.1,balanced,message_binding,0,0.0,10.0,0.1,2,0.02,0.14926983405629515,32,0.02,68,0.029308947984290134,0.19634876778409663,0.029308947984290134,0.0685938979084273
balanced-message_binding-D0-R0-N10-E1,balanced,message_binding,0,0.0,10.0,1.0,2,0.02,0.20523790965385413,8,0.02,109,0.12667978531963286,0.6172338508674436,0.12667978531963286,0.20523790965385413
balanced-message_binding-D0-R0-N10-E10,balanced,message_binding,0,0.0,10.0,10.0,2,0.02,0.7649186656294428,2,0.02,128,0.7649186656294428,1.0,0.7649186656294428,0.7649186656294428
balanced-message_binding-D0-R0.3-N0.1-E0.1,balanced,message_binding,0,0.3,0.1,0.1,2,0.02,0.008078340133264127,2,0.02,128,0.008078340133264127,1.0,0.008078340133264127,0.008078340133264127
balanced-message_binding-D0-R0.3-N0.1-E1,balanced,message_binding,0,0.3,0.1,1.0,2,0.02,0.06404641573082309,1,0.02,132,0.06017454126682142,0.9395458056501624,0.06017454126682142,0.06404641573082309
balanced-message_binding-D0-R0.3-N0.1-E10,balanced,message_binding,0,0.3,0.1,10.0,2,0.02,0.6237271717064118,1,0.02,132,0.5758818498267256,0.9232912657167244,0.5758818498267256,0.6237271717064118
balanced-message_binding-D0-R0.3-N1-E0.1,balanced,message_binding,0,0.3,1.0,0.1,2,0.02,0.02481532573508237,8,0.02,109,0.019973517072444866,0.8048863547339032,0.019973517072444866,0.024546827158654347
balanced-message_binding-D0-R0.3-N1-E1,balanced,message_binding,0,0.3,1.0,1.0,2,0.02,0.08078340133264134,2,0.02,128,0.08078340133264134,1.0,0.08078340133264134,0.08078340133264134
balanced-message_binding-D0-R0.3-N1-E10,balanced,message_binding,0,0.3,1.0,10.0,2,0.02,0.64046415730823,1,0.02,132,0.6017454126682132,0.9395458056501622,0.6017454126682132,0.64046415730823
balanced-message_binding-D0-R0.3-N10-E0.1,balanced,message_binding,0,0.3,10.0,0.1,2,0.02,0.19218518175326518,8,0.0075,109,0.06718408191190228,0.3495799275417385,0.10030976933361502,0.07486430974693713
