persistence,rho,num_agents,maximum_delay,delay_profile,curvature,monotonicity,stationary_mean_boundary,scalar_eta,scalar_radius,scalar_residual,markov_boundary,markov_below_radius,markov_below_residual,markov_above_radius,markov_above_residual,markov_operator_dimension,iid_boundary,iid_below_radius,iid_below_residual,iid_above_radius,iid_above_residual,markov_mean_boundary,markov_mean_below_radius,markov_mean_below_residual,markov_mean_above_radius,markov_mean_above_residual,markov_to_iid_ratio,scalar_to_markov_ratio,ms_to_markov_mean_ratio
0.98,0.0,2,2,"0,2",1.4710999999999999,0.049999999999999975,2.3255813954025504,0.06604583581009547,0.9961333828884614,2.7177601167713653e-15,1.9581208624345445,0.9999999594907594,2.1051167581928427e-15,1.000000040953139,2.6203884779754723e-15,72,1.9630142852888384,0.9999999582445332,3.2724853841609227e-15,1.0000000419643171,1.5524084650997779e-15,2.2376586464388817,0.9999999326273055,1.5121058263152504e-15,1.0000000673565246,2.3805159668368127e-15,0.9975071893816739,0.03372919265462514,0.8750757697340446
0.5,0.9,2,2,"0,2",1.60961,0.049999999999999975,2.3255813954025504,0.06051034424338474,0.9939400106044013,1.1096246824406694e-15,2.005203427291372,0.9999999572271855,3.7752114512597704e-15,1.000000042566704,2.42275065706006e-15,72,2.005203427291372,0.9999999572271829,1.7062587444266995e-15,1.0000000425667044,1.0722956751836435e-15,2.3255813932369005,0.9999999830267717,1.1731779262214957e-15,1.0000000666820639,1.3076838167775818e-15,1.0,0.03017666109075132,0.862237474518316
0.9,0.9,2,2,"0,2",1.60961,0.049999999999999975,2.3255813954025504,0.06051034424338474,0.9945814372714691,1.8016585056379716e-15,2.02103479959118,0.9999999596805389,3.730723839394506e-15,1.0000000402046256,1.784662801679884e-15,72,2.005203427291372,0.9999999572271829,1.7062587444266995e-15,1.0000000425667044,1.0722956751836435e-15,2.257133335153573,0.9999999330726992,2.3256787516372747e-15,1.0000000681249477,1.62174286866174e-15,1.0078951452427913,0.029940278245394348,0.8953989417083644
0.98,0.9,2,2,"0,2",1.60961,0.049999999999999975,2.3255813954025504,0.06051034424338474,0.9963629406357476,2.0223779195163517e-15,2.009677289851072,0.9999999580037418,1.734411129868714e-15,1.0000000423591673,3.155066645079951e-15,72,2.005203427291372,0.9999999572271829,1.7062587444266995e-15,1.0000000425667044,1.0722956751836435e-15,2.2376586464388817,0.9999999326273055,1.5121058263152504e-15,1.0000000673565246,2.3805159668368127e-15,1.0022311265275181,0.030109483024445622,0.8981161148280457
0.5,0.0,3,0,"0,0,0",1.4197999999999997,0.049999999999999975,2.3255813954025504,0.06836204539244453,0.9931757328076621,6.754482659663242e-16,2.1703501278762047,0.9999997635043467,2.6340400642276085e-16,1.0000002349849435,2.5762397755831044e-16,8,2.1703501278762047,0.999999763504347,1.1280279408490401e-16,1.0000002349849435,1.1280278699243244e-16,2.3255813932369005,0.9999997963212759,6.555359911517528e-16,1.0000002000461927,8.980577373237528e-16,1.0,0.031498164519353465,0.9332505558342835
0.9,0.0,3,0,"0,0,0",1.4197999999999997,0.049999999999999975,2.3255813954025504,0.06836204539244453,0.9941123379350011,4.726712671597401e-16,2.161521652654665,0.9999996729201206,1.5756332044014452e-15,1.0000003278768013,1.085554413524232e-15,8,2.1703501278762047,0.999999763504347,1.1280279408490401e-16,1.0000002349849435,1.1280278699243244e-16,2.242437053248315,0.9999997996619908,4.1910000110727263e-16,1.000000201904313,1.1226435567921847e-15,0.99593223456983,0.03162681498401181,0.96391631128444
0.98,0.0,3,0,"0,0,0",1.4197999999999997,0.049999999999999975,2.3255813954025504,0.06836204539244453,0.9960883637552805,4.143305519161595e-16,2.158347140951679,0.9999996446592675,5.75719153258812e-16,1.0000003603691152,1.3491465414996166e-15,8,2.1703501278762047,0.999999763504347,1.1280279408490401e-16,1.0000002349849435,1.1280278699243244e-16,2.234158479812457,0.9999997970473212,8.270975252328749e-16,1.0000002005958402,1.1240151438116956e-15,0.9944695619520748,0.031673331919304555,0.9660671615081029
0.5,0.9,3,0,"0,0,0",1.6044799999999997,0.049999999999999975,2.3255813954025504,0.060698764173198,0.9939396111824617,4.583037475689612e-16,2.0256154894817078,0.9999998053025594,1.6356040407952215e-16,1.0000001967377283,8.993159000204168e-16,8,2.0256154894817078,0.9999998053025594,1.54317966613724e-17,1.0000001967377288,1.5431762501480435e-17,2.3255813932369005,0.9999997963212759,6.555359911517528e-16,1.0000002000461927,8.980577373237528e-16,1.0,0.029965590453067147,0.8710146612681313
0.9,0.9,3,0,"0,0,0",1.6044799999999997,0.049999999999999975,2.3255813954025504,0.060698764173198,0.994693659323447,1.0345524650820685e-15,2.0251260337633417,0.9999997789015646,9.030731163542915e-16,1.0000002239604315,1.77520958631522e-15,8,2.0256154894817078,0.9999998053025594,1.54317966613724e-17,1.0000001967377288,1.5431762501480435e-17,2.242437053248315,0.9999997996619908,4.1910000110727263e-16,1.000000201904313,1.1226435567921847e-15,0.9997583669156819,0.029972832881121965,0.9030915854827746
0.98,0.9,3,0,"0,0,0",1.6044799999999997,0.049999999999999975,2.3255813954025504,0.060698764173198,0.9963993316236087,5.011270757653991e-16,2.0249210422894484,0.9999997647987287,9.66525902149047e-16,1.0000002354106974,1.1323532892442444e-15,8,2.0256154894817078,0.9999998053025594,1.54317966613724e-17,1.0000001967377288,1.5431762501480435e-17,2.234158479812457,0.9999997970473212,8.270975252328749e-16,1.0000002005958402,1.1240151438116956e-15,0.9996571673173584,0.029975867160020125,0.9063461972757757
0.5,0.0,3,2,"0,1,2",1.4197999999999997,0.049999999999999975,1.7441860464960337,0.06769869567177321,0.9932188230455453,8.045216287374888e-16,1.6291553827880891,0.9999999441092777,3.39400531407129e-15,1.0000000553402315,1.7762909559038521e-15,72,1.6291553827880891,0.9999999441092774,4.125262585840801e-15,1.00000005534023,1.097744093600674e-15,1.7441860481204334,0.9999999714260149,1.5784393639194073e-15,1.0000000291010571,1.2920737715034638e-15,1.0,0.04155447441478273,0.9340490852702878
0.9,0.0,3,2,"0,1,2",1.4197999999999997,0.049999999999999975,1.7441860464960337,0.06769869567177321,0.9940041124329151,2.6602254843500526e-15,1.6157939835440374,0.9999999468184009,2.224078151633365e-15,1.0000000538537495,1.9601214404249244e-15,72,1.6291553827880891,0.9999999441092774,4.125262585840801e-15,1.00000005534023,1.097744093600674e-15,1.718576563855721,0.9999999712921585,2.2003693735031065e-15,1.000000028948827,2.558141298851157e-15,0.9917985728155743,0.04189809861977873,0.9401931909969229
0.98,0.0,3,2,"0,1,2",1.4197999999999997,0.049999999999999975,1.7441860464960337,0.06769869567177321,0.9960656808999091,3.866992955189519e-15,1.599517486459065,0.9999999426478937,3.008208583433618e-15,1.0000000576923087,2.6933960469879234e-15,72,1.6291553827880891,0.9999999441092774,4.125262585840801e-15,1.00000005534023,1.097744093600674e-15,1.6836896044862193,0.9999999710985547,2.6250791484436865e-15,1.0000000287761428,1.626555300524876e-15,0.9818078148701184,0.04232444861959048,0.9500073423255235
0.5,0.9,3,2,"0,1,2",1.6044799999999997,0.049999999999999975,1.7441860464960337,0.06017523027052925,0.9939736273574659,1.009579817812928e-15,1.5930449776992242,0.9999999467177697,2.6798044009433785e-15,1.0000000532919038,2.626614896394142e-15,72,1.5930449776992242,0.9999999467177741,3.52374839381577e-15,1.0000000532919013,1.5456865783336054e-15,1.7441860481204334,0.9999999714260149,1.5784393639194073e-15,1.0000000291010571,1.2920737715034638e-15,1.0,0.037773717071967486,0.9133457863717683
0.9,0.9,3,2,"0,1,2",1.6044799999999997,0.049999999999999975,1.7441860464960337,0.06017523027052925,0.9946041607914687,4.109027046171681e-15,1.5797504272825575,0.9999999507749224,2.239360295243803e-15,1.0000000490359098,3.6156616247138555e-15,72,1.5930449776992242,0.9999999467177741,3.52374839381577e-15,1.0000000532919013,1.5456865783336054e-15,1.718576563855721,0.9999999712921585,2.2003693735031065e-15,1.000000028948827,2.558141298851157e-15,0.9916546295912703,0.03809160563041657,0.9192202782855949
0.98,0.9,3,2,"0,1,2",1.6044799999999997,0.049999999999999975,1.7441860464960337,0.06017523027052925,0.9963766614572009,7.176747121431872e-15,1.5685715518024401,0.9999999469547858,3.2915298022156035e-15,1.0000000539275145,1.5325354143812708e-15,72,1.5930449776992242,0.9999999467177741,3.52374839381577e-15,1.0000000532919013,1.5456865783336054e-15,1.6836896044862193,0.9999999710985547,2.6250791484436865e-15,1.0000000287761428,1.626555300524876e-15,0.984637328989838,0.03836307639353914,0.931627508789598
