seed,seed_index,scenario,max_delay,policy,probe_num_agents,probe_updates,probe_cost,selected_num_agents,selected_eta,estimated_selected_lrv,true_selected_lrv,num_agents,eta,proxy_risk,lrv_used,predicted_exploitation_updates
20260741,12,mixed,16,all_agents_adaptive_eta,32.0,80.0,2880.0,32.0,0.005946035575013605,1.7670708145079326,12.280795503815458,32.0,0.005946035575013605,0.006552829904200513,1.7670708145079326,364.0
20260741,12,mixed,16,fixed_q8_adaptive_eta,8.0,80.0,960.0,8.0,0.0025,1.3888510830563314,11.382151578217128,8.0,0.0025,0.0019880491055227854,1.3888510830563314,1253.0
20260741,12,mixed,16,fixed_q1_adaptive_eta,1.0,80.0,400.0,1.0,0.0025,2.7306383537197387,9.57566666666666,1.0,0.0025,0.0034175919197429756,2.7306383537197387,3120.0
20260742,13,independent,4,adaptive_probe,32.0,80.0,2880.0,4.0,0.0025,0.08359839041221956,0.37499999999999994,4.0,0.0025,0.0001155867822506456,0.08359839041221956,1640.0
20260742,13,independent,4,probe_oracle,32.0,80.0,2880.0,32.0,0.009170040432046712,0.12111486647064974,0.04687499999999999,32.0,0.009170040432046712,0.0002637111743925421,0.04687499999999999,364.0
20260742,13,independent,4,all_agents_adaptive_eta,32.0,80.0,2880.0,32.0,0.009170040432046712,0.12111486647064974,0.04687499999999999,32.0,0.009170040432046712,0.000609499852381296,0.12111486647064974,364.0
20260742,13,independent,4,fixed_q8_adaptive_eta,8.0,80.0,960.0,8.0,0.0025,0.39743051144789254,0.18749999999999997,8.0,0.0025,0.0005870402099875912,0.39743051144789254,1253.0
20260742,13,independent,4,fixed_q1_adaptive_eta,1.0,80.0,400.0,1.0,0.0025,0.9987811162990977,1.4999999999999998,1.0,0.0025,0.0012500390372967827,0.9987811162990977,3120.0
20260742,13,independent,16,adaptive_probe,32.0,80.0,2880.0,4.0,0.0025,0.1924615439178627,0.37499999999999994,4.0,0.0025,0.0002473788379849872,0.1924615439178627,1640.0
20260742,13,independent,16,probe_oracle,32.0,80.0,2880.0,32.0,0.009170040432046712,0.07930079075709795,0.04687499999999999,32.0,0.009170040432046712,0.00024736286048426066,0.04687499999999999,364.0
20260742,13,independent,16,all_agents_adaptive_eta,32.0,80.0,2880.0,32.0,0.007384130729697496,0.07930079075709795,0.04687499999999999,32.0,0.007384130729697496,0.0003880453323790343,0.07930079075709795,364.0
20260742,13,independent,16,fixed_q8_adaptive_eta,8.0,80.0,960.0,8.0,0.0025,0.42092495450997114,0.18749999999999997,8.0,0.0025,0.0006382979117666113,0.42092495450997114,1253.0
20260742,13,independent,16,fixed_q1_adaptive_eta,1.0,80.0,400.0,1.0,0.0025,0.8181104547912195,1.4999999999999998,1.0,0.0025,0.001023918376643784,0.8181104547912195,3120.0
20260742,13,clustered,4,adaptive_probe,32.0,80.0,2880.0,4.0,0.0025,0.7709647133057427,0.8950479968782517,4.0,0.0025,0.0009665492240011368,0.7709647133057427,1640.0
20260742,13,clustered,4,probe_oracle,32.0,80.0,2880.0,8.0,0.0025,1.1829019010252944,0.8462644380853276,8.0,0.0025,0.0010840736010137486,0.8462644380853276,1093.0
20260742,13,clustered,4,all_agents_adaptive_eta,32.0,80.0,2880.0,32.0,0.0025,1.1777392399246496,0.8688495057232047,32.0,0.0025,0.0023645159282570678,1.1777392399246496,364.0
20260742,13,clustered,4,fixed_q8_adaptive_eta,8.0,80.0,960.0,8.0,0.0025,1.1829019010252944,0.8462644380853276,8.0,0.0025,0.001497911667391822,1.1829019010252944,1253.0
20260742,13,clustered,4,fixed_q1_adaptive_eta,1.0,80.0,400.0,1.0,0.0025,0.9692359115324768,3.0564999999999993,1.0,0.0025,0.001213063249044457,0.9692359115324768,3120.0
20260742,13,clustered,16,adaptive_probe,32.0,80.0,2880.0,4.0,0.0025,1.016472935427821,0.8950479968782517,4.0,0.0025,0.0012729411230736484,1.016472935427821,1640.0
20260742,13,clustered,16,probe_oracle,32.0,80.0,2880.0,8.0,0.0025,1.222649337478021,0.8462644380853276,8.0,0.0025,0.00107364819164623,0.8462644380853276,1093.0
20260742,13,clustered,16,all_agents_adaptive_eta,32.0,80.0,2880.0,32.0,0.0025,0.9099742192431799,0.8688495057232047,32.0,0.0025,0.0016104127037879913,0.9099742192431799,364.0
20260742,13,clustered,16,fixed_q8_adaptive_eta,8.0,80.0,960.0,8.0,0.0025,1.222649337478021,0.8462644380853276,8.0,0.0025,0.0015679733454441016,1.222649337478021,1253.0
20260742,13,clustered,16,fixed_q1_adaptive_eta,1.0,80.0,400.0,1.0,0.0025,1.8485037776127116,3.0564999999999993,1.0,0.0025,0.002313522291300396,1.8485037776127116,3120.0
20260742,13,global,4,adaptive_probe,32.0,80.0,2880.0,1.0,0.0025,1.6990746495769051,15.575999999999988,1.0,0.0025,0.0021270638822141934,1.6990746495769051,2624.0
20260742,13,global,4,probe_oracle,32.0,80.0,2880.0,1.0,0.0025,1.6990746495769051,15.575999999999988,1.0,0.0025,0.019494896152766214,15.575999999999988,2624.0
20260742,13,global,4,all_agents_adaptive_eta,32.0,80.0,2880.0,32.0,0.007384130729697496,2.7980199140090227,23.418749999999978,32.0,0.007384130729697496,0.011661376701234471,2.7980199140090227,364.0
20260742,13,global,4,fixed_q8_adaptive_eta,8.0,80.0,960.0,8.0,0.0025,2.451203619070754,21.698450572320485,8.0,0.0025,0.0035928129869554994,2.451203619070754,1253.0
20260742,13,global,4,fixed_q1_adaptive_eta,1.0,80.0,400.0,1.0,0.0025,1.6990746495769051,15.575999999999988,1.0,0.0025,0.0021265170497013906,1.6990746495769051,3120.0
20260742,13,global,16,adaptive_probe,32.0,80.0,2880.0,1.0,0.0025,2.8864426973149753,15.575999999999988,1.0,0.0025,0.0036134505139399035,2.8864426973149753,2624.0
20260742,13,global,16,probe_oracle,32.0,80.0,2880.0,1.0,0.0025,2.8864426973149753,15.575999999999988,1.0,0.0025,0.01949521807089174,15.575999999999988,2624.0
