policy,scenario,max_delay,budget,mean_mse,standard_error
adaptive_probe,clustered,4,15360.0,0.001337124489605787,0.00017788855838580365
adaptive_probe,clustered,4,15520.0,0.0014203819660595044,0.0001917802647738504
adaptive_probe,clustered,4,15680.0,0.001296962486178007,0.00018453819258887187
adaptive_probe,clustered,4,15840.0,0.0012193365729811373,0.00018710141993487706
adaptive_probe,clustered,4,16000.0,0.0013626034343660587,0.00021379010501731204
adaptive_probe,clustered,16,0.0,1.0,0.0
adaptive_probe,clustered,16,160.0,0.8514210560374585,0.006124654327890134
adaptive_probe,clustered,16,320.0,0.7196879047602742,0.009800586219713286
adaptive_probe,clustered,16,480.0,0.5691733475367228,0.010185447176157528
adaptive_probe,clustered,16,640.0,0.4649715486591791,0.009857867050930197
adaptive_probe,clustered,16,800.0,0.3659134914922921,0.010127498968098343
adaptive_probe,clustered,16,960.0,0.2977726516293424,0.009704061869518514
adaptive_probe,clustered,16,1120.0,0.23873571855057918,0.00939924231455852
adaptive_probe,clustered,16,1280.0,0.20275818125232598,0.008755160751501189
adaptive_probe,clustered,16,1440.0,0.163787948146716,0.008681890937450925
adaptive_probe,clustered,16,1600.0,0.13886770862611894,0.007785770538254282
adaptive_probe,clustered,16,1760.0,0.11680668128508842,0.007239341875920649
adaptive_probe,clustered,16,1920.0,0.09420293692222576,0.0064862425566296665
adaptive_probe,clustered,16,2080.0,0.07849265869957829,0.0060816862691591205
adaptive_probe,clustered,16,2240.0,0.06451993636410419,0.005754426983317938
adaptive_probe,clustered,16,2400.0,0.054226162074163475,0.005939763869610812
adaptive_probe,clustered,16,2560.0,0.04539434178984676,0.005501765085789778
adaptive_probe,clustered,16,2720.0,0.039621487859747416,0.0047919801608553424
adaptive_probe,clustered,16,2880.0,0.031115292337467147,0.0041150643969991765
adaptive_probe,clustered,16,3040.0,0.028396839829425903,0.003756125811937298
adaptive_probe,clustered,16,3200.0,0.025643753177219987,0.0035305038793362587
adaptive_probe,clustered,16,3360.0,0.02331428970708798,0.0032478180574877524
adaptive_probe,clustered,16,3520.0,0.021637791702609713,0.0030726168803910546
adaptive_probe,clustered,16,3680.0,0.019938232274339995,0.002826385767653823
adaptive_probe,clustered,16,3840.0,0.018428571318305772,0.0026871727870238188
adaptive_probe,clustered,16,4000.0,0.016608398568920477,0.0024875243864346426
adaptive_probe,clustered,16,4160.0,0.015255492429301402,0.002267996769974943
adaptive_probe,clustered,16,4320.0,0.013736015663879258,0.0020942155833595616
adaptive_probe,clustered,16,4480.0,0.012269371223387292,0.0018155808303304817
adaptive_probe,clustered,16,4640.0,0.011080314773240766,0.0016220483909871691
adaptive_probe,clustered,16,4800.0,0.009899591805665046,0.0014551127237691168
adaptive_probe,clustered,16,4960.0,0.008940611561780661,0.0013126133075695126
adaptive_probe,clustered,16,5120.0,0.00811282378831359,0.0011826184754976236
adaptive_probe,clustered,16,5280.0,0.007180891150262281,0.0010410367838727234
adaptive_probe,clustered,16,5440.0,0.006711291077613489,0.0009641253245712293
adaptive_probe,clustered,16,5600.0,0.006617541774458042,0.0009650276044729185
adaptive_probe,clustered,16,5760.0,0.006133654858348508,0.0009200625072105224
adaptive_probe,clustered,16,5920.0,0.005446929173355432,0.0007906862818569081
adaptive_probe,clustered,16,6080.0,0.0053334019692623785,0.0007649564318562356
adaptive_probe,clustered,16,6240.0,0.004931319675190158,0.0007773383785133958
adaptive_probe,clustered,16,6400.0,0.004804967611026755,0.0007730416260774819
adaptive_probe,clustered,16,6560.0,0.004444874463595764,0.0007542379162910478
adaptive_probe,clustered,16,6720.0,0.00460531749585228,0.0008375126556753027
adaptive_probe,clustered,16,6880.0,0.004344664880226512,0.000739487741192562
adaptive_probe,clustered,16,7040.0,0.0036874761974908772,0.0006294329882501315
adaptive_probe,clustered,16,7200.0,0.003792156759327787,0.0006543233343545017
adaptive_probe,clustered,16,7360.0,0.0031599244080804615,0.0005427657751155674
adaptive_probe,clustered,16,7520.0,0.0029814718943551267,0.00046831912267364953
adaptive_probe,clustered,16,7680.0,0.0030188940072369756,0.0004513198803366509
adaptive_probe,clustered,16,7840.0,0.002892695513434572,0.00044594055214871735
adaptive_probe,clustered,16,8000.0,0.0028552207840854653,0.00040132060234233534
adaptive_probe,clustered,16,8160.0,0.0025768017241968497,0.00039510037185212674
adaptive_probe,clustered,16,8320.0,0.00239487440535926,0.00039028045204305794
adaptive_probe,clustered,16,8480.0,0.002204648781880922,0.0003561183405103852
adaptive_probe,clustered,16,8640.0,0.0021615688169175774,0.00036796178895624754
adaptive_probe,clustered,16,8800.0,0.0019681061871629686,0.00035106464430147247
adaptive_probe,clustered,16,8960.0,0.0018937267316872998,0.00032096764186326097
