cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,mean_persistent_auc,mean_strong_static_auc,persistent_to_static_ratio
Fsingle_switch-H0.1-I1.5-N0.1-S0-T0-D0,single_switch,0.1,1.5,0.1,0.0,0.0,0,0.0755049042853074,0.07325640806148473,1.030693509050232
Fsingle_switch-H0.1-I1.5-N0.1-S0-T0-D3,single_switch,0.1,1.5,0.1,0.0,0.0,3,0.0764094734501794,0.07650497869181638,0.9987516467128015
Fsingle_switch-H0.1-I1.5-N0.1-S0-T0.9-D0,single_switch,0.1,1.5,0.1,0.0,0.9,0,0.10044353989505325,0.09304392965714782,1.0795281354213202
Fsingle_switch-H0.1-I1.5-N0.1-S0-T0.9-D3,single_switch,0.1,1.5,0.1,0.0,0.9,3,0.10496726100809442,0.10362551753600983,1.0129480026154594
Fsingle_switch-H0.1-I1.5-N0.1-S0.9-T0-D0,single_switch,0.1,1.5,0.1,0.9,0.0,0,0.07791453140251811,0.0744741628860026,1.046195464080364
Fsingle_switch-H0.1-I1.5-N0.1-S0.9-T0-D3,single_switch,0.1,1.5,0.1,0.9,0.0,3,0.07690556495798012,0.07696531584934962,0.9992236647025985
Fsingle_switch-H0.1-I1.5-N0.1-S0.9-T0.9-D0,single_switch,0.1,1.5,0.1,0.9,0.9,0,0.09524183637433709,0.09024447287773232,1.0553758400625315
Fsingle_switch-H0.1-I1.5-N0.1-S0.9-T0.9-D3,single_switch,0.1,1.5,0.1,0.9,0.9,3,0.09873759569137766,0.09813430919319296,1.006147559433032
Fsingle_switch-H0.1-I1.5-N0.5-S0-T0-D0,single_switch,0.1,1.5,0.5,0.0,0.0,0,0.08094495368461765,0.08041329011365934,1.0066116380788155
Fsingle_switch-H0.1-I1.5-N0.5-S0-T0-D3,single_switch,0.1,1.5,0.5,0.0,0.0,3,0.08492277973982687,0.08468790207324747,1.0027734500540142
Fsingle_switch-H0.1-I1.5-N0.5-S0-T0.9-D0,single_switch,0.1,1.5,0.5,0.0,0.9,0,0.2026068613219905,0.17145957553010274,1.1816596459870465
Fsingle_switch-H0.1-I1.5-N0.5-S0-T0.9-D3,single_switch,0.1,1.5,0.5,0.0,0.9,3,0.1979808702066571,0.19241023856010148,1.0289518462647484
Fsingle_switch-H0.1-I1.5-N0.5-S0.9-T0-D0,single_switch,0.1,1.5,0.5,0.9,0.0,0,0.08755483447498028,0.08344934993286826,1.049197322033242
Fsingle_switch-H0.1-I1.5-N0.5-S0.9-T0-D3,single_switch,0.1,1.5,0.5,0.9,0.0,3,0.08750430359682479,0.08727502872603458,1.0026270386173108
Fsingle_switch-H0.1-I1.5-N0.5-S0.9-T0.9-D0,single_switch,0.1,1.5,0.5,0.9,0.9,0,0.18475673476008364,0.17010485591456162,1.0861343949691902
Fsingle_switch-H0.1-I1.5-N0.5-S0.9-T0.9-D3,single_switch,0.1,1.5,0.5,0.9,0.9,3,0.21337555741695025,0.2134026384130876,0.9998730990566062
Fsingle_switch-H0.3-I0.5-N0.1-S0-T0-D0,single_switch,0.3,0.5,0.1,0.0,0.0,0,0.01416124167195635,0.018961697286899594,0.7468340759632409
Fsingle_switch-H0.3-I0.5-N0.1-S0-T0-D3,single_switch,0.3,0.5,0.1,0.0,0.0,3,0.014997162903366525,0.018188620674548323,0.8245354703752955
Fsingle_switch-H0.3-I0.5-N0.1-S0-T0.9-D0,single_switch,0.3,0.5,0.1,0.0,0.9,0,0.04280796482785748,0.041878812052089986,1.0221867032572889
Fsingle_switch-H0.3-I0.5-N0.1-S0-T0.9-D3,single_switch,0.3,0.5,0.1,0.0,0.9,3,0.04627330392416857,0.042654285419352705,1.0848453671005323
Fsingle_switch-H0.3-I0.5-N0.1-S0.9-T0-D0,single_switch,0.3,0.5,0.1,0.9,0.0,0,0.014199932853573216,0.018703002174392858,0.7592328077154906
Fsingle_switch-H0.3-I0.5-N0.1-S0.9-T0-D3,single_switch,0.3,0.5,0.1,0.9,0.0,3,0.013974767018793854,0.01784703480459779,0.783030188028414
Fsingle_switch-H0.3-I0.5-N0.1-S0.9-T0.9-D0,single_switch,0.3,0.5,0.1,0.9,0.9,0,0.04403423162420845,0.043246365290023785,1.018218093680266
Fsingle_switch-H0.3-I0.5-N0.1-S0.9-T0.9-D3,single_switch,0.3,0.5,0.1,0.9,0.9,3,0.037366434328177406,0.03622164539178116,1.0316051058424862
Fsingle_switch-H0.3-I0.5-N0.5-S0-T0-D0,single_switch,0.3,0.5,0.5,0.0,0.0,0,0.027080242209925345,0.027241363046122104,0.9940854341273612
Fsingle_switch-H0.3-I0.5-N0.5-S0-T0-D3,single_switch,0.3,0.5,0.5,0.0,0.0,3,0.025126991072710866,0.024638298200326057,1.0198346845391433
Fsingle_switch-H0.3-I0.5-N0.5-S0-T0.9-D0,single_switch,0.3,0.5,0.5,0.0,0.9,0,0.1646953894712418,0.1348062237321902,1.2217194793500799
Fsingle_switch-H0.3-I0.5-N0.5-S0-T0.9-D3,single_switch,0.3,0.5,0.5,0.0,0.9,3,0.14887048963820734,0.11759727579224427,1.2659348495556357
Fsingle_switch-H0.3-I0.5-N0.5-S0.9-T0-D0,single_switch,0.3,0.5,0.5,0.9,0.0,0,0.025317308701303665,0.026818586322724346,0.944021000832971
Fsingle_switch-H0.3-I0.5-N0.5-S0.9-T0-D3,single_switch,0.3,0.5,0.5,0.9,0.0,3,0.026645776714782528,0.0263502306962088,1.0112160694902852
Fsingle_switch-H0.3-I0.5-N0.5-S0.9-T0.9-D0,single_switch,0.3,0.5,0.5,0.9,0.9,0,0.16568437017964763,0.14296836239019856,1.1588883541062818
