cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,seed,strong_static_auc,persistent_auc,persistent_terminal,learning_transitions,extra_probe_transitions,fingerprint_reused_transitions,message_units,qp_iterations,mean_iterations_per_recipient_decision,mean_debt,max_debt,rollback_rate,accepted_nonlocal_rate,mean_rho_upper,mean_effective_samples
Fstationary-H0.1-I0.5-N0.1-S0-T0.9-D0,stationary,0.1,0.5,0.1,0.0,0.9,0,2950424385,0.0409803460243122,0.04780557807413683,0.02548084813269295,240,0,30,12,949,39.541666666666664,0.012490306509610812,0.06055069177920288,0.75,0.25,0.7857598013079313,1.0
Fstationary-H0.1-I0.5-N0.1-S0-T0.9-D0,stationary,0.1,0.5,0.1,0.0,0.9,0,3476054506,0.037863127399271036,0.0399884478697588,0.015282761377456336,240,0,30,12,750,31.25,0.02283993266774668,0.10308696383370568,0.8333333333333334,0.16666666666666666,0.774779026578467,1.0
Fstationary-H0.1-I0.5-N0.1-S0-T0.9-D0,stationary,0.1,0.5,0.1,0.0,0.9,0,859049474,0.02133804927365911,0.02769315833280637,0.03018399495501394,240,0,30,12,729,30.375,0.012720797368427442,0.04779124706167402,0.7916666666666666,0.20833333333333334,0.7240406941595,1.0621267467063327
Fstationary-H0.1-I0.5-N0.1-S0-T0.9-D0,stationary,0.1,0.5,0.1,0.0,0.9,0,2088432960,0.026871451371018568,0.030210560778080556,0.03424883393215384,240,0,30,12,688,28.666666666666668,0.010852282296537182,0.07802856052579282,0.7083333333333334,0.2916666666666667,0.6753486970293836,1.0339529205681817
Fstationary-H0.1-I0.5-N0.1-S0-T0.9-D0,stationary,0.1,0.5,0.1,0.0,0.9,0,4057090488,0.025678022913809065,0.030163748274751295,0.05320475645600263,240,0,30,12,634,26.416666666666668,0.007277990973062374,0.02056748803271822,0.8333333333333334,0.16666666666666666,0.7583007261695939,1.0339529205681817
Fstationary-H0.1-I0.5-N0.1-S0-T0.9-D0,stationary,0.1,0.5,0.1,0.0,0.9,0,4197492090,0.03583273763168033,0.0428790318533954,0.01070521455420719,240,0,30,12,1010,42.083333333333336,0.0036944944040342917,0.03393412343934392,0.6666666666666666,0.3333333333333333,0.6950528170211344,1.0
Fstationary-H0.1-I0.5-N0.1-S0-T0.9-D0,stationary,0.1,0.5,0.1,0.0,0.9,0,3445129534,0.03819087502146978,0.06483280708775181,0.04044102933655064,240,0,30,12,896,37.333333333333336,0.006713793660450447,0.05437319872278188,0.6666666666666666,0.3333333333333333,0.7514824226113547,1.0
Fstationary-H0.1-I0.5-N0.1-S0-T0.9-D0,stationary,0.1,0.5,0.1,0.0,0.9,0,1554091691,0.017790506885128055,0.021633793618947354,0.021015193981618423,240,0,30,12,833,34.708333333333336,0.010872849009493818,0.06727802464657928,0.8333333333333334,0.16666666666666666,0.7608108884748076,1.0
Fstationary-H0.1-I0.5-N0.1-S0-T0.9-D0,stationary,0.1,0.5,0.1,0.0,0.9,0,1360135080,0.02985013747397262,0.03748072669498875,0.004796039700412456,240,0,30,12,887,36.958333333333336,0.014843038855757587,0.06105745507218696,0.5833333333333334,0.4166666666666667,0.7054362505029986,1.0339529205681817
Fstationary-H0.1-I0.5-N0.1-S0-T0.9-D0,stationary,0.1,0.5,0.1,0.0,0.9,0,2498757706,0.031197049777654102,0.032268957934763406,0.01654709397961063,240,0,30,12,775,32.291666666666664,0.014159511626891663,0.0870781908385756,0.7916666666666666,0.20833333333333334,0.8219187743482209,1.0
