cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,mean_local_auc,mean_charged_shadow_auc,mean_strong_static_auc,mean_observable_auc,mean_clairvoyant_auc,mean_full_sharing_auc,observable_to_static_ratio,observable_to_shadow_ratio,clairvoyant_to_static_ratio,observable_cvar90,static_cvar90,shadow_cvar90,checkpoint_violation_rate,shift_change_fraction
Falternating-H0.3-I1.5-N0.1-S0.9-T0-D1,alternating,0.3,1.5,0.1,0.9,0.0,1,0.0893997136295632,0.12505816677097847,0.0893997136295632,0.11363613645372256,0.1076787580149956,0.21569513704299517,1.2711017948512167,0.9086662581727005,1.2044642386794826,0.1238820295847873,0.09686521718472986,0.1336303354094529,0.078125,1.0
Falternating-H0.3-I1.5-N0.1-S0.9-T0-D3,alternating,0.3,1.5,0.1,0.9,0.0,3,0.08956911846419444,0.1251935713842805,0.08956911846419444,0.11537533386609071,0.11020852368195264,0.3277629770357743,1.2881150986454377,0.9215755456959304,1.2304299246398063,0.1304412756406745,0.10105983113104146,0.13948932569392886,0.08854166666666666,0.96875
Falternating-H0.3-I1.5-N0.1-S0.9-T0.9-D0,alternating,0.3,1.5,0.1,0.9,0.9,0,0.11499464021077005,0.15067824095834884,0.11165869302084772,0.1335944794791942,0.11634398633460492,0.13888151607810245,1.1964539066765798,0.8866209124124498,1.0419608468181014,0.1799815242899643,0.15185633819056438,0.19692428925127833,0.18229166666666666,1.0
Falternating-H0.3-I1.5-N0.1-S0.9-T0.9-D1,alternating,0.3,1.5,0.1,0.9,0.9,1,0.11625365155948213,0.1512806304169885,0.11625365155948213,0.14374634974275485,0.12641289274369158,0.24374046630854573,1.236488900042902,0.9501966599857085,1.0873885770290097,0.1997616357713429,0.16802377921054173,0.207266040615296,0.16536458333333334,1.0
Falternating-H0.3-I1.5-N0.1-S0.9-T0.9-D3,alternating,0.3,1.5,0.1,0.9,0.9,3,0.11397899068316883,0.147405703431215,0.11397899068316883,0.13907605080396032,0.12419968439394571,0.3362708193540068,1.2201902295358504,0.9434916530815132,1.0896717337951138,0.1813064466119192,0.14789046346425988,0.1886335501944127,0.16145833333333334,0.984375
Falternating-H0.3-I1.5-N0.5-S0-T0-D0,alternating,0.3,1.5,0.5,0.0,0.0,0,0.09716084944555392,0.13206881102933254,0.09243150797821686,0.11618722550604513,0.0977566475833261,0.11876015365968423,1.2570088711895377,0.8797476451895966,1.057611735668796,0.13930931301695618,0.11113922784643147,0.14909176400004112,0.13020833333333331,0.96875
Falternating-H0.3-I1.5-N0.5-S0-T0-D1,alternating,0.3,1.5,0.5,0.0,0.0,1,0.09806770729943357,0.13446829993381537,0.09806770729943357,0.13082086356818506,0.11428918859944065,0.2229165599393551,1.3339851330341101,0.9728751209956134,1.1654110384214191,0.15052818614703786,0.11010277202682825,0.1492720094422122,0.11197916666666666,0.953125
Falternating-H0.3-I1.5-N0.5-S0-T0-D3,alternating,0.3,1.5,0.5,0.0,0.0,3,0.09838324207537374,0.1336458413679763,0.09838324207537374,0.13185477455153657,0.11655632373364824,0.3349112820685761,1.3402157905156193,0.986598409661635,1.1847172473168923,0.1485819337023488,0.11040094134285472,0.14458297781228796,0.11848958333333334,0.90625
Falternating-H0.3-I1.5-N0.5-S0-T0.9-D0,alternating,0.3,1.5,0.5,0.0,0.9,0,0.21964048852381343,0.24481186240730876,0.1908618980203321,0.22836159143994916,0.14844617244557826,0.19682996016972032,1.196475534449638,0.9328044368209975,0.7777674537731183,0.29354632045028756,0.2592497762203988,0.3117194067137611,0.2565104166666667,0.984375
Falternating-H0.3-I1.5-N0.5-S0-T0.9-D1,alternating,0.3,1.5,0.5,0.0,0.9,1,0.22268691591375978,0.24754561498583777,0.22268691591375978,0.2529581490105054,0.17596761876345807,0.2818096368005472,1.135936289622282,1.0218647945954416,0.7902018762144304,0.3192367240150928,0.28515522049458814,0.3113859857934272,0.22916666666666663,0.96875
