policy,scenario,budget,mean_mse,standard_error
fixed_q1_oracle_eta,balanced_08,3600.0,0.017261422909027324,0.002021689231886862
fixed_q1_oracle_eta,balanced_08,3800.0,0.017082296746071025,0.0019170446473202503
fixed_q1_oracle_eta,balanced_08,4000.0,0.015159157740430602,0.0018369633912459075
fixed_q1_oracle_eta,balanced_08,4200.0,0.014153727961835215,0.0015056974471791213
fixed_q1_oracle_eta,balanced_08,4400.0,0.01591682608800062,0.0016177077216007658
fixed_q1_oracle_eta,balanced_08,4600.0,0.014924616806746017,0.0016067632025686658
fixed_q1_oracle_eta,balanced_08,4800.0,0.013921930294551584,0.001485415512212827
fixed_q1_oracle_eta,balanced_08,5000.0,0.013139497583819331,0.0014254322253116497
fixed_q1_oracle_eta,balanced_08,5200.0,0.012505105896014461,0.0013620858973484784
fixed_q1_oracle_eta,balanced_08,5400.0,0.011995590405984158,0.0011815272544964275
fixed_q1_oracle_eta,balanced_08,5600.0,0.011102344810481972,0.001143815478444456
fixed_q1_oracle_eta,balanced_08,5800.0,0.010997375047954255,0.0012657477986833113
fixed_q1_oracle_eta,balanced_08,6000.0,0.012773671642212709,0.0019329473865244621
fixed_q1_oracle_eta,balanced_08,6200.0,0.014028061118121984,0.0020065324316615985
fixed_q1_oracle_eta,balanced_08,6400.0,0.014676173813299111,0.0018933346870907341
fixed_q1_oracle_eta,balanced_08,6600.0,0.014591803098370298,0.002062517284619461
fixed_q1_oracle_eta,balanced_08,6800.0,0.014928087738454948,0.0020021301395234535
fixed_q1_oracle_eta,balanced_08,7000.0,0.014428327766517132,0.0020317627160876713
fixed_q1_oracle_eta,balanced_08,7200.0,0.013995223090062518,0.0017963148248358145
fixed_q1_oracle_eta,balanced_08,7400.0,0.01449679587017997,0.0017657140807970566
fixed_q1_oracle_eta,balanced_08,7600.0,0.016475944180345283,0.0023612311051061366
fixed_q1_oracle_eta,balanced_08,7800.0,0.01652722162458228,0.0019705981499195018
fixed_q1_oracle_eta,balanced_08,8000.0,0.015986439874147673,0.0016820988776717425
fixed_q1_oracle_eta,balanced_08,8200.0,0.01406594562319911,0.001264634830404302
fixed_q1_oracle_eta,balanced_08,8400.0,0.014210833785849246,0.0013110223900735525
fixed_q1_oracle_eta,balanced_08,8600.0,0.014987472334132475,0.0013154720519598664
fixed_q1_oracle_eta,balanced_08,8800.0,0.014609159879239237,0.0016587215935302594
fixed_q1_oracle_eta,balanced_08,9000.0,0.014718872375541576,0.001513756351153797
