seed,seed_index,scenario,max_delay,policy,charged_budget,observed_messages,total_probe_cost,total_updates,finite,within_budget
20260733,3,independent,16,correlation_only_adaptive,15982,5330,768,2663,True,True
20260733,3,independent,16,state_oracle,15840,14080,0,440,True,True
20260733,3,independent,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260733,3,independent,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260733,3,independent,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260733,3,independent,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260733,3,global_08,16,state_correlation_adaptive,15968,3552,768,3104,True,True
20260733,3,global_08,16,correlation_only_adaptive,15968,3552,768,3104,True,True
20260733,3,global_08,16,state_oracle,15940,7280,0,2165,True,True
20260733,3,global_08,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260733,3,global_08,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260733,3,global_08,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260733,3,global_08,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260733,3,clustered_08,16,state_correlation_adaptive,15968,8840,768,1782,True,True
20260733,3,clustered_08,16,correlation_only_adaptive,16000,8128,768,1968,True,True
20260733,3,clustered_08,16,state_oracle,15900,11800,0,1025,True,True
20260733,3,clustered_08,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260733,3,clustered_08,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260733,3,clustered_08,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260733,3,clustered_08,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260733,3,balanced_08,16,state_correlation_adaptive,15940,4836,768,2776,True,True
20260733,3,balanced_08,16,correlation_only_adaptive,15970,3806,768,3041,True,True
20260733,3,balanced_08,16,state_oracle,15940,7280,0,2165,True,True
20260733,3,balanced_08,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260733,3,balanced_08,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260733,3,balanced_08,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260733,3,balanced_08,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260734,4,independent,4,state_correlation_adaptive,15926,9546,768,1595,True,True
20260734,4,independent,4,correlation_only_adaptive,15896,8992,768,1726,True,True
20260734,4,independent,4,state_oracle,15840,14080,0,440,True,True
20260734,4,independent,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260734,4,independent,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260734,4,independent,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260734,4,independent,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260734,4,global_08,4,state_correlation_adaptive,15940,4836,768,2776,True,True
20260734,4,global_08,4,correlation_only_adaptive,15968,3552,768,3104,True,True
20260734,4,global_08,4,state_oracle,15900,10000,0,1475,True,True
20260734,4,global_08,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260734,4,global_08,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260734,4,global_08,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260734,4,global_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260734,4,clustered_08,4,state_correlation_adaptive,15930,8598,768,1833,True,True
20260734,4,clustered_08,4,correlation_only_adaptive,16000,8128,768,1968,True,True
20260734,4,clustered_08,4,state_oracle,15920,11040,0,1220,True,True
20260734,4,clustered_08,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260734,4,clustered_08,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260734,4,clustered_08,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260734,4,clustered_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260734,4,balanced_08,4,state_correlation_adaptive,15968,4692,768,2819,True,True
20260734,4,balanced_08,4,correlation_only_adaptive,15972,4124,768,2962,True,True
20260734,4,balanced_08,4,state_oracle,15900,10000,0,1475,True,True
20260734,4,balanced_08,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260734,4,balanced_08,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260734,4,balanced_08,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260734,4,balanced_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260734,4,independent,16,state_correlation_adaptive,15862,9450,768,1603,True,True
20260734,4,independent,16,correlation_only_adaptive,15946,5598,768,2587,True,True
20260734,4,independent,16,state_oracle,15860,13920,0,485,True,True
20260734,4,independent,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260734,4,independent,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260734,4,independent,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260734,4,independent,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260734,4,global_08,16,state_correlation_adaptive,15940,4836,768,2776,True,True
20260734,4,global_08,16,correlation_only_adaptive,15968,3552,768,3104,True,True
20260734,4,global_08,16,state_oracle,15900,10000,0,1475,True,True
20260734,4,global_08,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260734,4,global_08,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260734,4,global_08,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260734,4,global_08,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260734,4,clustered_08,16,state_correlation_adaptive,15926,8090,768,1959,True,True
20260734,4,clustered_08,16,correlation_only_adaptive,15984,5840,768,2536,True,True
20260734,4,clustered_08,16,state_oracle,15920,11640,0,1070,True,True
20260734,4,clustered_08,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260734,4,clustered_08,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260734,4,clustered_08,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260734,4,clustered_08,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260734,4,balanced_08,16,state_correlation_adaptive,15974,4378,768,2899,True,True
20260734,4,balanced_08,16,correlation_only_adaptive,15972,4124,768,2962,True,True
20260734,4,balanced_08,16,state_oracle,15900,10000,0,1475,True,True
20260734,4,balanced_08,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260734,4,balanced_08,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260734,4,balanced_08,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260734,4,balanced_08,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260735,5,independent,4,state_correlation_adaptive,15918,9478,768,1610,True,True
20260735,5,independent,4,correlation_only_adaptive,15958,9658,768,1575,True,True
20260735,5,independent,4,state_oracle,15840,14080,0,440,True,True
20260735,5,independent,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260735,5,independent,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260735,5,independent,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260735,5,independent,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260735,5,global_08,4,state_correlation_adaptive,15940,4836,768,2776,True,True
20260735,5,global_08,4,correlation_only_adaptive,15968,3552,768,3104,True,True
20260735,5,global_08,4,state_oracle,15860,12720,0,785,True,True
20260735,5,global_08,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260735,5,global_08,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260735,5,global_08,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260735,5,global_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260735,5,clustered_08,4,state_correlation_adaptive,15956,6996,768,2240,True,True
20260735,5,clustered_08,4,correlation_only_adaptive,15990,6602,768,2347,True,True
20260735,5,clustered_08,4,state_oracle,15900,11800,0,1025,True,True
20260735,5,clustered_08,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260735,5,clustered_08,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260735,5,clustered_08,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260735,5,clustered_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260735,5,balanced_08,4,state_correlation_adaptive,15944,5408,768,2634,True,True
20260735,5,balanced_08,4,correlation_only_adaptive,15972,4124,768,2962,True,True
20260735,5,balanced_08,4,state_oracle,15880,11360,0,1130,True,True
20260735,5,balanced_08,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260735,5,balanced_08,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260735,5,balanced_08,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260735,5,balanced_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260735,5,independent,16,state_correlation_adaptive,15912,8968,768,1736,True,True
20260735,5,independent,16,correlation_only_adaptive,15964,6968,768,2249,True,True
20260735,5,independent,16,state_oracle,15840,14080,0,440,True,True
20260735,5,independent,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260735,5,independent,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260735,5,independent,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260735,5,independent,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260735,5,global_08,16,state_correlation_adaptive,15968,3552,768,3104,True,True
