scenario,rho,num_agents,eta,mean_delay,max_delay,stable,spectral_radius,finite_mse,stationary_mse,squared_bias,finite_variance
heterogeneous,0.99,32,0.003950531850119864,6.65625,16,True,0.9959402151078036,0.08842146293684194,0.07275001543090028,0.01713281979479763,0.07128864314204432
synchronous,0.0,1,0.007496479365920988,0.0,0,True,0.992503520634079,0.00616244347704116,0.0056259180388105005,0.0005395801673202696,0.005622863309720891
synchronous,0.0,2,0.008214865584638874,0.0,0,True,0.9917851344153611,0.0033434758959523018,0.003082713867457182,0.0002615739482106096,0.003081901947741692
synchronous,0.0,4,0.008214865584638874,0.0,0,True,0.9917851344153611,0.0018025249220814557,0.001541356933728591,0.0002615739482106096,0.001540950973870846
synchronous,0.0,8,0.009002094620638404,0.0,0,True,0.9909979053793616,0.0009627212769371988,0.0008445894805585575,0.0001182324095847269,0.0008444888673524719
synchronous,0.0,16,0.009864763668252936,0.0,0,True,0.990135236331747,0.0005122642740894288,0.00046279751132259666,4.9489856555766474e-05,0.0004627744175336624
synchronous,0.0,32,0.010810102129717652,0.0,0,True,0.9891898978702823,0.0002726297101197292,0.00025359434040493595,1.9040242146210364e-05,0.00025358946797351885
synchronous,0.1,1,0.006242680759524585,0.0,0,True,0.9937573192404754,0.016971698524487256,0.0150993492550021,0.0019069545854870796,0.015064743939000176
synchronous,0.1,2,0.006242680759524585,0.0,0,True,0.9937573192404754,0.014867726626397869,0.012991336439261016,0.0019069545854870796,0.01296077204091079
synchronous,0.1,4,0.006242680759524585,0.0,0,True,0.9937573192404754,0.013815740677353175,0.011937330031390475,0.0019069545854870796,0.011908786091866096
synchronous,0.1,8,0.006242680759524585,0.0,0,True,0.9937573192404754,0.01328974770283083,0.011410326827455203,0.0019069545854870796,0.01138279311734375
synchronous,0.1,16,0.006242680759524585,0.0,0,True,0.9937573192404754,0.013026751215569654,0.011146825225487567,0.0019069545854870796,0.011119796630082574
synchronous,0.1,32,0.006242680759524585,0.0,0,True,0.9937573192404754,0.012895252971939069,0.01101507442450375,0.0019069545854870796,0.010988298386451989
synchronous,0.3,1,0.005198582049395212,0.0,0,True,0.9948014179506048,0.03566025463905298,0.030410174666911878,0.0054499889849805505,0.030210265654072428
synchronous,0.3,2,0.005198582049395212,0.0,0,True,0.9948014179506048,0.034302503131796315,0.02904495031422065,0.0054499889849805505,0.028852514146815764
synchronous,0.3,4,0.005198582049395212,0.0,0,True,0.9948014179506048,0.03362362737816798,0.02836233813787503,0.0054499889849805505,0.028173638393187428
synchronous,0.3,8,0.005198582049395212,0.0,0,True,0.9948014179506048,0.03328418950135381,0.028021032049702226,0.0054499889849805505,0.027834200516373264
synchronous,0.3,16,0.005198582049395212,0.0,0,True,0.9948014179506048,0.03311447056294673,0.027850379005615822,0.0054499889849805505,0.02766448157796618
synchronous,0.3,32,0.005198582049395212,0.0,0,True,0.9948014179506048,0.033029611093743194,0.027765052483572625,0.0054499889849805505,0.027579622108762643
synchronous,0.5,1,0.004743968439144176,0.0,0,True,0.9952560315608558,0.05236277436292891,0.04421159347662185,0.008606334538916183,0.04375643982401273
synchronous,0.5,2,0.004743968439144176,0.0,0,True,0.9952560315608558,0.05148061445580217,0.04332174482616441,0.008606334538916183,0.042874279916885985
synchronous,0.5,4,0.004743968439144176,0.0,0,True,0.9952560315608558,0.05103953450223878,0.042876820500935685,0.008606334538916183,0.0424331999633226
synchronous,0.5,8,0.004743968439144176,0.0,0,True,0.9952560315608558,0.0508189945254571,0.042654358338321326,0.008606334538916183,0.04221265998654092
synchronous,0.5,16,0.004743968439144176,0.0,0,True,0.9952560315608558,0.050708724537066256,0.042543127257014146,0.008606334538916183,0.042102389998150073
synchronous,0.5,32,0.004743968439144176,0.0,0,True,0.9952560315608558,0.05065358954287084,0.04248751171636056,0.008606334538916183,0.042047255003954655
synchronous,0.7,1,0.004329110580107935,0.0,0,True,0.995670889419892,0.06777730745997998,0.05557867921636114,0.013055989151664088,0.054721318308315885
synchronous,0.7,2,0.004329110580107935,0.0,0,True,0.995670889419892,0.06729648943078342,0.055091477244422836,0.013055989151664088,0.054240500279119336
synchronous,0.7,4,0.004329110580107935,0.0,0,True,0.995670889419892,0.06705608041618515,0.054847876258453686,0.013055989151664088,0.05400009126452106
