alignment,selection_rule,rho,configured_max_delay,resource,optimal_num_agents,optimal_eta,optimal_horizon,optimal_mse,all_agents_eta,all_agents_horizon,all_agents_mse,optimal_to_all_agents_ratio,selected_stable
server_time,fastest,0.3,16,message_overhead_0,4,0.0025,1600,0.014617352778287148,0.011387886347566916,200,0.06501187143475845,0.2248412859942994,True
server_time,fastest,0.3,16,message_overhead_16,2,0.007384130729697496,355,0.0447366121795804,0.01414213562373095,133,0.08390136846758608,0.5332047974505166,True
server_time,fastest,0.3,16,message_overhead_4,1,0.0025,1280,0.01689578973049032,0.011387886347566916,177,0.06984011220771605,0.24192099921373902,True
server_time,fastest,0.3,16,wallclock,2,0.0038555270635198514,769,0.02459059841303159,0.01414213562373095,141,0.08100290882728756,0.303576732848731,True
server_time,fastest,0.6,4,message_overhead_0,2,0.0025,3200,0.0282997091258585,0.009170040432046712,200,0.11321037635282766,0.24997451680277588,True
server_time,fastest,0.6,4,message_overhead_16,1,0.005946035575013605,376,0.07466515815097984,0.011387886347566916,133,0.14841493672015466,0.5030838526163004,True
server_time,fastest,0.6,4,message_overhead_4,1,0.0025,1280,0.030270988957178134,0.009170040432046712,177,0.12433744770901675,0.24345834271924605,True
server_time,fastest,0.6,4,wallclock,1,0.0031046445301837096,784,0.04256146075283155,0.007384130729697496,303,0.08612240974690961,0.49419728126405343,True
server_time,fastest,0.6,16,message_overhead_0,2,0.0025,3200,0.0282997091258585,0.009170040432046712,200,0.1134572259535886,0.2494306456728893,True
server_time,fastest,0.6,16,message_overhead_16,1,0.005946035575013605,376,0.07466515815097984,0.011387886347566916,133,0.14690295953940719,0.5082617694366509,True
server_time,fastest,0.6,16,message_overhead_4,1,0.0025,1280,0.030270988957178134,0.009170040432046712,177,0.1230863049638969,0.24593303833482594,True
server_time,fastest,0.6,16,wallclock,1,0.0031046445301837096,784,0.04256146075283155,0.011387886347566916,141,0.14153903782384075,0.3007047483663374,True
server_time,fastest,0.9,4,message_overhead_0,2,0.0025,3200,0.04198066050519857,0.007384130729697496,200,0.15704127973564225,0.2673224554452647,True
server_time,fastest,0.9,4,message_overhead_16,1,0.0047880164034928676,376,0.10193384263830793,0.011387886347566916,133,0.199844544546287,0.510065675646695,True
server_time,fastest,0.9,4,message_overhead_4,1,0.0025,1280,0.04364618818386593,0.009170040432046712,177,0.16800224771804448,0.259795263317647,True
server_time,fastest,0.9,4,wallclock,1,0.0031046445301837096,784,0.05887150829330743,0.005946035575013605,303,0.11750201185422612,0.5010255344933486,True
server_time,fastest,0.9,16,message_overhead_0,2,0.0025,3200,0.04198066050519857,0.007384130729697496,200,0.15591893070663826,0.26924671888742785,True
server_time,fastest,0.9,16,message_overhead_16,1,0.0047880164034928676,376,0.10193384263830793,0.011387886347566916,133,0.20187189413570128,0.5049432120044729,True
server_time,fastest,0.9,16,message_overhead_4,1,0.0025,1280,0.04364618818386593,0.009170040432046712,177,0.1691072610992405,0.2580976588477309,True
server_time,fastest,0.9,16,wallclock,1,0.0031046445301837096,784,0.05887150829330743,0.009170040432046712,141,0.19413502468937666,0.3032503196551166,True
server_time,uniform_rank,0.0,4,message_overhead_0,8,0.005946035575013605,800,0.000628463342586296,0.021810154653305155,200,0.0006390586536511885,0.9834204403549544,True
server_time,uniform_rank,0.0,4,message_overhead_16,32,0.03363585661014857,133,0.0008971885805029844,0.03363585661014857,133,0.0008971885805029844,1.0,True
server_time,uniform_rank,0.0,4,message_overhead_4,32,0.027085110938737847,177,0.0007004573755665953,0.027085110938737847,177,0.0007004573755665953,1.0,True
server_time,uniform_rank,0.0,4,wallclock,32,0.017562521603732995,303,0.00043863744113624924,0.017562521603732995,303,0.00043863744113624924,1.0,True
server_time,uniform_rank,0.0,16,message_overhead_0,32,0.021810154653305155,200,0.0006151176507064926,0.021810154653305155,200,0.0006151176507064926,1.0,True
