persistence,rho,delay,seed,policy,pilot_stays,persistence_upper,certificate_covered,gap,delta_upper,num_agents,eta,theorem_contraction,updates,risk_surrogate,exact_radius,exact_residual,expected_final_error,used_persistence,final_error,maximum_error,diverged
0.5,0.0,2,45,oracle_q1,-1,0.5,True,1,0.0,1,0.0305128368946816,0.9800953143413963,2000,0.0021925897647741065,0.9609915985460662,4.98828777051636e-16,0.0010311421378161165,0.5,6.948925724061607e-08,1.2589812225706432,False
0.5,0.0,2,45,oracle_q32,-1,0.5,True,1,0.0,32,0.031393704964990665,0.9795281387237824,487,0.13453497319962412,0.9592195671578286,7.468261590855957e-16,3.274530344935376e-05,0.5,5.25840954479401e-07,1.1063656062187115,False
0.5,0.0,2,46,online_ucb,1036,0.5317725228432977,True,1,0.03177252284329768,1,0.023502344553910544,0.9879201594083704,1795,0.014568265643997115,0.9697447993157031,7.49914357617637e-16,0.0007753868313614776,0.5,0.00010332955798401336,1.0,False
0.5,0.0,2,46,oracle,-1,0.5,True,1,0.0,2,0.03096099414405573,0.9798066497338122,1818,0.0015574822008010793,0.960095380813632,7.211110073938365e-16,0.0005198324698563746,0.5,0.0006546250737294122,1.0,False
0.5,0.0,2,46,iid_naive,-1,0.5,True,1,0.0,2,0.03096099414405573,0.9798066497338122,1818,0.0015574822008010793,0.960095380813632,7.211110073938365e-16,0.0005198324698563746,0.5,0.0006546250737294122,1.0,False
0.5,0.0,2,46,worst_mixing,-1,0.98,True,47,0.07340370094697085,2,0.014988414994969015,0.995028219672209,350,0.7063725675361013,0.9804903918877848,1.5730336272784255e-15,0.0012517178236352516,0.5,9.290460241455872e-05,1.0,False
0.5,0.0,2,46,oracle_q1,-1,0.5,True,1,0.0,1,0.0305128368946816,0.9800953143413963,2000,0.0021925897647741065,0.9609915985460662,4.98828777051636e-16,0.0010311421378161165,0.5,0.0010796006438031787,1.0,False
0.5,0.0,2,46,oracle_q32,-1,0.5,True,1,0.0,32,0.031393704964990665,0.9795281387237824,487,0.13453497319962412,0.9592195671578286,7.468261590855957e-16,3.274530344935376e-05,0.5,1.7737756637623615e-05,1.0,False
0.5,0.0,2,47,online_ucb,1053,0.5400486070847885,True,1,0.04004860708478852,1,0.021730506518345294,0.9896166290750935,1795,0.025404744917245252,0.9719805345923416,6.473657049138938e-16,0.0007126427681562225,0.5,3.213150812257966e-06,1.0,False
0.5,0.0,2,47,oracle,-1,0.5,True,1,0.0,2,0.03096099414405573,0.9798066497338122,1818,0.0015574822008010793,0.960095380813632,7.211110073938365e-16,0.0005198324698563746,0.5,0.0009127650799330364,1.0071964871880086,False
0.5,0.0,2,47,iid_naive,-1,0.5,True,1,0.0,2,0.03096099414405573,0.9798066497338122,1818,0.0015574822008010793,0.960095380813632,7.211110073938365e-16,0.0005198324698563746,0.5,0.0009127650799330364,1.0071964871880086,False
0.5,0.0,2,47,worst_mixing,-1,0.98,True,47,0.07340370094697085,2,0.014988414994969015,0.995028219672209,350,0.7063725675361013,0.9804903918877848,1.5730336272784255e-15,0.0012517178236352516,0.5,0.00027626354749445397,1.0034806434219348,False
0.5,0.0,2,47,oracle_q1,-1,0.5,True,1,0.0,1,0.0305128368946816,0.9800953143413963,2000,0.0021925897647741065,0.9609915985460662,4.98828777051636e-16,0.0010311421378161165,0.5,0.00010327970618930724,1.0,False
0.5,0.0,2,47,oracle_q32,-1,0.5,True,1,0.0,32,0.031393704964990665,0.9795281387237824,487,0.13453497319962412,0.9592195671578286,7.468261590855957e-16,3.274530344935376e-05,0.5,1.6136221892996549e-06,1.0273162092996488,False
0.5,0.0,2,48,online_ucb,1033,0.5303113028639697,True,1,0.030311302863969658,1,0.023817361897040923,0.9876062949070804,1795,0.01319667265717003,0.9693482429320077,1.7337795295825816e-15,0.0007866206465536524,0.5,0.00015987044109478168,1.0167467760139566,False
0.5,0.0,2,48,oracle,-1,0.5,True,1,0.0,2,0.03096099414405573,0.9798066497338122,1818,0.0015574822008010793,0.960095380813632,7.211110073938365e-16,0.0005198324698563746,0.5,0.00011479813065839908,1.1148433152116652,False
0.5,0.0,2,48,iid_naive,-1,0.5,True,1,0.0,2,0.03096099414405573,0.9798066497338122,1818,0.0015574822008010793,0.960095380813632,7.211110073938365e-16,0.0005198324698563746,0.5,0.00011479813065839908,1.1148433152116652,False
0.5,0.0,2,48,worst_mixing,-1,0.98,True,47,0.07340370094697085,2,0.014988414994969015,0.995028219672209,350,0.7063725675361013,0.9804903918877848,1.5730336272784255e-15,0.0012517178236352516,0.5,0.003283624190376707,1.0571714098737683,False
0.5,0.0,2,48,oracle_q1,-1,0.5,True,1,0.0,1,0.0305128368946816,0.9800953143413963,2000,0.0021925897647741065,0.9609915985460662,4.98828777051636e-16,0.0010311421378161165,0.5,6.267913329741273e-07,1.0214796280291756,False
0.5,0.0,2,48,oracle_q32,-1,0.5,True,1,0.0,32,0.031393704964990665,0.9795281387237824,487,0.13453497319962412,0.9592195671578286,7.468261590855957e-16,3.274530344935376e-05,0.5,2.3261098644610082e-05,1.1431255697455474,False
0.5,0.0,2,49,online_ucb,1029,0.5283626668915571,True,1,0.028362666891557087,1,0.02423850538821093,0.9871809829854415,1795,0.011570656900624213,0.9688185420773712,1.0569008315563939e-15,0.0008016763067901694,0.5,0.0005340234608575992,1.0346462684787276,False
0.5,0.0,2,49,oracle,-1,0.5,True,1,0.0,2,0.03096099414405573,0.9798066497338122,1818,0.0015574822008010793,0.960095380813632,7.211110073938365e-16,0.0005198324698563746,0.5,0.002191873342796821,1.0460543939946543,False
