scenario_id,family,matrix_name,rho,delay,markov_lambda,step_size,q,stride,updates,binding,risk,bias_risk,noise_risk,spectral_radius,fixed_sequence_minimax_risk,scalar_reference_risk
speedup-0-scalar-D1-L0.9-E0.04,speedup,scalar,0.0,1,0.9,0.04,1,1,95,environment,0.2883179921420335,0.0,0.2883179921420335,0.9582575694955839,0.010526315789473684,0.2883179921420334
speedup-0-scalar-D1-L0.9-E0.04,speedup,scalar,0.0,1,0.9,0.04,1,4,23,environment,0.07735372168693985,0.0,0.07735372168693985,0.9582575694955839,0.043478260869565216,0.07735372168693985
speedup-0-scalar-D1-L0.9-E0.04,speedup,scalar,0.0,1,0.9,0.04,4,1,95,environment,0.07207949803550838,0.0,0.07207949803550838,0.9582575694955839,0.002631578947368421,0.07207949803550835
speedup-0-scalar-D1-L0.9-E0.04,speedup,scalar,0.0,1,0.9,0.04,4,4,23,environment,0.019338430421734963,0.0,0.019338430421734963,0.9582575694955839,0.010869565217391304,0.019338430421734963
speedup-0-scalar-D1-L0.9-E0.04,speedup,scalar,0.0,1,0.9,0.04,16,1,95,environment,0.018019874508877095,0.0,0.018019874508877095,0.9582575694955839,0.0006578947368421052,0.018019874508877088
speedup-0-scalar-D1-L0.9-E0.04,speedup,scalar,0.0,1,0.9,0.04,16,4,23,environment,0.004834607605433741,0.0,0.004834607605433741,0.9582575694955839,0.002717391304347826,0.004834607605433741
speedup-0-scalar-D1-L0.9-E0.08,speedup,scalar,0.0,1,0.9,0.08,1,1,95,environment,0.4662628109702205,0.0,0.4662628109702205,0.912310562561766,0.010526315789473684,0.466262810970221
speedup-0-scalar-D1-L0.9-E0.08,speedup,scalar,0.0,1,0.9,0.08,1,4,23,environment,0.1777326079099622,0.0,0.1777326079099622,0.912310562561766,0.043478260869565216,0.17773260790996212
speedup-0-scalar-D1-L0.9-E0.08,speedup,scalar,0.0,1,0.9,0.08,4,1,95,environment,0.11656570274255512,0.0,0.11656570274255512,0.912310562561766,0.002631578947368421,0.11656570274255525
speedup-0-scalar-D1-L0.9-E0.08,speedup,scalar,0.0,1,0.9,0.08,4,4,23,environment,0.04443315197749055,0.0,0.04443315197749055,0.912310562561766,0.010869565217391304,0.04443315197749053
speedup-0-scalar-D1-L0.9-E0.08,speedup,scalar,0.0,1,0.9,0.08,16,1,95,environment,0.02914142568563878,0.0,0.02914142568563878,0.912310562561766,0.0006578947368421052,0.02914142568563881
speedup-0-scalar-D1-L0.9-E0.08,speedup,scalar,0.0,1,0.9,0.08,16,4,23,environment,0.011108287994372638,0.0,0.011108287994372638,0.912310562561766,0.002717391304347826,0.011108287994372633
speedup-0-scalar-D3-L0-E0.04,speedup,scalar,0.0,3,0.0,0.04,1,1,93,environment,0.023017116592043953,0.0,0.023017116592043953,0.9539185534049174,0.010752688172043012,0.023017116592043953
speedup-0-scalar-D3-L0-E0.04,speedup,scalar,0.0,3,0.0,0.04,1,4,23,environment,0.0202463000643857,0.0,0.0202463000643857,0.9539185534049174,0.043478260869565216,0.0202463000643857
speedup-0-scalar-D3-L0-E0.04,speedup,scalar,0.0,3,0.0,0.04,4,1,93,environment,0.005754279148010988,0.0,0.005754279148010988,0.9539185534049174,0.002688172043010753,0.005754279148010988
speedup-0-scalar-D3-L0-E0.04,speedup,scalar,0.0,3,0.0,0.04,4,4,23,environment,0.005061575016096425,0.0,0.005061575016096425,0.9539185534049174,0.010869565217391304,0.005061575016096425
speedup-0-scalar-D3-L0-E0.04,speedup,scalar,0.0,3,0.0,0.04,16,1,93,environment,0.001438569787002747,0.0,0.001438569787002747,0.9539185534049174,0.0006720430107526882,0.001438569787002747
speedup-0-scalar-D3-L0-E0.04,speedup,scalar,0.0,3,0.0,0.04,16,4,23,environment,0.0012653937540241062,0.0,0.0012653937540241062,0.9539185534049174,0.002717391304347826,0.0012653937540241062
speedup-0-scalar-D3-L0-E0.08,speedup,scalar,0.0,3,0.0,0.08,1,1,93,environment,0.05316976431673145,0.0,0.05316976431673145,0.8843185245823201,0.010752688172043012,0.05316976431673145
speedup-0-scalar-D3-L0-E0.08,speedup,scalar,0.0,3,0.0,0.08,1,4,23,environment,0.05289142115298059,0.0,0.05289142115298059,0.8843185245823201,0.043478260869565216,0.05289142115298059
speedup-0-scalar-D3-L0-E0.08,speedup,scalar,0.0,3,0.0,0.08,4,1,93,environment,0.013292441079182862,0.0,0.013292441079182862,0.8843185245823201,0.002688172043010753,0.013292441079182862
speedup-0-scalar-D3-L0-E0.08,speedup,scalar,0.0,3,0.0,0.08,4,4,23,environment,0.013222855288245147,0.0,0.013222855288245147,0.8843185245823201,0.010869565217391304,0.013222855288245147
speedup-0-scalar-D3-L0-E0.08,speedup,scalar,0.0,3,0.0,0.08,16,1,93,environment,0.0033231102697957155,0.0,0.0033231102697957155,0.8843185245823201,0.0006720430107526882,0.0033231102697957155
speedup-0-scalar-D3-L0-E0.08,speedup,scalar,0.0,3,0.0,0.08,16,4,23,environment,0.0033057138220612867,0.0,0.0033057138220612867,0.8843185245823201,0.002717391304347826,0.0033057138220612867
speedup-0-scalar-D3-L0.6-E0.04,speedup,scalar,0.0,3,0.6,0.04,1,1,93,environment,0.08570619318936494,0.0,0.08570619318936494,0.9539185534049174,0.010752688172043012,0.085706193189365
speedup-0-scalar-D3-L0.6-E0.04,speedup,scalar,0.0,3,0.6,0.04,1,4,23,environment,0.025947538631643025,0.0,0.025947538631643025,0.9539185534049174,0.043478260869565216,0.025947538631643036
speedup-0-scalar-D3-L0.6-E0.04,speedup,scalar,0.0,3,0.6,0.04,4,1,93,environment,0.021426548297341235,0.0,0.021426548297341235,0.9539185534049174,0.002688172043010753,0.02142654829734125
speedup-0-scalar-D3-L0.6-E0.04,speedup,scalar,0.0,3,0.6,0.04,4,4,23,environment,0.006486884657910756,0.0,0.006486884657910756,0.9539185534049174,0.010869565217391304,0.006486884657910759
speedup-0-scalar-D3-L0.6-E0.04,speedup,scalar,0.0,3,0.6,0.04,16,1,93,environment,0.005356637074335309,0.0,0.005356637074335309,0.9539185534049174,0.0006720430107526882,0.005356637074335312
speedup-0-scalar-D3-L0.6-E0.04,speedup,scalar,0.0,3,0.6,0.04,16,4,23,environment,0.001621721164477689,0.0,0.001621721164477689,0.9539185534049174,0.002717391304347826,0.0016217211644776897
speedup-0-scalar-D3-L0.6-E0.08,speedup,scalar,0.0,3,0.6,0.08,1,1,93,environment,0.18544119471959045,0.0,0.18544119471959045,0.8843185245823201,0.010752688172043012,0.1854411947195906
speedup-0-scalar-D3-L0.6-E0.08,speedup,scalar,0.0,3,0.6,0.08,1,4,23,environment,0.06746042912866937,0.0,0.06746042912866937,0.8843185245823201,0.043478260869565216,0.06746042912866934
speedup-0-scalar-D3-L0.6-E0.08,speedup,scalar,0.0,3,0.6,0.08,4,1,93,environment,0.04636029867989761,0.0,0.04636029867989761,0.8843185245823201,0.002688172043010753,0.04636029867989765
speedup-0-scalar-D3-L0.6-E0.08,speedup,scalar,0.0,3,0.6,0.08,4,4,23,environment,0.016865107282167342,0.0,0.016865107282167342,0.8843185245823201,0.010869565217391304,0.016865107282167335
speedup-0-scalar-D3-L0.6-E0.08,speedup,scalar,0.0,3,0.6,0.08,16,1,93,environment,0.011590074669974403,0.0,0.011590074669974403,0.8843185245823201,0.0006720430107526882,0.011590074669974413
