policy,persistence,rho,delay,seed,decision,covered_so_far,persistence_upper,rho_upper,certified_persistence,certified_rho,transition_trials,sharing_trials,q,gap,eta,updates,exact_radius
correlation_blind,0.98,0.0,0,21381258,3,True,0.9924730787083871,0.025863016808756842,0.994,0.0,3923,345,32,286,0.24157048861242997,6,0.7937187598919293
correlation_blind,0.98,0.0,0,21381258,4,True,0.9876202052996685,0.025164388328831645,0.988,0.0,5478,360,32,155,0.16108435159763299,10,0.8382234641659347
correlation_blind,0.98,0.0,0,21381258,5,True,0.9873545168111293,0.024186268692894364,0.988,0.0,7010,380,32,169,0.20056641166043218,9,0.8134211055834433
correlation_blind,0.98,0.0,0,21381258,6,True,0.9863661150457295,0.02299747688434753,0.988,0.0,8565,395,32,155,0.2397845798407587,10,0.7949621647110323
correlation_blind,0.98,0.0,0,21381258,7,True,0.9852992645986907,0.022181782442668392,0.986,0.0,10030,420,32,145,0.2756994103709983,10,0.7833471296870362
correlation_blind,0.98,0.0,0,21381258,8,True,0.9851204062150605,0.020946806161918817,0.986,0.0,11637,443,16,133,0.2803414806134876,12,0.7843072606497289
correlation_blind,0.98,0.0,0,21381258,9,True,0.984483888203606,0.019929096801831407,0.986,0.0,13372,462,8,133,0.2881763751041444,13,0.7857464811233147
correlation_blind,0.98,0.0,0,21381258,10,True,0.984905042266786,0.019161942400258827,0.986,0.0,13985,470,8,122,0.27800570027182925,5,0.7887163458772356
dual_ucb,0.98,0.0,0,20381259,1,True,0.9983186396695305,0.06276907731421694,1.0,0.08,328,328,1,18721,0.0,0,1.0
dual_ucb,0.98,0.0,0,20381259,2,True,0.9963296485018818,0.026376301972316142,0.998,0.04,2203,335,32,935,0.29463290249917845,2,0.7779207553826774
dual_ucb,0.98,0.0,0,20381259,3,True,0.9903457557682798,0.025863016808756842,0.992,0.04,3855,349,32,235,0.17993090493259722,7,0.8254249985530607
dual_ucb,0.98,0.0,0,20381259,4,True,0.9879904542001796,0.024895681852036743,0.988,0.04,5410,364,32,155,0.14681324807517704,10,0.8485815054982864
dual_ucb,0.98,0.0,0,20381259,5,True,0.98704627551479,0.0239384954614337,0.988,0.04,6942,384,32,169,0.18171944930464656,9,0.8244719159446543
dual_ucb,0.98,0.0,0,20381259,6,True,0.9855222224150668,0.022773982468780707,0.986,0.04,8407,409,32,145,0.19704490596762114,10,0.8157338915325119
dual_ucb,0.98,0.0,0,20381259,7,True,0.984820265037655,0.021472338976701415,0.986,0.04,9872,434,32,145,0.2520304904401208,10,0.7906297061503653
dual_ucb,0.98,0.0,0,20381259,8,True,0.9847936046516277,0.02031498915267621,0.986,0.04,11479,457,16,133,0.2697963642248933,12,0.7869556678258159
dual_ucb,0.98,0.0,0,20381259,9,True,0.9845672892471995,0.019357879611564634,0.986,0.02,13214,476,8,133,0.28602393947205856,13,0.786141701137635
dual_ucb,0.98,0.0,0,20381259,10,True,0.9845917228512651,0.01863438943946069,0.986,0.02,13827,484,8,122,0.27638842118801926,5,0.7890667346756993
correlation_blind,0.98,0.0,0,21381259,1,True,0.9999990230334976,0.06276907731421694,1.0,0.0,328,328,1,18721,0.0,0,1.0
correlation_blind,0.98,0.0,0,21381259,2,True,0.9973052963407696,0.026376301972316142,0.998,0.0,2203,335,32,935,0.2997644146494552,2,0.7769570065632019
correlation_blind,0.98,0.0,0,21381259,3,True,0.9871689932845682,0.025863016808756842,0.988,0.0,3758,350,32,155,0.13894067130838525,10,0.8546259299424257
correlation_blind,0.98,0.0,0,21381259,4,True,0.9860441884169295,0.024829424806696178,0.988,0.0,5313,365,32,155,0.16108435159763299,10,0.8382234641659347
correlation_blind,0.98,0.0,0,21381259,5,True,0.9857549443091131,0.023877365688664574,0.986,0.0,6785,385,32,133,0.17189203627279034,11,0.8313141782965181
correlation_blind,0.98,0.0,0,21381259,6,True,0.9842106158684241,0.02271880502941133,0.986,0.0,8250,410,32,145,0.21801565177538926,10,0.80480819281406
correlation_blind,0.98,0.0,0,21381259,7,True,0.9839171917773619,0.021423444863235344,0.984,0.0,9673,436,32,128,0.2539369584673269,11,0.7908486774591357
correlation_blind,0.98,0.0,0,21381259,8,True,0.9847400483002786,0.02022791281284097,0.986,0.0,11280,459,16,133,0.2803414806134876,12,0.7843072606497289
correlation_blind,0.98,0.0,0,21381259,9,True,0.984216003170095,0.019279012354456906,0.986,0.0,13015,478,8,133,0.2881763751041444,13,0.7857464811233147
correlation_blind,0.98,0.0,0,21381259,10,True,0.984020803725568,0.018561451444094372,0.986,0.0,13628,486,8,122,0.27800570027182925,5,0.7887163458772356
dual_ucb,0.98,0.0,0,20381260,1,True,1.0,0.06276907731421694,1.0,0.08,328,328,1,18721,0.0,0,1.0
dual_ucb,0.98,0.0,0,20381260,2,True,0.9973052963407696,0.026376301972316142,0.998,0.04,2203,335,32,935,0.29463290249917845,2,0.7779207553826774
dual_ucb,0.98,0.0,0,20381260,3,True,0.9909627338849123,0.025863016808756842,0.992,0.04,3855,349,32,235,0.17993090493259722,7,0.8254249985530607
dual_ucb,0.98,0.0,0,20381260,4,True,0.9881872610771965,0.024895681852036743,0.99,0.04,5362,376,32,186,0.17080734921373353,8,0.8314038368991105
dual_ucb,0.98,0.0,0,20381260,5,True,0.9876667912579891,0.023225530002396223,0.988,0.04,6894,396,32,169,0.18171944930464656,9,0.8244719159446543
dual_ucb,0.98,0.0,0,20381260,6,True,0.9862520369435472,0.02212951203505735,0.988,0.04,8449,411,32,155,0.21666743751204537,10,0.8052371031720401
dual_ucb,0.98,0.0,0,20381260,7,True,0.9860826226007924,0.02137477917831771,0.988,0.04,10157,425,16,155,0.23980268060058207,11,0.7960418291802431
dual_ucb,0.98,0.0,0,20381260,8,True,0.9854753915407473,0.020716568470575486,0.986,0.04,11764,448,16,133,0.2697963642248933,12,0.7869556678258159
dual_ucb,0.98,0.0,0,20381260,9,True,0.9857456788591921,0.019721152666372734,0.986,0.02,13499,467,8,133,0.28602393947205856,13,0.786141701137635
dual_ucb,0.98,0.0,0,20381260,10,True,0.9852406712178527,0.01897004004740164,0.986,0.02,14112,475,8,122,0.27638842118801926,5,0.7890667346756993
correlation_blind,0.98,0.0,0,21381260,1,True,0.9999990230334976,0.06276907731421694,1.0,0.0,328,328,1,18721,0.0,0,1.0
correlation_blind,0.98,0.0,0,21381260,2,True,0.9994254293839611,0.026376301972316142,1.0,0.0,528,528,1,16721,0.0,0,1.0
correlation_blind,0.98,0.0,0,21381260,3,True,0.9948752394298357,0.016911182177612276,0.996,0.0,1974,579,32,466,0.29194326615394606,3,0.7784656129101535
correlation_blind,0.98,0.0,0,21381260,4,True,0.9912393702564957,0.015511511092486673,0.992,0.0,3626,593,32,235,0.2294973338510445,7,0.798813459530304
correlation_blind,0.98,0.0,0,21381260,5,True,0.9878436238163328,0.015167922504187633,0.988,0.0,5158,613,32,169,0.20056641166043218,9,0.8134211055834433
correlation_blind,0.98,0.0,0,21381260,6,True,0.9871708182228423,0.01470334454432786,0.988,0.0,6713,628,32,155,0.2397845798407587,10,0.7949621647110323
correlation_blind,0.98,0.0,0,21381260,7,True,0.9855103334120932,0.014373646621306389,0.986,0.0,8178,653,32,145,0.2756994103709983,10,0.7833471296870362
correlation_blind,0.98,0.0,0,21381260,8,True,0.9855136591745,0.013856641605286903,0.986,0.0,9785,676,16,133,0.2803414806134876,12,0.7843072606497289
correlation_blind,0.98,0.0,0,21381260,9,True,0.985262682325418,0.013413609141481948,0.986,0.0,11520,695,8,133,0.2881763751041444,13,0.7857464811233147
correlation_blind,0.98,0.0,0,21381260,10,True,0.9849205306871842,0.013068983353531839,0.986,0.0,12133,703,8,122,0.27800570027182925,5,0.7887163458772356
dual_ucb,0.98,0.0,0,20381261,1,True,0.9998916376850624,0.06276907731421694,1.0,0.08,328,328,1,18721,0.0,0,1.0
dual_ucb,0.98,0.0,0,20381261,2,True,0.9988738942511082,0.026376301972316142,1.0,0.04,528,528,1,16721,0.0,0,1.0
dual_ucb,0.98,0.0,0,20381261,3,True,0.9964424248471657,0.016911182177612276,0.998,0.02,2403,535,32,935,0.29771432632671724,2,0.7773301069442586
dual_ucb,0.98,0.0,0,20381261,4,True,0.9914529739095672,0.016703869099372708,0.992,0.02,4055,549,32,235,0.2159933883081791,7,0.8051440466500075
dual_ucb,0.98,0.0,0,20381261,5,True,0.9876534282109681,0.016304524236394995,0.988,0.02,5587,569,32,169,0.1891233332811453,9,0.8199704525215948
dual_ucb,0.98,0.0,0,20381261,6,True,0.9857460407691749,0.015766897367441773,0.986,0.02,7052,594,32,145,0.20528918647150526,10,0.8112397509709793
dual_ucb,0.98,0.0,0,20381261,7,True,0.9856346176351958,0.01514397781716412,0.986,0.02,8517,619,32,145,0.2619128057178539,10,0.7873314453388411
dual_ucb,0.98,0.0,0,20381261,8,True,0.9851170876187221,0.0145696170746214,0.986,0.02,10124,642,16,133,0.274764500639289,12,0.7856550098271431
