policy,persistence,rho,delay,seed,simultaneous_coverage,largest_action_radius,final_error,median_q,initial_p_upper,final_p_upper,initial_rho_upper,final_rho_upper,random_seed,oracle_error,to_oracle
correlation_blind,0.98,0.5,2,20411237,True,0.9676909367229934,0.010731628379060302,2.0,0.9967693945447871,0.9836050663662619,0.649161317137962,0.5989175658481065,21411237,0.0012661849587895914,8.475561413491434
dual_ucb,0.98,0.5,2,20411238,True,0.966799380474977,0.05236975664033576,3.0,0.9999990230334976,0.9844683717655069,0.7339617219087422,0.6044989785571127,20411238,0.0012661849587895914,41.36027385003735
correlation_blind,0.98,0.5,2,20411238,True,0.9683196045907222,0.05134833990463657,4.0,0.9998916376850624,0.9853880170697153,0.6780795109382056,0.6112010601935498,21411238,0.0012661849587895914,40.55358543646181
dual_ucb,0.98,0.5,2,20411239,True,0.9670658314901441,0.03183481839493951,2.0,0.9998916376850624,0.9844454858128089,0.6852076324875245,0.6014510150409971,20411239,0.0012661849587895914,25.142312877710996
correlation_blind,0.98,0.5,2,20411239,True,0.9683196045907222,0.06921784296168279,4.0,0.9998916376850624,0.9865178286321614,0.627045322816508,0.5615943634015415,21411239,0.0012661849587895914,54.666454913389224
dual_ucb,0.98,0.5,2,20411240,True,0.9667983017680157,0.04930972390702612,3.0,0.9983186396695305,0.9850063794341752,0.6780795109382056,0.5720112938321753,20411240,0.0012661849587895914,38.94353946058853
correlation_blind,0.98,0.5,2,20411240,True,0.967393406585392,0.01864825185628676,3.0,0.9999990230334976,0.9833867208422444,0.649161317137962,0.590556579062814,21411240,0.0012661849587895914,14.727905055919749
dual_ucb,0.98,0.5,2,20411241,True,0.9669084808428465,0.014999409424528867,3.0,0.9924306493116266,0.9840283542662411,0.7271202828372674,0.6667366246715065,20411241,0.0012661849587895914,11.846144056921622
correlation_blind,0.98,0.5,2,20411241,True,0.9664555852967129,0.02905376531591732,3.0,0.9999990230334976,0.9841938613298213,0.6709108235462167,0.6012818684371348,21411241,0.0012661849587895914,22.945909374639267
dual_ucb,0.98,0.5,2,20411242,True,0.967393406585392,0.022677195111345666,3.0,0.9998916376850624,0.9830011046789848,0.6852076324875245,0.5869949940908057,20411242,0.0012661849587895914,17.9098598146545
correlation_blind,0.98,0.5,2,20411242,True,0.9683196045907222,0.02216875871587206,3.0,0.9947865634437878,0.9849774943642466,0.6709108235462167,0.6465843018776569,21411242,0.0012661849587895914,17.508309952650414
dual_ucb,0.98,0.5,2,20411243,True,0.9690154982658937,0.07184947499364078,4.0,1.0,0.9847472139036946,0.6564517604415314,0.5764900818488905,20411243,0.0012661849587895914,56.74484955367439
correlation_blind,0.98,0.5,2,20411243,True,0.9681300150801333,0.08230460480086685,4.0,0.9993703412465136,0.9860402470024914,0.649161317137962,0.5577330514552885,21411243,0.0012661849587895914,65.00203957528123
dual_ucb,0.98,0.5,2,20411244,True,0.9690441398613022,0.049620458244969495,2.0,0.9999990230334976,0.9855480970038817,0.6637015798253265,0.6002810784206996,20411244,0.0012661849587895914,39.18894937150741
correlation_blind,0.98,0.5,2,20411244,True,0.9683196045907222,0.05983558492782955,4.0,0.9998916376850624,0.9849978999430706,0.5893597338227852,0.5555008635904235,21411244,0.0012661849587895914,47.25659115792162
dual_ucb,0.98,0.5,2,20411245,True,0.9671420523855051,0.11715328486488191,4.0,0.9999990230334976,0.9858672364164283,0.6637015798253265,0.5633599015472133,20411245,0.0012661849587895914,92.52462213488502
correlation_blind,0.98,0.5,2,20411245,True,0.966403840865418,0.0316135683142911,3.0,0.9993703412465136,0.9857554235155395,0.6993419954966986,0.5912710444658897,21411245,0.0012661849587895914,24.96757530946511
dual_ucb,0.98,0.5,2,20411246,True,0.9687161014759882,0.04459356340901776,4.0,0.9983186396695305,0.984501018174583,0.6637015798253265,0.6198794344015532,20411246,0.0012661849587895914,35.21883836911706
correlation_blind,0.98,0.5,2,20411246,True,0.9681300150801333,0.046693632090379446,3.0,0.9998916376850624,0.9850229557574206,0.6852076324875245,0.5848236978932051,21411246,0.0012661849587895914,36.87741807880595
dual_ucb,0.98,0.5,2,20411247,True,0.9690441398613022,0.0740884419500055,4.0,0.9999990230334976,0.9856477101151957,0.7063480729282505,0.5799746097601284,20411247,0.0012661849587895914,58.51312751403262
correlation_blind,0.98,0.5,2,20411247,True,0.9676909367229934,0.01975799662869103,4.0,0.9967693945447871,0.9851628456380532,0.7271202828372674,0.6340810597284643,21411247,0.0012661849587895914,15.604352659171273
dual_ucb,0.98,0.5,2,20411248,True,0.966784839937168,0.04546460947208793,2.0,0.9993703412465136,0.9842223803591428,0.5969804851476164,0.5528900603233251,20411248,0.0012661849587895914,35.90676793029495
correlation_blind,0.98,0.5,2,20411248,True,0.9676909367229934,0.021668880923137956,3.0,0.9967693945447871,0.9839521963222586,0.6637015798253265,0.6128570944088372,21411248,0.0012661849587895914,17.113519452839107
dual_ucb,0.98,0.5,2,20411249,True,0.9690441398613022,0.06364219649177141,4.0,0.9998916376850624,0.9842521116869025,0.7133132558868878,0.6065006960537087,20411249,0.0012661849587895914,50.26295412054975
correlation_blind,0.98,0.5,2,20411249,True,0.966403840865418,0.026685134352612355,4.0,0.9983186396695305,0.9836729830434581,0.6344582199550199,0.5804124989922581,21411249,0.0012661849587895914,21.07522614873106
dual_ucb,0.98,0.5,2,20411250,True,0.968920067867903,0.1313243458216647,4.0,0.9998916376850624,0.9876942726296789,0.6993419954966986,0.5714966063267404,20411250,0.0012661849587895914,103.71655808263912
correlation_blind,0.98,0.5,2,20411250,True,0.9683196045907222,0.07980071383580753,4.0,0.9998916376850624,0.9869900065620718,0.6993419954966986,0.5797575191585167,21411250,0.0012661849587895914,63.024531512436354
dual_ucb,0.98,0.5,2,20411251,True,0.968920067867903,0.2921241116657235,1.0,0.9998916376850624,0.9868612398121923,0.6344582199550199,0.5605244015416211,20411251,0.0012661849587895914,230.71203747750985
correlation_blind,0.98,0.5,2,20411251,True,0.9683196045907222,0.054669435477556524,3.0,1.0,0.985523231653489,0.6993419954966986,0.577225004398072,21411251,0.0012661849587895914,43.17650047732184
dual_ucb,0.98,0.5,2,20411252,True,0.9690154982658937,0.10415242432477709,4.0,0.9998916376850624,0.9870060530230371,0.6418301725565638,0.5790216045181786,20411252,0.0012661849587895914,82.25688008830994
correlation_blind,0.98,0.5,2,20411252,True,0.9670127151702637,0.13669317116392388,4.0,0.9993703412465136,0.9862621732609407,0.6709108235462167,0.5847677237467146,21411252,0.0012661849587895914,107.95671691961624
