scenario_id,task,ray,budget,budget_index,message_budget,environment_budget,delay,rho,q,normalized_step,step_size,updates,spectral_radius,bias_risk,noise_risk,risk
cliffwalking-environment-B2-D1-R0,cliffwalking,environment,256,2,1000000,256,1,0.0,4,0.04,0.043894629218423964,255,0.9955849425774752,1224.3090759841386,12862.036260647137,14086.345336631275
cliffwalking-environment-B2-D1-R0,cliffwalking,environment,256,2,1000000,256,1,0.0,4,0.08,0.08778925843684793,255,0.9911301972176411,124.35456059172813,27322.234760329404,27446.58932092113
cliffwalking-environment-B2-D1-R0,cliffwalking,environment,256,2,1000000,256,1,0.0,4,0.12,0.1316838876552719,255,0.9866346739891829,12.24168428241137,39470.54579361272,39482.78747789513
cliffwalking-environment-B2-D1-R0,cliffwalking,environment,256,2,1000000,256,1,0.0,16,0.04,0.043894629218423964,255,0.9955849425774752,1224.3090759841386,3215.5090651617843,4439.818141145923
cliffwalking-environment-B2-D1-R0,cliffwalking,environment,256,2,1000000,256,1,0.0,16,0.08,0.08778925843684793,255,0.9911301972176411,124.35456059172813,6830.558690082351,6954.913250674079
cliffwalking-environment-B2-D1-R0,cliffwalking,environment,256,2,1000000,256,1,0.0,16,0.12,0.1316838876552719,255,0.9866346739891829,12.24168428241137,9867.63644840318,9879.878132685591
cliffwalking-environment-B0-D1-R0.1,cliffwalking,environment,64,0,1000000,64,1,0.1,1,0.04,0.043894629218423964,63,0.9955849425774752,6696.013655634977,20448.924881169212,27144.93853680419
cliffwalking-environment-B0-D1-R0.1,cliffwalking,environment,64,0,1000000,64,1,0.1,1,0.08,0.08778925843684793,63,0.9911301972176411,3806.008669119828,64282.83770382939,68088.84637294922
cliffwalking-environment-B0-D1-R0.1,cliffwalking,environment,64,0,1000000,64,1,0.1,1,0.12,0.1316838876552719,63,0.9866346739891829,2146.8095440681645,115440.22582599604,117587.0353700642
cliffwalking-environment-B0-D1-R0.1,cliffwalking,environment,64,0,1000000,64,1,0.1,4,0.04,0.043894629218423964,63,0.9955849425774752,6696.013655634977,6645.900586379994,13341.914242014971
cliffwalking-environment-B0-D1-R0.1,cliffwalking,environment,64,0,1000000,64,1,0.1,4,0.08,0.08778925843684793,63,0.9911301972176411,3806.008669119828,20891.922253744553,24697.93092286438
cliffwalking-environment-B0-D1-R0.1,cliffwalking,environment,64,0,1000000,64,1,0.1,4,0.12,0.1316838876552719,63,0.9866346739891829,2146.8095440681645,37518.073393448714,39664.88293751688
cliffwalking-environment-B0-D1-R0.1,cliffwalking,environment,64,0,1000000,64,1,0.1,16,0.04,0.043894629218423964,63,0.9955849425774752,6696.013655634977,3195.1445126826893,9891.158168317666
cliffwalking-environment-B0-D1-R0.1,cliffwalking,environment,64,0,1000000,64,1,0.1,16,0.08,0.08778925843684793,63,0.9911301972176411,3806.008669119828,10044.193391223342,13850.20206034317
cliffwalking-environment-B0-D1-R0.1,cliffwalking,environment,64,0,1000000,64,1,0.1,16,0.12,0.1316838876552719,63,0.9866346739891829,2146.8095440681645,18037.535285311882,20184.344829380047
cliffwalking-environment-B1-D1-R0.1,cliffwalking,environment,128,1,1000000,128,1,0.1,1,0.04,0.043894629218423964,127,0.9955849425774752,3800.504433051913,36816.504187935934,40617.00862098785
cliffwalking-environment-B1-D1-R0.1,cliffwalking,environment,128,1,1000000,128,1,0.1,1,0.08,0.08778925843684793,127,0.9911301972176411,1216.7473840272567,95864.01504437742,97080.76242840468
cliffwalking-environment-B1-D1-R0.1,cliffwalking,environment,128,1,1000000,128,1,0.1,1,0.12,0.1316838876552719,127,0.9866346739891829,383.53888656912625,150427.13167340448,150810.6705599736
cliffwalking-environment-B1-D1-R0.1,cliffwalking,environment,128,1,1000000,128,1,0.1,4,0.04,0.043894629218423964,127,0.9955849425774752,3800.504433051913,11965.363861079179,15765.86829413109
cliffwalking-environment-B1-D1-R0.1,cliffwalking,environment,128,1,1000000,128,1,0.1,4,0.08,0.08778925843684793,127,0.9911301972176411,1216.7473840272567,31155.804889422663,32372.55227344992
cliffwalking-environment-B1-D1-R0.1,cliffwalking,environment,128,1,1000000,128,1,0.1,4,0.12,0.1316838876552719,127,0.9866346739891829,383.53888656912625,48888.817793856455,49272.35668042558
cliffwalking-environment-B1-D1-R0.1,cliffwalking,environment,128,1,1000000,128,1,0.1,16,0.04,0.043894629218423964,127,0.9955849425774752,3800.504433051913,5752.57877936499,9553.083212416903
cliffwalking-environment-B1-D1-R0.1,cliffwalking,environment,128,1,1000000,128,1,0.1,16,0.08,0.08778925843684793,127,0.9911301972176411,1216.7473840272567,14978.752350683972,16195.499734711228
cliffwalking-environment-B1-D1-R0.1,cliffwalking,environment,128,1,1000000,128,1,0.1,16,0.12,0.1316838876552719,127,0.9866346739891829,383.53888656912625,23504.23932396945,23887.778210538578
cliffwalking-environment-B2-D1-R0.1,cliffwalking,environment,256,2,1000000,256,1,0.1,1,0.04,0.043894629218423964,255,0.9955849425774752,1224.3090759841386,51448.14504258855,52672.454118572685
cliffwalking-environment-B2-D1-R0.1,cliffwalking,environment,256,2,1000000,256,1,0.1,1,0.08,0.08778925843684793,255,0.9911301972176411,124.35456059172813,109288.93904131762,109413.29360190935
cliffwalking-environment-B2-D1-R0.1,cliffwalking,environment,256,2,1000000,256,1,0.1,1,0.12,0.1316838876552719,255,0.9866346739891829,12.24168428241137,157882.18317445088,157894.42485873328
cliffwalking-environment-B2-D1-R0.1,cliffwalking,environment,256,2,1000000,256,1,0.1,4,0.04,0.043894629218423964,255,0.9955849425774752,1224.3090759841386,16720.64713884128,17944.95621482542
cliffwalking-environment-B2-D1-R0.1,cliffwalking,environment,256,2,1000000,256,1,0.1,4,0.08,0.08778925843684793,255,0.9911301972176411,124.35456059172813,35518.90518842822,35643.259749019955
cliffwalking-environment-B2-D1-R0.1,cliffwalking,environment,256,2,1000000,256,1,0.1,4,0.12,0.1316838876552719,255,0.9866346739891829,12.24168428241137,51311.709531696535,51323.951215978945
cliffwalking-environment-B2-D1-R0.1,cliffwalking,environment,256,2,1000000,256,1,0.1,16,0.04,0.043894629218423964,255,0.9955849425774752,1224.3090759841386,8038.772662904461,9263.081738888599
cliffwalking-environment-B2-D1-R0.1,cliffwalking,environment,256,2,1000000,256,1,0.1,16,0.08,0.08778925843684793,255,0.9911301972176411,124.35456059172813,17076.39672520588,17200.751285797607
cliffwalking-environment-B2-D1-R0.1,cliffwalking,environment,256,2,1000000,256,1,0.1,16,0.12,0.1316838876552719,255,0.9866346739891829,12.24168428241137,24669.09112100795,24681.33280529036
cliffwalking-environment-B0-D1-R0.9,cliffwalking,environment,64,0,1000000,64,1,0.9,1,0.04,0.043894629218423964,63,0.9955849425774752,6696.013655634977,20448.924881169212,27144.93853680419
cliffwalking-environment-B0-D1-R0.9,cliffwalking,environment,64,0,1000000,64,1,0.9,1,0.08,0.08778925843684793,63,0.9911301972176411,3806.008669119828,64282.83770382939,68088.84637294922
cliffwalking-environment-B0-D1-R0.9,cliffwalking,environment,64,0,1000000,64,1,0.9,1,0.12,0.1316838876552719,63,0.9866346739891829,2146.8095440681645,115440.22582599604,117587.0353700642
cliffwalking-environment-B0-D1-R0.9,cliffwalking,environment,64,0,1000000,64,1,0.9,4,0.04,0.043894629218423964,63,0.9955849425774752,6696.013655634977,18915.25551508152,25611.2691707165
cliffwalking-environment-B0-D1-R0.9,cliffwalking,environment,64,0,1000000,64,1,0.9,4,0.08,0.08778925843684793,63,0.9911301972176411,3806.008669119828,59461.62487604219,63267.63354516202
cliffwalking-environment-B0-D1-R0.9,cliffwalking,environment,64,0,1000000,64,1,0.9,4,0.12,0.1316838876552719,63,0.9866346739891829,2146.8095440681645,106782.20888904633,108929.0184331145
cliffwalking-environment-B0-D1-R0.9,cliffwalking,environment,64,0,1000000,64,1,0.9,16,0.04,0.043894629218423964,63,0.9955849425774752,6696.013655634977,18531.838173559598,25227.851829194573
cliffwalking-environment-B0-D1-R0.9,cliffwalking,environment,64,0,1000000,64,1,0.9,16,0.08,0.08778925843684793,63,0.9911301972176411,3806.008669119828,58256.321669095385,62062.330338215215
