persistence,policy,num_agents,rho,maximum_delay,target_fraction,gap,pair_delta,joint_delta,curvature,monotonicity,lipschitz,effective_monotonicity,effective_curvature,rms_delay,maximum_actual_delay,eta,sharp_boundary,sharp_factor,contraction,update_cost,updates,blocks,omega,initial_error,risk_surrogate,resource_budget
0.98,q32,32,0.0,0,0.1,1266,2.0401972509792026e-05,0.0006732650928231369,0.021444795539708055,0.09999999999999992,7.412688455006394,0.09001859123854217,0.09543386903046559,0.0,0,0.9432562410584426,1.886512454185532,0.9566030541766667,0.9150894032601267,1302,98,98,0.042930467462265504,16.805355696005744,0.4526562892175807,128000
0.98,joint,2,0.9,0,0.1,973,0.00022463051114961498,0.0006738915334488449,0.2157972718367169,0.09999999999999992,7.412688455006394,0.09000930402015431,0.2898551885839973,0.0,0,0.31053198836532336,0.6210639489316605,0.9859255717863932,0.9720492331023263,979,130,130,1.3050862108528714,16.805355696005744,4.924166571117317,128000
0.98,q1,1,0.9,0,0.1,924,0.0003355012384313969,0.0006710024768627938,0.22637437532646476,0.09999999999999992,7.412688455006394,0.09005213537295687,0.3001147965993133,0.0,0,0.3000589798621073,0.600117930827559,0.9863970039627498,0.972979049426689,929,137,137,1.3737749587924961,16.805355696005744,4.971616179583951,128000
0.98,q32,32,0.9,0,0.1,1266,2.0401972509792026e-05,0.0006732650928231369,0.2058812378863346,0.09999999999999992,7.412688455006394,0.09001859123854217,0.2798703113770922,0.0,0,0.3216439552437961,0.6432878914209139,0.9854166961883376,0.9710460651267384,1302,98,98,1.2406905096594731,16.805355696005744,5.377046146701118,128000
0.98,joint,4,0.0,8,0.25,924,0.0003355012384313969,0.0016775061921569844,0.06771804499779724,0.09999999999999992,7.412688455006394,0.0751303384323923,0.2520690981799185,0.0,0,0.29805454174133994,0.5961090746535436,0.988740138630636,0.9776070617393293,932,137,137,0.34344373969812403,16.805355696005744,2.1175227174641003,128000
0.98,q1,1,0.0,8,0.1,924,0.0003355012384313969,0.0006710024768627938,0.22637437532646476,0.09999999999999992,7.412688455006394,0.09005213537295687,0.3001147965993133,0.0,0,0.3000589798621073,0.600117930827559,0.9863970039627498,0.972979049426689,929,137,137,1.3737749587924961,16.805355696005744,4.971616179583951,128000
0.98,q32,32,0.0,8,0.1,1266,2.0401972509792026e-05,0.0006732650928231369,0.021444795539708055,0.09999999999999992,7.412688455006394,0.09001859123854217,0.09543386903046559,3.9764934301467165,8,0.00020595114756969375,0.00041190177463729506,0.9999907302955953,0.9999814606771179,1302,98,5,0.042930467462265504,16.805355696005744,16.80389617424575,128000
0.98,joint,2,0.9,8,0.1,973,0.00022463051114961498,0.0006738915334488449,0.2157972718367169,0.09999999999999992,7.412688455006394,0.09000930402015431,0.2898551885839973,0.0,0,0.31053198836532336,0.6210639489316605,0.9859255717863932,0.9720492331023263,979,130,130,1.3050862108528714,16.805355696005744,4.924166571117317,128000
0.98,q1,1,0.9,8,0.1,924,0.0003355012384313969,0.0006710024768627938,0.22637437532646476,0.09999999999999992,7.412688455006394,0.09005213537295687,0.3001147965993133,0.0,0,0.3000589798621073,0.600117930827559,0.9863970039627498,0.972979049426689,929,137,137,1.3737749587924961,16.805355696005744,4.971616179583951,128000
0.98,q32,32,0.9,8,0.1,1266,2.0401972509792026e-05,0.0006732650928231369,0.2058812378863346,0.09999999999999992,7.412688455006394,0.09001859123854217,0.2798703113770922,3.9764934301467165,8,0.00020586404975404612,0.0004117280326782209,0.9999907342055244,0.9999814684969038,1302,98,5,1.2406905096594731,16.805355696005744,16.8066359672634,128000
