persistence,num_agents,rho,maximum_delay,target_fraction,gap,pair_delta,joint_delta,curvature,monotonicity,lipschitz,effective_monotonicity,effective_curvature,rms_delay,maximum_actual_delay,eta,sharp_boundary,sharp_factor,contraction,update_cost,updates,blocks,omega,initial_error,risk_surrogate,resource_budget
0.0,8,0.0,8,0.5,49,0.00036671933100724,0.00330047397906516,2.3778285846336367,0.10000000000000003,7.412688455006394,0.05106922927866938,2.740537143854209,0.5,1,0.0008852959468530977,0.0017705898215933011,0.9999773942888229,0.9999547890886641,61,2098,699,0.18800203305495108,0.696136173289883,0.6777391750660531,128000
0.0,8,0.0,8,0.75,47,0.000500572545289632,0.004505152907606689,2.3778285846336367,0.10000000000000003,7.412688455006394,0.03320941010749086,2.8729264192329063,0.5,1,0.0005743604759472533,0.0011487194302973432,0.9999904629176359,0.9999809259262278,59,2169,723,0.18800203305495108,0.696136173289883,0.6898534038207524,128000
0.0,16,0.0,8,0.1,64,3.5549594395554215e-05,0.0006043431047244217,1.8972676907220358,0.10000000000000003,7.412688455006394,0.09104038568949316,1.9636825202828403,1.3693063937629153,3,0.0005972349506744247,0.0011944675693123688,0.999972813784167,0.9999456283074244,84,1523,217,0.09400101652747554,0.696136173289883,0.6885874106191529,128000
0.0,16,0.0,8,0.25,58,9.041371420756398e-05,0.0015370331415285876,1.8972676907220358,0.10000000000000003,7.412688455006394,0.0772129043536577,2.066181331542804,1.3693063937629153,3,0.0005061764270896722,0.0010123525066438178,0.9999804583204711,0.9999609170228194,78,1641,234,0.09400101652747554,0.696136173289883,0.6904148564309694,128000
0.0,16,0.0,8,0.5,53,0.00019681915438076608,0.0033459256244730232,1.8972676907220358,0.10000000000000003,7.412688455006394,0.05039539150431756,2.264971199433093,1.3693063937629153,3,0.00032993463821183856,0.0006598688264266501,0.9999916864110128,0.9999833728911413,73,1753,250,0.09400101652747554,0.696136173289883,0.6938638922631397,128000
0.0,16,0.0,8,0.75,51,0.0002686584979512118,0.004567194465170601,1.8972676907220358,0.10000000000000003,7.412688455006394,0.03228962063252161,2.3991836381434464,1.3693063937629153,3,0.00021121034118758288,0.00042241969710511533,0.9999965900566976,0.9999931801250229,71,1802,257,0.09400101652747554,0.696136173289883,0.6955319889383716,128000
0.0,32,0.0,8,0.1,68,1.9079553609862025e-05,0.0006296252691254468,1.6569876148975915,0.10000000000000003,7.412688455006394,0.09066556807314705,1.7261808506758176,3.9764934301467165,8,0.00020666014512486742,0.00041332015413031724,0.999990631522672,0.9999812631331123,104,1230,72,0.04700050826373777,0.696136173289883,0.6953048040639997,128000
0.0,32,0.0,8,0.25,62,4.85252599041608e-05,0.0016013335768373066,1.6569876148975915,0.10000000000000003,7.412688455006394,0.07625962616472803,1.832967609943848,3.9764934301467165,8,0.0001737807277387963,0.00034756081458428047,0.999993373785188,0.9999867476142829,98,1306,76,0.04700050826373777,0.696136173289883,0.6955424917537043,128000
0.0,32,0.0,8,0.5,58,9.041371420756398e-05,0.0029836525688496113,1.6569876148975915,0.10000000000000003,7.412688455006394,0.05576622609827667,1.9848788000202595,3.9764934301467165,8,0.00012703571660065783,0.0002540706022439202,0.9999964578602246,0.999992915732996,94,1361,80,0.04700050826373777,0.696136173289883,0.6958488224161546,128000
0.0,32,0.0,8,0.75,55,0.00014418966774889402,0.004758259035713502,1.6569876148975915,0.10000000000000003,7.412688455006394,0.029457016360073363,2.179900775306981,3.9764934301467165,8,6.707287125303524e-05,0.00013414572072412883,0.9999990121168177,0.9999980242346114,91,1406,82,0.04700050826373777,0.696136173289883,0.6961304183919074,128000
0.0,1,0.9,8,0.1,50,0.00031388256269316976,0.0006277651253863395,9.1057040309513,0.10000000000000003,7.412688455006394,0.09069314540518611,9.1746928445587,0.0,0,0.009885142859986436,0.01977028483497892,0.9995516421583127,0.9991034853413796,55,2327,2327,1.5040162644396087,0.696136173289883,0.2502819454564151,128000
0.0,1,0.9,8,0.25,44,0.0007983013019689016,0.0015966026039378031,9.1057040309513,0.10000000000000003,7.412688455006394,0.07632976462111424,9.28116411147165,0.0,0,0.008224158857826824,0.016448316979282458,0.9996860766852157,0.9993722519182789,49,2612,2612,1.5040162644396087,0.696136173289883,0.2970608886331594,128000
0.0,1,0.9,8,0.5,40,0.00148741867493181,0.00297483734986362,9.1057040309513,0.10000000000000003,7.412688455006394,0.05589691504228829,9.432626459647496,0.0,0,0.0059259127997207265,0.011851824151292309,0.9998343661807987,0.9996687597961594,45,2844,2844,1.5040162644396087,0.696136173289883,0.4307800506193361,128000
0.0,1,0.9,8,0.75,37,0.0023721017329521705,0.004744203465904341,9.1057040309513,0.10000000000000003,7.412688455006394,0.029665395480179185,9.627072541862816,0.0,0,0.003081455724919676,0.006162910968245684,0.9999542926576238,0.9999085874044088,42,3047,3047,1.5040162644396087,0.696136173289883,0.683121283200042,128000
0.0,2,0.9,8,0.1,53,0.00019681915438076608,0.0005904574631422982,8.721253710116782,0.10000000000000003,7.412688455006394,0.09124624555958548,8.786142564595204,0.0,0,0.010385248375917975,0.020770490551171174,0.9995260803797905,0.9990523853593875,59,2169,2169,1.4288154512176283,0.696136173289883,0.25167127322039456,128000
0.0,2,0.9,8,0.25,47,0.000500572545289632,0.0015017176358688962,8.721253710116782,0.10000000000000003,7.412688455006394,0.07773647003583031,8.886286321649871,0.0,0,0.008747914562075106,0.0174958283408981,0.9996599261910086,0.9993199680322128,53,2415,2415,1.4288154512176283,0.696136173289883,0.2954429524981861,128000
0.0,2,0.9,8,0.5,42,0.0010896826653167585,0.0032690479959502756,8.721253710116782,0.10000000000000003,7.412688455006394,0.05153513132311524,9.080508682631327,0.0,0,0.0056753575346227825,0.011350714618375293,0.999853749163229,0.9997075197157652,48,2666,2666,1.4288154512176283,0.696136173289883,0.4765053410630097,128000
0.0,2,0.9,8,0.75,40,0.00148741867493181,0.00446225602479543,8.721253710116782,0.10000000000000003,7.412688455006394,0.033845372563432424,9.211637353161077,0.0,0,0.003674197407220014,0.007348394485333398,0.9999378207795975,0.9998756454254504,46,2782,2782,1.4288154512176283,0.696136173289883,0.647646724447719,128000
0.0,4,0.9,8,0.1,56,0.0001234148815085895,0.0006170744075429475,8.529028553929468,0.10000000000000003,7.412688455006394,0.090851639326653,8.596842501475022,0.0,0,0.010568025982281588,0.02113604833659869,0.9995198235552241,0.9990398776798662,64,2000,2000,1.391215044606638,0.696136173289883,0.26376803253362063,128000
0.0,4,0.9,8,0.25,50,0.00031388256269316976,0.0015694128134658488,8.529028553929468,0.10000000000000003,7.412688455006394,0.07673286351296524,8.701500587947969,0.0,0,0.00881834876324802,0.017636696736938053,0.9996616141866369,0.9993233428782325,58,2206,2206,1.391215044606638,0.696136173289883,0.31626932616310877,128000
0.0,4,0.9,8,0.5,46,0.0005848353627195289,0.0029241768135976447,8.529028553929468,0.10000000000000003,7.412688455006394,0.056647976586894744,8.85038359738496,0.0,0,0.0064006260027850564,0.012801247756906362,0.9998186923679672,0.9996374176083918,54,2370,2370,1.391215044606638,0.696136173289883,0.45192553581130146,128000
0.0,4,0.9,8,0.75,43,0.0009326817580449679,0.0046634087902248395,8.529028553929468,0.10000000000000003,7.412688455006394,0.030863206999450027,9.041518061220811,0.0,0,0.0034135013194818604,0.006826996703532991,0.999947322859448,0.9998946484937771,51,2509,2509,1.391215044606638,0.696136173289883,0.6883018651176179,128000
