cell_id,target_heterogeneity,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,safe_dynamic_risk,common_scalar_risk,recipient_static_risk,recipient_static_alpha,static_to_scalar_ratio,dynamic_to_static_ratio
H0.2-I1.5-N0.5-S0.9-T0-D1,0.2,1.5,0.5,0.9,0.0,1,0.009955257952568077,0.010195982694429614,0.009842292492620943,"[0.0,0.25,0.25,0.0]",0.9653108275672239,1.0114775556641735
H0.2-I1.5-N0.5-S0.9-T0-D3,0.2,1.5,0.5,0.9,0.0,3,0.009125738303652854,0.009515982262950636,0.009038283118648745,"[0.1,0.25,0.25,0.1]",0.94980033262969,1.0096760838154828
H0.2-I1.5-N0.5-S0.9-T0.6-D0,0.2,1.5,0.5,0.9,0.6,0,0.03199066872844106,0.03299179345519535,0.03282273420053089,"[0.0,0.1,0.1,0.0]",0.9948757179601632,0.9746497209218976
H0.2-I1.5-N0.5-S0.9-T0.6-D1,0.2,1.5,0.5,0.9,0.6,1,0.03023415997602373,0.03132101789821526,0.03031454370314837,"[0.1,0.25,0.25,0.1]",0.9678658529445736,0.997348344480729
H0.2-I1.5-N0.5-S0.9-T0.6-D3,0.2,1.5,0.5,0.9,0.6,3,0.025270975794698967,0.02722061778112058,0.02548729773954306,"[0.1,0.5,0.5,0.1]",0.9363232658599064,0.9915125586456945
H0.2-I1.5-N0.5-S0.9-T0.9-D0,0.2,1.5,0.5,0.9,0.9,0,0.06728103462435728,0.07303938590795961,0.0725794841314957,"[0.0,0.25,0.25,0.0]",0.9937033729028959,0.9269979723534687
H0.2-I1.5-N0.5-S0.9-T0.9-D1,0.2,1.5,0.5,0.9,0.9,1,0.06327018004960938,0.06624632135921285,0.06477149353088746,"[0.1,0.5,0.5,0.1]",0.9777372116962041,0.9768213854670165
H0.2-I1.5-N0.5-S0.9-T0.9-D3,0.2,1.5,0.5,0.9,0.9,3,0.049213496950768855,0.05525061927064767,0.05086297143254434,"[0.25,0.5,0.5,0.25]",0.920586449599592,0.9675702296716373
H0.2-I1.5-N1-S0-T0-D0,0.2,1.5,1.0,0.0,0.0,0,0.015347397366531727,0.017855129491680104,0.015310287668401524,"[0.1,0.5,0.5,0.1]",0.8574727881719149,1.002423840683725
H0.2-I1.5-N1-S0-T0-D1,0.2,1.5,1.0,0.0,0.0,1,0.014833189007481505,0.01718127494524655,0.01469582289791431,"[0.1,0.5,0.5,0.1]",0.8553394870140368,1.0093472893979072
H0.2-I1.5-N1-S0-T0-D3,0.2,1.5,1.0,0.0,0.0,3,0.013973903624856492,0.016359593077721547,0.013898837280037117,"[0.1,0.5,0.5,0.1]",0.8495833126170186,1.0054009082419573
H0.2-I1.5-N1-S0-T0.6-D0,0.2,1.5,1.0,0.0,0.6,0,0.03793140933593278,0.0438632205990587,0.038666759050027186,"[0.25,0.75,0.75,0.25]",0.8815303236273756,0.9809823804176863
H0.2-I1.5-N1-S0-T0.6-D1,0.2,1.5,1.0,0.0,0.6,1,0.036376214821592256,0.040922936216890235,0.03645075354740116,"[0.25,0.75,0.75,0.25]",0.8907169650343111,0.9979550840914174
H0.2-I1.5-N1-S0-T0.6-D3,0.2,1.5,1.0,0.0,0.6,3,0.03282646047666067,0.036806837480504874,0.03319733147904119,"[0.25,0.75,0.75,0.25]",0.9019338185907579,0.9888282887251143
H0.2-I1.5-N1-S0-T0.9-D0,0.2,1.5,1.0,0.0,0.9,0,0.06549012911772475,0.07441139511970302,0.0689702319864208,"[0.5,1.0,1.0,0.5]",0.9268772864084969,0.9495419579075619
