cell_id,task,delay,message_overhead,rho,oracle_active,controller_mean_risk,strong_fixed_mean_risk,true_rho_oracle_mean_risk,controller_to_strong_ratio,controller_to_oracle_ratio,median_selected_q
frozenlake8x8-D0-H32-R0.3,frozenlake8x8,0,32,0.3,False,0.00012703437582417976,0.00024294476753136898,0.00024294476753136898,0.5228940598927577,0.5228940598927577,16.0
frozenlake8x8-D0-H32-R0.5,frozenlake8x8,0,32,0.5,True,0.0004991613051025158,0.0003202045715706871,0.0004681862931828622,1.5588825064364296,1.0661595872640284,4.0
frozenlake8x8-D0-H32-R0.7,frozenlake8x8,0,32,0.7,True,0.00023196849066876884,0.0007552518854999373,0.00022070570886320177,0.3071405647868298,1.0510307679107114,4.0
frozenlake8x8-D0-H32-R0.9,frozenlake8x8,0,32,0.9,True,0.0006055589726747196,0.0006424110878366552,0.000600966685417279,0.9426346838345574,1.007641500550487,1.0
frozenlake8x8-D0-H32-R1,frozenlake8x8,0,32,1.0,True,0.0002606490406129456,0.0006167471472248766,0.0002713878592846144,0.42261896432884266,0.9604299960212789,1.0
frozenlake8x8-D0-H8-R0,frozenlake8x8,0,8,0.0,True,4.225901412450278e-05,4.3600969172971954e-05,4.270956927012789e-05,0.9692218986429997,0.9894507213880932,16.0
frozenlake8x8-D0-H8-R0.1,frozenlake8x8,0,8,0.1,True,6.40111976067447e-05,8.6128660358862e-05,7.71887948569884e-05,0.7432043798201072,0.8292809561976126,16.0
frozenlake8x8-D0-H8-R0.3,frozenlake8x8,0,8,0.3,False,0.00015085973547662132,0.00015905757220905574,0.00015905757220905574,0.9484599405197781,0.9484599405197781,4.0
frozenlake8x8-D0-H8-R0.5,frozenlake8x8,0,8,0.5,False,0.00024289878626116053,0.00024033986787075633,0.00024033986787075633,1.0106470824548355,1.0106470824548355,4.0
frozenlake8x8-D0-H8-R0.7,frozenlake8x8,0,8,0.7,True,0.00037659150992401167,0.00033671186009617246,0.00036696185237599386,1.1184385064917186,1.0262415765717008,1.0
frozenlake8x8-D0-H8-R0.9,frozenlake8x8,0,8,0.9,True,0.00022789567127054323,0.00019141564970886224,0.00024955835054114655,1.1905801412641341,0.9131959350443309,1.0
frozenlake8x8-D0-H8-R1,frozenlake8x8,0,8,1.0,True,9.05045105605401e-05,0.00025113526664646894,9.768853330036293e-05,0.360381525737467,0.9264599180977146,1.0
frozenlake8x8-D8-H32-R0,frozenlake8x8,8,32,0.0,False,3.022109743400268e-05,2.8801127451094994e-05,2.8801127451094994e-05,1.049302583217231,1.049302583217231,16.0
frozenlake8x8-D8-H32-R0.1,frozenlake8x8,8,32,0.1,False,7.423221150705219e-05,7.110890084593884e-05,7.110890084593884e-05,1.0439229213777352,1.0439229213777352,16.0
frozenlake8x8-D8-H32-R0.3,frozenlake8x8,8,32,0.3,False,0.00033352440375662663,0.00019229226541514228,0.00019229226541514228,1.734466038124708,1.734466038124708,16.0
frozenlake8x8-D8-H32-R0.5,frozenlake8x8,8,32,0.5,True,0.00023017860646335267,0.00024309069344570654,0.00023463878468009552,0.9468836638732213,0.980991300211413,4.0
frozenlake8x8-D8-H32-R0.7,frozenlake8x8,8,32,0.7,True,0.00012730536717786114,0.0003568022034831302,0.00014475876180375407,0.3567953502951957,0.8794311694268698,4.0
frozenlake8x8-D8-H32-R0.9,frozenlake8x8,8,32,0.9,True,0.0005617286429723926,0.0005651958251067484,0.00049360732735139,0.9938655206207495,1.138007099664686,4.0
frozenlake8x8-D8-H32-R1,frozenlake8x8,8,32,1.0,True,0.0004515464514143009,0.0003949647710735491,0.0004839914584016977,1.1432575370885807,0.9329636785439538,1.0
frozenlake8x8-D8-H8-R0,frozenlake8x8,8,8,0.0,True,3.8097107173050624e-05,4.5745612755825934e-05,3.8180748796640955e-05,0.8328035166213565,0.9978093246930325,16.0
frozenlake8x8-D8-H8-R0.1,frozenlake8x8,8,8,0.1,True,8.16142289725657e-05,0.00011445729702327003,9.208844040747206e-05,0.7130539606921953,0.8862592157217544,16.0
frozenlake8x8-D8-H8-R0.3,frozenlake8x8,8,8,0.3,False,0.00020698059176328228,0.0002040904874711075,0.0002040904874711075,1.0141608966100584,1.0141608966100584,4.0
frozenlake8x8-D8-H8-R0.5,frozenlake8x8,8,8,0.5,False,0.00034000918250384673,0.00033691933142369364,0.00033691933142369364,1.0091708928279555,1.0091708928279555,4.0
frozenlake8x8-D8-H8-R0.7,frozenlake8x8,8,8,0.7,True,9.468906694973558e-05,0.00026912687156353116,9.301891550833792e-05,0.3518380249420129,1.0179549657429403,1.0
frozenlake8x8-D8-H8-R0.9,frozenlake8x8,8,8,0.9,True,4.9754570877866164e-05,0.0004361385859722317,5.053093631923067e-05,0.1140797271283719,0.9846358389945559,1.0
frozenlake8x8-D8-H8-R1,frozenlake8x8,8,8,1.0,True,0.00019372630435939182,0.0003413747944505216,0.0001821703957661941,0.567488600531315,1.063434613207017,1.0
taxi-D0-H32-R0,taxi,0,32,0.0,False,0.10616367245916776,0.10654353307142328,0.10654353307142328,0.9964346910478286,0.9964346910478286,16.0
taxi-D0-H32-R0.1,taxi,0,32,0.1,False,0.14178843395197388,0.13811030437512378,0.13811030437512378,1.0266318258691247,1.0266318258691247,16.0
taxi-D0-H32-R0.3,taxi,0,32,0.3,False,0.31269243101911814,0.34484806960021736,0.34484806960021736,0.9067541870877304,0.9067541870877304,16.0
taxi-D0-H32-R0.5,taxi,0,32,0.5,True,0.6363775335660964,0.5111338145596804,0.6058545180537993,1.2450311746921068,1.050380107109454,4.0
taxi-D0-H32-R0.7,taxi,0,32,0.7,True,0.39649299136816496,0.5264417998021154,0.38618785036838327,0.7531563631862117,1.0266842703361891,4.0
taxi-D0-H32-R0.9,taxi,0,32,0.9,True,0.6207782069586373,0.5836095765033958,0.7540361978829809,1.0636874923779205,0.8232737482650349,2.5
taxi-D0-H32-R1,taxi,0,32,1.0,True,0.8342779356391696,0.9337476584034459,0.8191391891787845,0.8934725866575634,1.0184812870149238,1.0
taxi-D0-H8-R0,taxi,0,8,0.0,True,0.05148419503348664,0.1163148839295424,0.05361724848998366,0.4426277471477608,0.9602170287254577,16.0
taxi-D0-H8-R0.1,taxi,0,8,0.1,True,0.21279515287207437,0.11055826144955694,0.2596753746194181,1.924733168576134,0.819466047498529,16.0
taxi-D0-H8-R0.3,taxi,0,8,0.3,False,0.2921553183155523,0.2825770362401904,0.2825770362401904,1.0338961799684967,1.0338961799684967,4.0
taxi-D0-H8-R0.5,taxi,0,8,0.5,False,0.3401378655769347,0.3265287886040195,0.3265287886040195,1.041678030997196,1.041678030997196,4.0
taxi-D0-H8-R0.7,taxi,0,8,0.7,True,0.27446434413927623,0.19573135674107883,0.27003740695986705,1.402250251104878,1.0163937923610231,1.0
taxi-D0-H8-R0.9,taxi,0,8,0.9,True,0.2876994584910434,0.3545710938840184,0.297037461856997,0.8114013337622807,0.968562876522123,1.0
taxi-D0-H8-R1,taxi,0,8,1.0,True,0.330984857170858,0.5297693045587792,0.3174803884050285,0.6247716776390437,1.0425363873141074,1.0
taxi-D8-H32-R0,taxi,8,32,0.0,False,0.05879428630873999,0.05839840384630767,0.05839840384630767,1.0067789945676289,1.0067789945676289,16.0
taxi-D8-H32-R0.1,taxi,8,32,0.1,False,0.18291873192904007,0.18548764470993506,0.18548764470993506,0.9861504911288714,0.9861504911288714,16.0
taxi-D8-H32-R0.3,taxi,8,32,0.3,False,0.35876653590880303,0.3547021341469867,0.3547021341469867,1.0114586335139784,1.0114586335139784,16.0
taxi-D8-H32-R0.5,taxi,8,32,0.5,True,0.4268879049500156,0.6725747549862489,0.43529054210846907,0.6347069999062684,0.980696485805199,4.0
