seed,rho,delay,num_agents,updates,teacher_mse,maximum_loss,finite
20270708,0.25,8,1,984,0.2227012515068054,5.551544189453125,True
20270708,0.25,8,4,941,0.0878185033798217,4.880909442901611,True
20270708,0.25,8,16,800,0.073535718023777,2.762376070022583,True
20270708,0.25,8,32,666,0.0928585678339004,4.013195514678955,True
20270708,0.5,0,1,984,0.0281700063496828,5.579715251922607,True
20270708,0.5,0,4,941,0.1341013014316558,4.962762832641602,True
20270708,0.5,0,16,800,0.1195526123046875,3.759176731109619,True
20270708,0.5,0,32,666,0.2213497906923294,4.57329797744751,True
20270708,0.5,8,1,984,0.0398345589637756,5.578949451446533,True
20270708,0.5,8,4,941,0.082580953836441,5.058599948883057,True
20270708,0.5,8,16,800,0.1011478751897811,3.8426144123077393,True
20270708,0.5,8,32,666,0.1134522259235382,4.635112762451172,True
20270708,0.9,0,1,984,0.0843238160014152,6.00938081741333,True
20270708,0.9,0,4,941,0.0989692732691764,6.444880962371826,True
20270708,0.9,0,16,800,0.3749608993530273,5.669736862182617,True
20270708,0.9,0,32,666,0.3076091706752777,5.662358283996582,True
20270708,0.9,8,1,984,0.0690593495965004,6.094771385192871,True
20270708,0.9,8,4,941,0.0467936769127845,6.549341201782227,True
20270708,0.9,8,16,800,0.2942257821559906,5.777017593383789,True
20270708,0.9,8,32,666,0.1314225494861602,5.781403541564941,True
20270709,0.0,0,1,984,0.1328954845666885,5.030633926391602,True
20270709,0.0,0,4,941,0.0353308320045471,2.571542501449585,True
20270709,0.0,0,16,800,0.0070555051788687,1.236828327178955,True
20270709,0.0,0,32,666,0.0035323603078722,0.9140440821647644,True
20270709,0.0,8,1,984,0.2031030356884002,5.485718250274658,True
20270709,0.0,8,4,941,0.0251746196299791,2.636887311935425,True
20270709,0.0,8,16,800,0.009912802837789,1.2400527000427246,True
20270709,0.0,8,32,666,0.0026355586014688,0.9164916276931764,True
20270709,0.25,0,1,984,0.0957029536366462,6.537464618682861,True
20270709,0.25,0,4,941,0.0335582382977008,3.3828840255737305,True
20270709,0.25,0,16,800,0.0565651878714561,3.1033313274383545,True
20270709,0.25,0,32,666,0.0479454435408115,2.2767136096954346,True
20270709,0.25,8,1,984,0.1093237996101379,6.352680206298828,True
20270709,0.25,8,4,941,0.0126627124845981,3.984912157058716,True
20270709,0.25,8,16,800,0.0184569712728261,3.0181479454040527,True
20270709,0.25,8,32,666,0.0541288331151008,2.4651284217834477,True
