cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,mean_continuous_auc,mean_strong_static_auc,continuous_to_static_ratio
Falternating-H0.3-I1.5-N0.1-S0-T0-D1,alternating,0.3,1.5,0.1,0.0,0.0,1,0.08031691856498432,0.08970722497242772,0.8953227411690687
Falternating-H0.3-I1.5-N0.1-S0-T0-D3,alternating,0.3,1.5,0.1,0.0,0.0,3,0.08183079787058459,0.09103283062484549,0.8989152299110272
Falternating-H0.3-I1.5-N0.1-S0-T0.9-D0,alternating,0.3,1.5,0.1,0.0,0.9,0,0.10224485618537033,0.1054459293132963,0.969642515848904
Falternating-H0.3-I1.5-N0.1-S0-T0.9-D1,alternating,0.3,1.5,0.1,0.0,0.9,1,0.11342954427320226,0.1174774098964555,0.9655434553177413
Falternating-H0.3-I1.5-N0.1-S0-T0.9-D3,alternating,0.3,1.5,0.1,0.0,0.9,3,0.10923909473745978,0.11371768818514254,0.9606165626547806
Falternating-H0.3-I1.5-N0.1-S0.9-T0-D0,alternating,0.3,1.5,0.1,0.9,0.0,0,0.07823567710684318,0.08710864944242153,0.898139020724419
Falternating-H0.3-I1.5-N0.1-S0.9-T0-D1,alternating,0.3,1.5,0.1,0.9,0.0,1,0.08075957523810584,0.0893997136295632,0.903353847113441
Falternating-H0.3-I1.5-N0.1-S0.9-T0-D3,alternating,0.3,1.5,0.1,0.9,0.0,3,0.0805322343235697,0.08956911846419444,0.8991071443419726
Falternating-H0.3-I1.5-N0.1-S0.9-T0.9-D0,alternating,0.3,1.5,0.1,0.9,0.9,0,0.1069868959004468,0.11165869302084772,0.9581600232457615
Falternating-H0.3-I1.5-N0.1-S0.9-T0.9-D1,alternating,0.3,1.5,0.1,0.9,0.9,1,0.11259274148284429,0.11625365155948213,0.9685092895790486
Falternating-H0.3-I1.5-N0.1-S0.9-T0.9-D3,alternating,0.3,1.5,0.1,0.9,0.9,3,0.10675649470978701,0.11397899068316883,0.9366330941334756
Falternating-H0.3-I1.5-N0.5-S0-T0-D0,alternating,0.3,1.5,0.5,0.0,0.0,0,0.08721073535158727,0.09243150797821686,0.9435173920579121
Falternating-H0.3-I1.5-N0.5-S0-T0-D1,alternating,0.3,1.5,0.5,0.0,0.0,1,0.09206353233039688,0.09806770729943357,0.9387752081253014
Falternating-H0.3-I1.5-N0.5-S0-T0-D3,alternating,0.3,1.5,0.5,0.0,0.0,3,0.09421649648917274,0.09838324207537374,0.957647811778669
Falternating-H0.3-I1.5-N0.5-S0-T0.9-D0,alternating,0.3,1.5,0.5,0.0,0.9,0,0.21991740189311826,0.1908618980203321,1.1522331286346683
Falternating-H0.3-I1.5-N0.5-S0-T0.9-D1,alternating,0.3,1.5,0.5,0.0,0.9,1,0.22614616292226875,0.22268691591375978,1.0155341277879506
Falternating-H0.3-I1.5-N0.5-S0-T0.9-D3,alternating,0.3,1.5,0.5,0.0,0.9,3,0.2233164766357072,0.21456482239448282,1.0407879266673743
Falternating-H0.3-I1.5-N0.5-S0.9-T0-D0,alternating,0.3,1.5,0.5,0.9,0.0,0,0.09036290456360234,0.09270731785815808,0.9747116694914776
Falternating-H0.3-I1.5-N0.5-S0.9-T0-D1,alternating,0.3,1.5,0.5,0.9,0.0,1,0.09395206533052977,0.09820569594170545,0.9566865183288288
Falternating-H0.3-I1.5-N0.5-S0.9-T0-D3,alternating,0.3,1.5,0.5,0.9,0.0,3,0.09224128260790673,0.09658804642347606,0.9549968761505789
Falternating-H0.3-I1.5-N0.5-S0.9-T0.9-D0,alternating,0.3,1.5,0.5,0.9,0.9,0,0.22820701524485226,0.21108621605832797,1.0811080870472065
Falternating-H0.3-I1.5-N0.5-S0.9-T0.9-D1,alternating,0.3,1.5,0.5,0.9,0.9,1,0.24864401236341693,0.241277971530622,1.030529272051096
Falternating-H0.3-I1.5-N0.5-S0.9-T0.9-D3,alternating,0.3,1.5,0.5,0.9,0.9,3,0.22644761191285084,0.22525588888033604,1.0052905299765453
Falternating-H0.6-I0.5-N0.1-S0-T0-D0,alternating,0.6,0.5,0.1,0.0,0.0,0,0.02378000115088509,0.06681248055743044,0.35592154268908427
