cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,seed,strong_static_auc,continuous_auc,continuous_terminal,learning_transitions,extra_probe_transitions,fingerprint_reused_transitions,message_units,qp_iterations,mean_iterations_per_recipient_decision,mean_debt,max_debt,rollback_rate,accepted_nonlocal_rate
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D1,alternating,0.1,0.5,0.5,0.9,0.0,1,3490259395,0.015961740748404073,0.01672881528990472,0.002871602601282144,240,0,30,11,765,31.875,0.0043669139222890065,0.02746226279088821,0.6666666666666666,0.3333333333333333
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D1,alternating,0.1,0.5,0.5,0.9,0.0,1,3512698917,0.029393104219012135,0.030007802739635676,0.009867139028429017,240,0,30,12,914,38.083333333333336,0.0305789907302521,0.10463257458640746,0.8333333333333334,0.16666666666666666
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D1,alternating,0.1,0.5,0.5,0.9,0.0,1,2341267830,0.022112949679266136,0.022718602800290814,0.005444824371607322,240,0,30,12,845,35.208333333333336,0.025846795081009483,0.08501109947461062,0.875,0.125
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D1,alternating,0.1,0.5,0.5,0.9,0.0,1,2814696786,0.011781238882000543,0.011612363650461435,0.04263966492306003,240,0,30,12,830,34.583333333333336,0.0056449744233147935,0.05814419837953766,0.8333333333333334,0.16666666666666666
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D1,alternating,0.1,0.5,0.5,0.9,0.0,1,748652165,0.025868350332143648,0.026669550133391767,0.0004438603458576211,240,0,30,12,820,34.166666666666664,0.02093524157024759,0.059283144585705605,0.9583333333333334,0.041666666666666664
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D1,alternating,0.1,0.5,0.5,0.9,0.0,1,4244158386,0.020445202666285345,0.02088559264460031,0.006126428984488717,240,0,30,12,778,32.416666666666664,0.03052338721286567,0.07804583295689926,0.9166666666666666,0.08333333333333333
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D1,alternating,0.1,0.5,0.5,0.9,0.0,1,3723470981,0.018406317324997177,0.01808869450839389,0.005876765345856318,240,0,30,12,675,28.125,0.05112893343487752,0.17905720065248118,0.9583333333333334,0.041666666666666664
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D3,alternating,0.1,0.5,0.5,0.9,0.0,3,1808804502,0.02463444568463093,0.025249775367596237,0.006370940943253026,240,0,30,11,669,27.875,0.044841766559116945,0.09651325146947953,0.9166666666666666,0.08333333333333333
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D3,alternating,0.1,0.5,0.5,0.9,0.0,3,2863024076,0.015024043807523693,0.015024043807523693,0.003722822938261601,240,0,30,10,575,23.958333333333332,0.030929966464862176,0.10563310572830911,1.0,0.0
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D3,alternating,0.1,0.5,0.5,0.9,0.0,3,2950424385,0.0220522259757521,0.021824584592849142,0.00033885675965429656,240,0,30,12,714,29.75,0.02808871190126654,0.05220776042076971,0.9583333333333334,0.041666666666666664
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D3,alternating,0.1,0.5,0.5,0.9,0.0,3,3476054506,0.01519004486495495,0.015036150663554593,0.006545595837464145,240,0,30,11,704,29.333333333333332,0.01642456395955129,0.05871736189783016,0.9166666666666666,0.08333333333333333
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D3,alternating,0.1,0.5,0.5,0.9,0.0,3,859049474,0.023433396904875673,0.023770074065122115,0.007280173942591147,240,0,30,12,826,34.416666666666664,0.014704278622875834,0.05784636452036663,0.8333333333333334,0.16666666666666666
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D3,alternating,0.1,0.5,0.5,0.9,0.0,3,2088432960,0.0271182902023558,0.0271182902023558,0.014819326811901071,240,0,30,12,519,21.625,0.15784222166811704,0.3752943075081845,1.0,0.0
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D3,alternating,0.1,0.5,0.5,0.9,0.0,3,4057090488,0.010816562898985667,0.010816562898985667,0.002321480230307284,240,0,30,12,654,27.25,0.018364334902796656,0.06857096232005959,1.0,0.0
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D3,alternating,0.1,0.5,0.5,0.9,0.0,3,4197492090,0.023935791001088527,0.023336193124694187,0.007332780791834264,240,0,30,12,612,25.5,0.020006165678546656,0.042804643846730855,0.8333333333333334,0.16666666666666666
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D3,alternating,0.1,0.5,0.5,0.9,0.0,3,3445129534,0.0334561852138871,0.03345894434692195,0.019267490682909744,240,0,30,12,631,26.291666666666668,0.05586370160393175,0.10247405681311858,0.9583333333333334,0.041666666666666664
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D3,alternating,0.1,0.5,0.5,0.9,0.0,3,1554091691,0.02697672176055535,0.026907254608690714,0.01292333205219265,240,0,30,12,662,27.583333333333332,0.019603337482118732,0.04821269495069545,0.9166666666666666,0.08333333333333333
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D3,alternating,0.1,0.5,0.5,0.9,0.0,3,1360135080,0.014445193044698823,0.014643801286861838,0.058704828975415534,240,0,30,12,765,31.875,0.03865157867504847,0.09256999547216246,0.9583333333333334,0.041666666666666664
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D3,alternating,0.1,0.5,0.5,0.9,0.0,3,2498757706,0.028110254309737046,0.027596698057419166,0.0016889951497178514,240,0,30,11,734,30.583333333333332,0.040538390489826874,0.2286008483496736,0.9166666666666666,0.08333333333333333
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D3,alternating,0.1,0.5,0.5,0.9,0.0,3,1598408979,0.01737200788286741,0.01737200788286741,0.025143564581984246,240,0,30,12,705,29.375,0.05613545115491814,0.09892146986317721,1.0,0.0
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D3,alternating,0.1,0.5,0.5,0.9,0.0,3,2984591295,0.014827434662639,0.014486922554694609,0.005030086821868355,240,0,30,11,755,31.458333333333332,0.022456642689022654,0.07794810477038493,0.875,0.125
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D3,alternating,0.1,0.5,0.5,0.9,0.0,3,3736052005,0.018459850510412875,0.019099983668317392,0.009592383634229887,240,0,30,10,573,23.875,0.006141374564129307,0.023696919277115848,0.9166666666666666,0.08333333333333333
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D3,alternating,0.1,0.5,0.5,0.9,0.0,3,2446090982,0.01282598983958619,0.01341259682937256,0.0015279748397986268,240,0,30,11,818,34.083333333333336,0.014113369917475006,0.11589395313234141,0.875,0.125
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D3,alternating,0.1,0.5,0.5,0.9,0.0,3,2759634938,0.024287833028334954,0.024434702770774353,0.02710491559743344,240,0,30,12,752,31.333333333333332,0.019026716904216024,0.06802258025387978,0.7916666666666666,0.20833333333333334
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D3,alternating,0.1,0.5,0.5,0.9,0.0,3,1796341307,0.01928830520584634,0.019152887584329214,0.004675641468562168,240,0,30,12,793,33.041666666666664,0.024312221774178345,0.06974955639008426,0.8333333333333334,0.16666666666666666
