seed,seed_index,scenario,max_delay,policy,charged_budget,observed_messages,total_probe_cost,total_updates,finite,within_budget
20260832,2,balanced_08,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260832,2,balanced_08,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260832,2,balanced_08,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260832,2,balanced_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260832,2,independent,16,lyapunov_state_adaptive,15960,9152,768,1702,True,True
20260832,2,independent,16,raw_state_adaptive,15936,9552,768,1596,True,True
20260832,2,independent,16,correlation_only_adaptive,15958,8834,768,1781,True,True
20260832,2,independent,16,state_oracle,15860,13920,0,485,True,True
20260832,2,independent,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260832,2,independent,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260832,2,independent,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260832,2,independent,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260832,2,global_08,16,lyapunov_state_adaptive,15968,3552,768,3104,True,True
20260832,2,global_08,16,raw_state_adaptive,15912,6120,768,2448,True,True
20260832,2,global_08,16,correlation_only_adaptive,15968,3552,768,3104,True,True
20260832,2,global_08,16,state_oracle,15880,11360,0,1130,True,True
20260832,2,global_08,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260832,2,global_08,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260832,2,global_08,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260832,2,global_08,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260832,2,clustered_08,16,lyapunov_state_adaptive,15992,6856,768,2284,True,True
20260832,2,clustered_08,16,raw_state_adaptive,15962,7886,768,2019,True,True
20260832,2,clustered_08,16,correlation_only_adaptive,15994,7174,768,2205,True,True
20260832,2,clustered_08,16,state_oracle,15880,12560,0,830,True,True
20260832,2,clustered_08,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260832,2,clustered_08,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260832,2,clustered_08,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260832,2,clustered_08,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260832,2,balanced_08,16,lyapunov_state_adaptive,15978,4950,768,2757,True,True
20260832,2,balanced_08,16,raw_state_adaptive,15924,7708,768,2054,True,True
20260832,2,balanced_08,16,correlation_only_adaptive,15978,4950,768,2757,True,True
20260832,2,balanced_08,16,state_oracle,15860,12720,0,785,True,True
20260832,2,balanced_08,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260832,2,balanced_08,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260832,2,balanced_08,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260832,2,balanced_08,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260833,3,independent,4,lyapunov_state_adaptive,15856,12424,768,858,True,True
20260833,3,independent,4,raw_state_adaptive,15828,12568,768,815,True,True
20260833,3,independent,4,correlation_only_adaptive,15974,8746,768,1807,True,True
20260833,3,independent,4,state_oracle,15840,14080,0,440,True,True
20260833,3,independent,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260833,3,independent,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260833,3,independent,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260833,3,independent,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260833,3,global_08,4,lyapunov_state_adaptive,15968,3552,768,3104,True,True
20260833,3,global_08,4,raw_state_adaptive,15912,6120,768,2448,True,True
20260833,3,global_08,4,correlation_only_adaptive,15968,3552,768,3104,True,True
20260833,3,global_08,4,state_oracle,15880,11360,0,1130,True,True
20260833,3,global_08,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260833,3,global_08,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260833,3,global_08,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260833,3,global_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260833,3,clustered_08,4,lyapunov_state_adaptive,15994,7174,768,2205,True,True
20260833,3,clustered_08,4,raw_state_adaptive,15962,7950,768,2003,True,True
20260833,3,clustered_08,4,correlation_only_adaptive,15990,6666,768,2331,True,True
20260833,3,clustered_08,4,state_oracle,15900,11800,0,1025,True,True
20260833,3,clustered_08,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260833,3,clustered_08,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260833,3,clustered_08,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260833,3,clustered_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260833,3,balanced_08,4,lyapunov_state_adaptive,15968,3552,768,3104,True,True
20260833,3,balanced_08,4,raw_state_adaptive,15912,6120,768,2448,True,True
20260833,3,balanced_08,4,correlation_only_adaptive,15968,3552,768,3104,True,True
20260833,3,balanced_08,4,state_oracle,15860,12720,0,785,True,True
20260833,3,balanced_08,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260833,3,balanced_08,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260833,3,balanced_08,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260833,3,balanced_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260833,3,independent,16,lyapunov_state_adaptive,15984,8752,768,1808,True,True
20260833,3,independent,16,raw_state_adaptive,15816,12624,768,798,True,True
20260833,3,independent,16,correlation_only_adaptive,15984,8752,768,1808,True,True
20260833,3,independent,16,state_oracle,15840,14080,0,440,True,True
20260833,3,independent,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260833,3,independent,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260833,3,independent,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260833,3,independent,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260833,3,global_08,16,lyapunov_state_adaptive,15964,4436,768,2882,True,True
20260833,3,global_08,16,raw_state_adaptive,15964,4436,768,2882,True,True
20260833,3,global_08,16,correlation_only_adaptive,15964,4436,768,2882,True,True
20260833,3,global_08,16,state_oracle,15900,10000,0,1475,True,True
20260833,3,global_08,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260833,3,global_08,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260833,3,global_08,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260833,3,global_08,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260833,3,clustered_08,16,lyapunov_state_adaptive,15996,7556,768,2110,True,True
20260833,3,clustered_08,16,raw_state_adaptive,15996,7492,768,2126,True,True
20260833,3,clustered_08,16,correlation_only_adaptive,15996,7556,768,2110,True,True
20260833,3,clustered_08,16,state_oracle,15900,11800,0,1025,True,True
20260833,3,clustered_08,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260833,3,clustered_08,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260833,3,clustered_08,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260833,3,clustered_08,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260833,3,balanced_08,16,lyapunov_state_adaptive,15976,4632,768,2836,True,True
20260833,3,balanced_08,16,raw_state_adaptive,15946,5662,768,2571,True,True
20260833,3,balanced_08,16,correlation_only_adaptive,15976,4632,768,2836,True,True
20260833,3,balanced_08,16,state_oracle,15860,12720,0,785,True,True
20260833,3,balanced_08,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260833,3,balanced_08,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260833,3,balanced_08,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260833,3,balanced_08,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260834,4,independent,4,lyapunov_state_adaptive,15886,10570,768,1329,True,True
20260834,4,independent,4,raw_state_adaptive,15832,12000,768,958,True,True
