cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,best_static_graph,best_static_auc,best_static_terminal,dynamic_auc,dynamic_terminal,dynamic_to_static_auc_ratio,dynamic_to_static_terminal_ratio,charged_shadow_auc,checkpoint_safe,selected_actions,action_change_count,environment_used,message_used
Falternating-H0.3-I1.5-N0.5-S0.9-T0-D0,alternating,0.3,1.5,0.5,0.9,0.0,0,"[0,0,3,3]",0.09468281262729543,0.013726763262866717,0.09089986600056504,0.010161933660189602,0.9600461105689648,0.7403007879999942,0.11452044301202909,True,"[[1,1,2,2],[1,1,1,1],[0,6,2,0],[3,5,1,3],[0,2,6,0],[1,1,5,5]]",5,240,18
Falternating-H0.3-I1.5-N0.5-S0.9-T0-D1,alternating,0.3,1.5,0.5,0.9,0.0,1,"[0,0,0,0]",0.09830145538295777,0.010447043689705733,0.09974071800303279,0.010044366299655067,1.014641315476643,0.9614553741698759,0.11452044301202909,True,"[[0,0,0,0],[0,0,1,1],[1,4,2,5],[3,5,1,3],[3,4,4,3],[1,1,5,5]]",5,240,17
Falternating-H0.3-I1.5-N0.5-S0.9-T0-D3,alternating,0.3,1.5,0.5,0.9,0.0,3,"[0,0,0,0]",0.09830145538295777,0.010447043689705733,0.10143195246329373,0.009838612668572649,1.0318458874097065,0.9417604597813046,0.11452044301202909,True,"[[0,0,0,0],[0,0,0,0],[0,3,4,0],[0,5,1,3],[3,4,4,3],[1,1,5,5]]",4,240,16
Falternating-H0.3-I1.5-N0.5-S0.9-T0.9-D0,alternating,0.3,1.5,0.5,0.9,0.9,0,"[0,0,3,3]",0.15515215466717616,0.07676967695961591,0.1486356539650321,0.07263504384311044,0.9579992896900278,0.9461423666185222,0.17291823840574513,True,"[[1,1,2,2],[1,1,1,1],[0,6,2,0],[3,5,1,3],[0,2,6,0],[1,1,5,5]]",5,240,18
Falternating-H0.3-I1.5-N0.5-S0.9-T0.9-D1,alternating,0.3,1.5,0.5,0.9,0.9,1,"[0,0,0,0]",0.15939419877227742,0.07362498132863582,0.15657165028712752,0.07211933541311291,0.9822920250116354,0.9795497956216486,0.17291823840574513,True,"[[0,0,0,0],[0,0,1,1],[1,4,2,5],[3,5,1,3],[3,4,4,3],[1,1,5,5]]",5,240,17
Falternating-H0.3-I1.5-N0.5-S0.9-T0.9-D3,alternating,0.3,1.5,0.5,0.9,0.9,3,"[0,0,0,0]",0.15939419877227742,0.07362498132863582,0.15407796710209593,0.07059976977487456,0.9666472700315984,0.9589105287476029,0.17291823840574513,True,"[[0,0,0,0],[0,0,1,1],[1,3,4,5],[3,5,1,3],[3,4,4,3],[1,1,5,5]]",5,240,17
Falternating-H0.6-I0.5-N0.1-S0-T0-D0,alternating,0.6,0.5,0.1,0.0,0.0,0,"[0,0,0,0]",0.06691543608189847,0.0030126376225888467,0.02557985363118225,0.0019564961252519653,0.3822713431901544,0.6494296262458183,0.07839364884715856,True,"[[1,1,5,5],[1,1,5,5],[0,6,2,0],[3,5,1,3],[0,2,6,0],[1,1,5,5]]",4,240,18
Falternating-H0.6-I0.5-N0.1-S0-T0-D1,alternating,0.6,0.5,0.1,0.0,0.0,1,"[0,0,3,0]",0.0633414026269996,0.008415708051849102,0.02561139918282054,0.0019538343039185485,0.40433899662183276,0.2321651715911475,0.07839364884715856,True,"[[0,0,0,0],[0,0,5,5],[1,6,4,5],[3,5,1,3],[3,4,4,3],[1,1,5,5]]",5,240,17
Falternating-H0.6-I0.5-N0.1-S0-T0-D3,alternating,0.6,0.5,0.1,0.0,0.0,3,"[0,0,3,0]",0.05785008181386029,0.005701276023768661,0.025834272797305366,0.0019507864816272087,0.44657279622231644,0.34216664365913274,0.07839364884715856,True,"[[0,0,0,0],[0,0,5,5],[0,4,2,5],[0,5,1,3],[3,4,4,3],[1,1,5,5]]",5,240,17
Falternating-H0.6-I0.5-N0.1-S0-T0.9-D0,alternating,0.6,0.5,0.1,0.0,0.9,0,"[0,0,0,0]",0.0791339847597624,0.015648225150374867,0.03584403761503573,0.014021376713408739,0.4529537811580229,0.8960362327783125,0.09007320792590177,True,"[[1,1,5,5],[1,1,5,5],[0,6,2,0],[3,5,1,3],[0,2,6,0],[1,1,5,5]]",4,240,18
Falternating-H0.6-I0.5-N0.1-S0-T0.9-D1,alternating,0.6,0.5,0.1,0.0,0.9,1,"[0,0,3,0]",0.07490203508268292,0.02091627162550731,0.03587999481084953,0.014028019526107006,0.4790256335657942,0.6706749547562718,0.09007320792590177,True,"[[0,0,1,1],[0,0,5,5],[1,4,4,5],[3,5,1,3],[3,4,4,3],[1,1,5,5]]",5,240,18
