scenario_id,task,ray,budget,budget_index,message_budget,environment_budget,delay,rho,q,mixing_step_multiplier,step_size,updates,burn_in,averaged_count,spectral_radius,bias_risk,noise_risk,risk
frozenlake4x4-message-B2-D0-R0.1,frozenlake4x4,message,768,2,768,1000000,0,0.1,1,0.1,0.03139385799734602,256,128,128,0.9931886869532864,2.4892740347751053e-05,0.010949752267756768,0.010974645008104519
frozenlake4x4-message-B2-D0-R0.1,frozenlake4x4,message,768,2,768,1000000,0,0.1,1,0.25,0.07848464499336505,256,128,128,0.982971717383216,6.426362820553391e-07,0.021689947612715237,0.021690590248997294
frozenlake4x4-message-B2-D0-R0.1,frozenlake4x4,message,768,2,768,1000000,0,0.1,1,0.5,0.1569692899867301,256,128,128,0.965943434766432,2.1861536787126003e-09,0.02838516533601615,0.028385167522169828
frozenlake4x4-message-B2-D0-R0.1,frozenlake4x4,message,768,2,768,1000000,0,0.1,1,1.0,0.3139385799734602,256,128,128,0.931886869532864,5.321567512360234e-14,0.03242853617195336,0.032428536172006577
frozenlake4x4-message-B2-D0-R0.1,frozenlake4x4,message,768,2,768,1000000,0,0.1,4,0.1,0.03139385799734602,128,64,64,0.9931886869532864,8.817874445200626e-05,0.0030745806216286556,0.0031627593660806617
frozenlake4x4-message-B2-D0-R0.1,frozenlake4x4,message,768,2,768,1000000,0,0.1,4,0.25,0.07848464499336505,128,64,64,0.982971717383216,1.3032374308758508e-05,0.008778633551073597,0.008791665925382356
frozenlake4x4-message-B2-D0-R0.1,frozenlake4x4,message,768,2,768,1000000,0,0.1,4,0.5,0.1569692899867301,128,64,64,0.965943434766432,6.000153932888284e-07,0.014102057031465411,0.0141026570468587
frozenlake4x4-message-B2-D0-R0.1,frozenlake4x4,message,768,2,768,1000000,0,0.1,4,1.0,0.3139385799734602,128,64,64,0.931886869532864,1.7384221791633573e-09,0.018419909516320804,0.018419911254742984
frozenlake4x4-message-B2-D0-R0.1,frozenlake4x4,message,768,2,768,1000000,0,0.1,16,0.1,0.03139385799734602,42,21,21,0.9931886869532864,0.00020994146550291822,0.0007275930671416331,0.0009375345326445514
frozenlake4x4-message-B2-D0-R0.1,frozenlake4x4,message,768,2,768,1000000,0,0.1,16,0.25,0.07848464499336505,42,21,21,0.982971717383216,0.00010930479408422861,0.003318640430677226,0.0034279452247614546
frozenlake4x4-message-B2-D0-R0.1,frozenlake4x4,message,768,2,768,1000000,0,0.1,16,0.5,0.1569692899867301,42,21,21,0.965943434766432,3.692029126645867e-05,0.00831765012455678,0.008354570415823237
frozenlake4x4-message-B2-D0-R0.1,frozenlake4x4,message,768,2,768,1000000,0,0.1,16,1.0,0.3139385799734602,42,21,21,0.931886869532864,4.250180630575491e-06,0.01573260030440845,0.015736850485039023
frozenlake4x4-message-B0-D0-R0.9,frozenlake4x4,message,192,0,192,1000000,0,0.9,1,0.1,0.03139385799734602,64,32,32,0.9931886869532864,0.00016793123183951025,0.0064226831978830895,0.006590614429722599
frozenlake4x4-message-B0-D0-R0.9,frozenlake4x4,message,192,0,192,1000000,0,0.9,1,0.25,0.07848464499336505,64,32,32,0.982971717383216,6.290635735010034e-05,0.025374058168831096,0.025436964526181195
frozenlake4x4-message-B0-D0-R0.9,frozenlake4x4,message,192,0,192,1000000,0,0.9,1,0.5,0.1569692899867301,64,32,32,0.965943434766432,1.2463506391502902e-05,0.0538102970102193,0.0538227605166108
frozenlake4x4-message-B0-D0-R0.9,frozenlake4x4,message,192,0,192,1000000,0,0.9,1,1.0,0.3139385799734602,64,32,32,0.931886869532864,5.206474098384679e-07,0.0862584032815364,0.08625892392894624
frozenlake4x4-message-B0-D0-R0.9,frozenlake4x4,message,192,0,192,1000000,0,0.9,4,0.1,0.03139385799734602,32,16,16,0.9931886869532864,0.00023243905165845554,0.003404044208216966,0.0036364832598754213
frozenlake4x4-message-B0-D0-R0.9,frozenlake4x4,message,192,0,192,1000000,0,0.9,4,0.25,0.07848464499336505,32,16,16,0.982971717383216,0.0001407836635869778,0.016673021237507857,0.016813804901094836
frozenlake4x4-message-B0-D0-R0.9,frozenlake4x4,message,192,0,192,1000000,0,0.9,4,0.5,0.1569692899867301,32,16,16,0.965943434766432,6.095461162027684e-05,0.04590080694213259,0.04596176155375287
frozenlake4x4-message-B0-D0-R0.9,frozenlake4x4,message,192,0,192,1000000,0,0.9,4,1.0,0.3139385799734602,32,16,16,0.931886869532864,1.1364872015028191e-05,0.09739722322125335,0.09740858809326838
frozenlake4x4-message-B0-D0-R0.9,frozenlake4x4,message,192,0,192,1000000,0,0.9,16,0.1,0.03139385799734602,10,5,5,0.9931886869532864,0.0002909848678439377,0.0009687966568070159,0.0012597815246509535
frozenlake4x4-message-B0-D0-R0.9,frozenlake4x4,message,192,0,192,1000000,0,0.9,16,0.25,0.07848464499336505,10,5,5,0.982971717383216,0.0002467369328737666,0.005618286902351914,0.005865023835225681
frozenlake4x4-message-B0-D0-R0.9,frozenlake4x4,message,192,0,192,1000000,0,0.9,16,0.5,0.1569692899867301,10,5,5,0.965943434766432,0.00018689225529543044,0.01987589042231783,0.020062782677613262
frozenlake4x4-message-B0-D0-R0.9,frozenlake4x4,message,192,0,192,1000000,0,0.9,16,1.0,0.3139385799734602,10,5,5,0.931886869532864,0.00010603531058681135,0.0626638045197141,0.0627698398303009
frozenlake4x4-message-B1-D0-R0.9,frozenlake4x4,message,384,1,384,1000000,0,0.9,1,0.1,0.03139385799734602,128,64,64,0.9931886869532864,8.817874445200626e-05,0.00946024806654971,0.009548426811001716
frozenlake4x4-message-B1-D0-R0.9,frozenlake4x4,message,384,1,384,1000000,0,0.9,1,0.25,0.07848464499336505,128,64,64,0.982971717383216,1.3032374308758508e-05,0.027011180157149532,0.02702421253145829
frozenlake4x4-message-B1-D0-R0.9,frozenlake4x4,message,384,1,384,1000000,0,0.9,1,0.5,0.1569692899867301,128,64,64,0.965943434766432,6.000153932888284e-07,0.043390944712201264,0.04339154472759455
frozenlake4x4-message-B1-D0-R0.9,frozenlake4x4,message,384,1,384,1000000,0,0.9,1,1.0,0.3139385799734602,128,64,64,0.931886869532864,1.7384221791633573e-09,0.05667664466560247,0.056676646404024644
frozenlake4x4-message-B1-D0-R0.9,frozenlake4x4,message,384,1,384,1000000,0,0.9,4,0.1,0.03139385799734602,64,32,32,0.9931886869532864,0.00016793123183951025,0.005940981958041858,0.006108913189881368
frozenlake4x4-message-B1-D0-R0.9,frozenlake4x4,message,384,1,384,1000000,0,0.9,4,0.25,0.07848464499336505,64,32,32,0.982971717383216,6.290635735010034e-05,0.023471003806168764,0.023533910163518863
frozenlake4x4-message-B1-D0-R0.9,frozenlake4x4,message,384,1,384,1000000,0,0.9,4,0.5,0.1569692899867301,64,32,32,0.965943434766432,1.2463506391502902e-05,0.04977452473445285,0.049786988240844356
frozenlake4x4-message-B1-D0-R0.9,frozenlake4x4,message,384,1,384,1000000,0,0.9,4,1.0,0.3139385799734602,64,32,32,0.931886869532864,5.206474098384679e-07,0.07978902303542118,0.07978954368283102
frozenlake4x4-message-B1-D0-R0.9,frozenlake4x4,message,384,1,384,1000000,0,0.9,16,0.1,0.03139385799734602,21,10,11,0.9931886869532864,0.0002609401537889277,0.0021721055180408144,0.002433045671829742
frozenlake4x4-message-B1-D0-R0.9,frozenlake4x4,message,384,1,384,1000000,0,0.9,16,0.25,0.07848464499336505,21,10,11,0.982971717383216,0.0001878949074898075,0.011570467883393219,0.011758362790883027
frozenlake4x4-message-B1-D0-R0.9,frozenlake4x4,message,384,1,384,1000000,0,0.9,16,0.5,0.1569692899867301,21,10,11,0.965943434766432,0.00010838863260080549,0.03590311966169067,0.03601150829429148
frozenlake4x4-message-B1-D0-R0.9,frozenlake4x4,message,384,1,384,1000000,0,0.9,16,1.0,0.3139385799734602,21,10,11,0.931886869532864,3.568188922890288e-05,0.09050037285261471,0.09053605474184362
frozenlake4x4-message-B2-D0-R0.9,frozenlake4x4,message,768,2,768,1000000,0,0.9,1,0.1,0.03139385799734602,256,128,128,0.9931886869532864,2.4892740347751053e-05,0.010949752267756768,0.010974645008104519
frozenlake4x4-message-B2-D0-R0.9,frozenlake4x4,message,768,2,768,1000000,0,0.9,1,0.25,0.07848464499336505,256,128,128,0.982971717383216,6.426362820553391e-07,0.021689947612715237,0.021690590248997294
frozenlake4x4-message-B2-D0-R0.9,frozenlake4x4,message,768,2,768,1000000,0,0.9,1,0.5,0.1569692899867301,256,128,128,0.965943434766432,2.1861536787126003e-09,0.02838516533601615,0.028385167522169828
frozenlake4x4-message-B2-D0-R0.9,frozenlake4x4,message,768,2,768,1000000,0,0.9,1,1.0,0.3139385799734602,256,128,128,0.931886869532864,5.321567512360234e-14,0.03242853617195336,0.032428536172006577
frozenlake4x4-message-B2-D0-R0.9,frozenlake4x4,message,768,2,768,1000000,0,0.9,4,0.1,0.03139385799734602,128,64,64,0.9931886869532864,8.817874445200626e-05,0.008750729461558481,0.008838908206010488
frozenlake4x4-message-B2-D0-R0.9,frozenlake4x4,message,768,2,768,1000000,0,0.9,4,0.25,0.07848464499336505,128,64,64,0.982971717383216,1.3032374308758508e-05,0.02498534164536332,0.024998374019672077
frozenlake4x4-message-B2-D0-R0.9,frozenlake4x4,message,768,2,768,1000000,0,0.9,4,0.5,0.1569692899867301,128,64,64,0.965943434766432,6.000153932888284e-07,0.04013662385878617,0.04013722387417946
frozenlake4x4-message-B2-D0-R0.9,frozenlake4x4,message,768,2,768,1000000,0,0.9,4,1.0,0.3139385799734602,128,64,64,0.931886869532864,1.7384221791633573e-09,0.052425896315682285,0.05242589805410446
frozenlake4x4-message-B2-D0-R0.9,frozenlake4x4,message,768,2,768,1000000,0,0.9,16,0.1,0.03139385799734602,42,21,21,0.9931886869532864,0.00020994146550291822,0.004220039789421472,0.00442998125492439
frozenlake4x4-message-B2-D0-R0.9,frozenlake4x4,message,768,2,768,1000000,0,0.9,16,0.25,0.07848464499336505,42,21,21,0.982971717383216,0.00010930479408422861,0.01924811449792791,0.01935741929201214
frozenlake4x4-message-B2-D0-R0.9,frozenlake4x4,message,768,2,768,1000000,0,0.9,16,0.5,0.1569692899867301,42,21,21,0.965943434766432,3.692029126645867e-05,0.04824237072242932,0.048279291013695776
frozenlake4x4-message-B2-D0-R0.9,frozenlake4x4,message,768,2,768,1000000,0,0.9,16,1.0,0.3139385799734602,42,21,21,0.931886869532864,4.250180630575491e-06,0.09124908176556902,0.0912533319461996
frozenlake4x4-message-B0-D0-R1,frozenlake4x4,message,192,0,192,1000000,0,1.0,1,0.1,0.03139385799734602,64,32,32,0.9931886869532864,0.00016793123183951025,0.0064226831978830895,0.006590614429722599
frozenlake4x4-message-B0-D0-R1,frozenlake4x4,message,192,0,192,1000000,0,1.0,1,0.25,0.07848464499336505,64,32,32,0.982971717383216,6.290635735010034e-05,0.025374058168831096,0.025436964526181195
frozenlake4x4-message-B0-D0-R1,frozenlake4x4,message,192,0,192,1000000,0,1.0,1,0.5,0.1569692899867301,64,32,32,0.965943434766432,1.2463506391502902e-05,0.0538102970102193,0.0538227605166108
frozenlake4x4-message-B0-D0-R1,frozenlake4x4,message,192,0,192,1000000,0,1.0,1,1.0,0.3139385799734602,64,32,32,0.931886869532864,5.206474098384679e-07,0.0862584032815364,0.08625892392894624
frozenlake4x4-message-B0-D0-R1,frozenlake4x4,message,192,0,192,1000000,0,1.0,4,0.1,0.03139385799734602,32,16,16,0.9931886869532864,0.00023243905165845554,0.00368004779266699,0.003912486844325445
frozenlake4x4-message-B0-D0-R1,frozenlake4x4,message,192,0,192,1000000,0,1.0,4,0.25,0.07848464499336505,32,16,16,0.982971717383216,0.0001407836635869778,0.018024887824332817,0.018165671487919796
frozenlake4x4-message-B0-D0-R1,frozenlake4x4,message,192,0,192,1000000,0,1.0,4,0.5,0.1569692899867301,32,16,16,0.965943434766432,6.095461162027684e-05,0.04962249399149469,0.049683448603114966
frozenlake4x4-message-B0-D0-R1,frozenlake4x4,message,192,0,192,1000000,0,1.0,4,1.0,0.3139385799734602,32,16,16,0.931886869532864,1.1364872015028191e-05,0.10529429537432794,0.10530566024634297
frozenlake4x4-message-B0-D0-R1,frozenlake4x4,message,192,0,192,1000000,0,1.0,16,0.1,0.03139385799734602,10,5,5,0.9931886869532864,0.0002909848678439377,0.0010690170006146381,0.001360001868458576
frozenlake4x4-message-B0-D0-R1,frozenlake4x4,message,192,0,192,1000000,0,1.0,16,0.25,0.07848464499336505,10,5,5,0.982971717383216,0.0002467369328737666,0.006199488995698664,0.006446225928572431
frozenlake4x4-message-B0-D0-R1,frozenlake4x4,message,192,0,192,1000000,0,1.0,16,0.5,0.1569692899867301,10,5,5,0.965943434766432,0.00018689225529543044,0.02193201701773002,0.022118909273025452
frozenlake4x4-message-B0-D0-R1,frozenlake4x4,message,192,0,192,1000000,0,1.0,16,1.0,0.3139385799734602,10,5,5,0.931886869532864,0.00010603531058681135,0.06914626705623624,0.06925230236682305
frozenlake4x4-message-B1-D0-R1,frozenlake4x4,message,384,1,384,1000000,0,1.0,1,0.1,0.03139385799734602,128,64,64,0.9931886869532864,8.817874445200626e-05,0.00946024806654971,0.009548426811001716
frozenlake4x4-message-B1-D0-R1,frozenlake4x4,message,384,1,384,1000000,0,1.0,1,0.25,0.07848464499336505,128,64,64,0.982971717383216,1.3032374308758508e-05,0.027011180157149532,0.02702421253145829
frozenlake4x4-message-B1-D0-R1,frozenlake4x4,message,384,1,384,1000000,0,1.0,1,0.5,0.1569692899867301,128,64,64,0.965943434766432,6.000153932888284e-07,0.043390944712201264,0.04339154472759455
frozenlake4x4-message-B1-D0-R1,frozenlake4x4,message,384,1,384,1000000,0,1.0,1,1.0,0.3139385799734602,128,64,64,0.931886869532864,1.7384221791633573e-09,0.05667664466560247,0.056676646404024644
frozenlake4x4-message-B1-D0-R1,frozenlake4x4,message,384,1,384,1000000,0,1.0,4,0.1,0.03139385799734602,64,32,32,0.9931886869532864,0.00016793123183951025,0.0064226831978830895,0.006590614429722599
frozenlake4x4-message-B1-D0-R1,frozenlake4x4,message,384,1,384,1000000,0,1.0,4,0.25,0.07848464499336505,64,32,32,0.982971717383216,6.290635735010034e-05,0.025374058168831096,0.025436964526181195
frozenlake4x4-message-B1-D0-R1,frozenlake4x4,message,384,1,384,1000000,0,1.0,4,0.5,0.1569692899867301,64,32,32,0.965943434766432,1.2463506391502902e-05,0.0538102970102193,0.0538227605166108
